,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KALMONTG10,53.1,32.7,59,0.0,30.23
61,2020-03-02,KALMONTG10,58.8,42.8,84,0.0,30.06
62,2020-03-03,KALMONTG10,64.6,59.9,95,0.0,29.85
63,2020-03-04,KALMONTG10,57.2,51.5,96,0.0,29.99
64,2020-03-05,KALMONTG10,54.5,48.2,93,0.0,30.07
65,2020-03-06,KALMONTG10,53.0,26.5,60,0.0,30.33
66,2020-03-07,KALMONTG10,49.1,23.8,51,0.0,30.44
67,2020-03-08,KALMONTG10,54.6,28.5,53,0.0,30.49
68,2020-03-09,KALMONTG10,61.1,42.2,63,0.0,30.44
69,2020-03-10,KALMONTG10,62.8,48.7,79,0.0,30.3
70,2020-03-11,KALMONTG10,63.1,58.4,86,0.0,30.16
71,2020-03-12,KALMONTG10,69.7,56.6,72,0.0,29.98
72,2020-03-13,KALMONTG10,72.7,59.2,72,0.0,30.14
73,2020-03-14,KALMONTG10,70.2,57.0,73,0.0,30.2
74,2020-03-15,KALMONTG10,66.1,58.3,80,0.0,30.2
75,2020-03-16,KALMONTG10,65.3,58.5,83,0.0,30.2
76,2020-03-17,KALMONTG10,68.7,57.9,76,0.0,30.16
77,2020-03-18,KALMONTG10,71.2,58.2,74,0.0,30.19
78,2020-03-19,KALMONTG10,70.2,59.1,77,0.0,30.18
79,2020-03-20,KALMONTG10,73.4,59.1,72,0.0,30.2
80,2020-03-21,KALMONTG10,67.9,50.7,75,0.0,30.23
81,2020-03-22,KALMONTG10,58.6,47.5,83,0.0,30.26
82,2020-03-23,KALMONTG10,68.2,58.3,89,0.0,30.14
83,2020-03-24,KALMONTG10,75.3,61.3,76,0.0,29.98
84,2020-03-25,KALMONTG10,72.5,38.8,71,0.0,29.87
85,2020-03-26,KALMONTG10,70.8,51.2,64,0.0,29.95
86,2020-03-27,KALMONTG10,74.5,60.8,71,0.0,29.92
87,2020-03-28,KALMONTG10,72.9,63.6,78,0.0,29.91
88,2020-03-29,KALMONTG10,72.6,46.4,65,0.0,30.07
89,2020-03-30,KALMONTG10,67.3,39.1,55,0.0,30.13
90,2020-03-31,KALMONTG10,61.6,44.8,72,0.0,29.86
91,2020-04-01,KALMONTG10,56.9,34.9,61,0.0,29.96
