,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KARDOVER4,56.9,39.4,83,3.0,29.89
61,2020-03-02,KARDOVER4,65.7,50.5,80,3.8,29.65
62,2020-03-03,KARDOVER4,56.6,42.7,71,2.3,29.8
63,2020-03-04,KARDOVER4,54.6,33.4,60,2.5,29.92
64,2020-03-05,KARDOVER4,57.5,22.4,46,3.4,30.2
65,2020-03-06,KARDOVER4,51.5,19.8,37,2.8,30.36
66,2020-03-07,KARDOVER4,50.3,21.7,47,4.0,30.38
67,2020-03-08,KARDOVER4,55.2,29.8,47,3.5,30.23
68,2020-03-09,KARDOVER4,57.7,38.7,88,4.0,30.05
69,2020-03-10,KARDOVER4,57.1,47.0,82,3.6,30.15
70,2020-03-11,KARDOVER4,58.1,48.1,94,3.0,30.0
71,2020-03-12,KARDOVER4,66.7,55.1,87,4.6,29.76
72,2020-03-13,KARDOVER4,50.1,37.8,81,5.0,30.16
73,2020-03-14,KARDOVER4,44.4,40.2,99,3.5,30.19
74,2020-03-15,KARDOVER4,45.9,41.2,94,3.6,30.32
75,2020-03-16,KARDOVER4,42.7,37.1,99,3.2,30.23
76,2020-03-17,KARDOVER4,49.4,45.2,99,2.7,30.14
77,2020-03-18,KARDOVER4,59.4,47.7,95,3.4,29.99
78,2020-03-19,KARDOVER4,67.5,62.5,96,4.0,29.85
79,2020-03-20,KARDOVER4,55.0,39.1,90,4.2,30.29
80,2020-03-21,KARDOVER4,46.2,32.9,77,3.9,30.35
81,2020-03-22,KARDOVER4,44.7,40.6,97,3.6,30.21
82,2020-03-23,KARDOVER4,53.3,45.6,92,2.3,30.03
83,2020-03-24,KARDOVER4,59.0,51.1,92,3.7,29.86
84,2020-03-25,KARDOVER4,55.0,45.4,90,3.5,29.86
85,2020-03-26,KARDOVER4,69.2,52.0,80,3.6,29.73
86,2020-03-27,KARDOVER4,73.3,64.8,82,3.7,29.59
87,2020-03-28,KARDOVER4,65.6,50.6,95,2.8,29.71
88,2020-03-29,KARDOVER4,60.6,40.6,60,3.3,30.02
89,2020-03-30,KARDOVER4,54.2,43.0,83,2.6,30.07
90,2020-03-31,KARDOVER4,56.1,43.6,80,3.2,29.88
91,2020-04-01,KARDOVER4,59.2,42.9,69,2.9,29.89
92,2020-04-02,KARDOVER4,64.2,49.2,66,4.0,29.9
93,2020-04-03,KARDOVER4,57.7,45.2,93,2.3,29.93
94,2020-04-04,KARDOVER4,49.1,43.9,97,1.7,29.96
95,2020-04-05,KARDOVER4,58.1,48.8,90,1.3,29.98
96,2020-04-06,KARDOVER4,65.1,52.9,86,2.4,29.92
97,2020-04-07,KARDOVER4,70.3,62.0,90,2.3,29.83
98,2020-04-08,KARDOVER4,76.3,60.6,78,1.8,29.66
99,2020-04-09,KARDOVER4,66.8,35.8,48,3.8,29.88
100,2020-04-10,KARDOVER4,53.3,26.2,44,3.1,30.07
101,2020-04-11,KARDOVER4,53.7,36.2,75,3.0,29.89
102,2020-04-12,KARDOVER4,57.0,46.3,97,4.0,29.67
103,2020-04-13,KARDOVER4,46.0,27.6,66,3.8,30.12
104,2020-04-14,KARDOVER4,45.7,27.7,63,3.0,30.2
105,2020-04-15,KARDOVER4,49.0,30.2,65,1.9,30.11
106,2020-04-16,KARDOVER4,56.9,34.3,54,3.0,30.09
107,2020-04-17,KARDOVER4,54.1,39.2,78,2.3,29.99
108,2020-04-18,KARDOVER4,50.4,32.1,71,2.6,30.04
109,2020-04-19,KARDOVER4,53.8,45.1,97,1.9,29.76
110,2020-04-20,KARDOVER4,61.2,43.9,77,1.6,29.77
111,2020-04-21,KARDOVER4,68.5,45.2,62,1.8,29.87
112,2020-04-22,KARDOVER4,58.2,46.2,90,4.4,29.9
113,2020-04-23,KARDOVER4,63.4,56.2,86,2.8,29.62
114,2020-04-24,KARDOVER4,61.8,51.9,91,2.3,29.71
115,2020-04-25,KARDOVER4,61.0,46.6,77,3.4,29.93
116,2020-04-26,KARDOVER4,64.0,44.5,66,1.7,30.02
117,2020-04-27,KARDOVER4,63.5,50.8,76,2.4,30.02
118,2020-04-28,KARDOVER4,67.6,54.6,84,2.7,29.86
119,2020-04-29,KARDOVER4,62.5,48.1,76,3.5,29.82
120,2020-04-30,KARDOVER4,64.7,45.2,65,2.1,29.9
121,2020-05-01,KARDOVER4,68.4,47.9,66,2.6,29.89
122,2020-05-02,KARDOVER4,73.9,56.4,68,2.9,29.86
123,2020-05-03,KARDOVER4,73.9,63.6,85,2.2,29.79
124,2020-05-04,KARDOVER4,72.3,62.2,91,3.5,29.77
125,2020-05-05,KARDOVER4,66.2,45.6,75,2.2,29.95
126,2020-05-06,KARDOVER4,63.6,42.9,58,2.3,30.06
127,2020-05-07,KARDOVER4,60.7,44.0,73,2.5,30.06
128,2020-05-08,KARDOVER4,61.6,40.1,74,3.8,30.06
129,2020-05-09,KARDOVER4,56.7,36.5,63,2.1,30.16
130,2020-05-10,KARDOVER4,62.4,36.0,62,2.2,30.12
131,2020-05-11,KARDOVER4,53.6,39.5,70,2.4,30.21
132,2020-05-12,KARDOVER4,48.2,42.8,97,3.0,30.1
