,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KARFAYET65,58.8,33.4,67,3.4,30.0
61,2020-03-02,KARFAYET65,59.8,40.6,76,1.0,29.84
62,2020-03-03,KARFAYET65,51.1,19.6,60,0.3,30.02
63,2020-03-04,KARFAYET65,47.6,25.7,57,0.3,30.11
64,2020-03-05,KARFAYET65,49.5,17.1,49,0.6,30.39
65,2020-03-06,KARFAYET65,45.2,10.8,43,0.4,30.56
66,2020-03-07,KARFAYET65,49.6,19.0,44,1.9,30.46
67,2020-03-08,KARFAYET65,55.7,22.3,34,3.2,30.3
68,2020-03-09,KARFAYET65,57.0,33.1,77,3.5,30.21
69,2020-03-10,KARFAYET65,51.7,37.0,72,0.7,30.34
70,2020-03-11,KARFAYET65,62.5,45.1,71,1.3,30.12
71,2020-03-12,KARFAYET65,68.5,48.2,70,1.9,30.04
72,2020-03-13,KARFAYET65,45.5,32.9,73,1.3,30.31
73,2020-03-14,KARFAYET65,45.0,35.4,92,0.6,30.35
74,2020-03-15,KARFAYET65,43.3,37.8,89,0.5,30.47
75,2020-03-16,KARFAYET65,45.6,38.1,94,0.3,30.34
76,2020-03-17,KARFAYET65,53.1,45.1,86,0.7,30.29
77,2020-03-18,KARFAYET65,62.8,49.1,83,2.4,30.12
78,2020-03-19,KARFAYET65,63.7,56.1,91,2.3,29.98
79,2020-03-20,KARFAYET65,48.5,30.4,82,1.0,30.45
80,2020-03-21,KARFAYET65,42.2,26.6,68,0.6,30.48
81,2020-03-22,KARFAYET65,47.5,35.6,84,1.0,30.29
82,2020-03-23,KARFAYET65,53.3,46.6,85,0.7,30.17
83,2020-03-24,KARFAYET65,59.3,46.0,81,0.6,30.0
84,2020-03-25,KARFAYET65,58.3,42.6,74,1.6,29.98
85,2020-03-26,KARFAYET65,74.5,54.1,62,2.6,29.84
86,2020-03-27,KARFAYET65,72.5,60.1,72,2.7,29.8
87,2020-03-28,KARFAYET65,68.4,28.4,60,1.9,29.94
88,2020-03-29,KARFAYET65,55.8,33.1,54,0.6,30.21
89,2020-03-30,KARFAYET65,52.8,35.8,71,0.7,30.23
90,2020-03-31,KARFAYET65,53.6,27.0,80,0.3,30.08
91,2020-04-01,KARFAYET65,58.0,40.1,62,1.3,30.05
92,2020-04-02,KARFAYET65,64.6,39.2,51,3.0,30.0
93,2020-04-03,KARFAYET65,49.9,36.1,91,0.4,30.14
94,2020-04-04,KARFAYET65,41.2,36.1,95,0.1,30.15
95,2020-04-05,KARFAYET65,52.2,43.5,91,0.2,30.14
96,2020-04-06,KARFAYET65,61.7,48.7,83,1.5,30.09
97,2020-04-07,KARFAYET65,70.1,57.9,77,2.1,30.0
98,2020-04-08,KARFAYET65,75.1,48.2,65,1.1,29.93
99,2020-04-09,KARFAYET65,60.0,31.8,47,0.5,30.1
100,2020-04-10,KARFAYET65,51.2,18.5,40,0.7,30.23
101,2020-04-11,KARFAYET65,57.5,26.4,55,2.3,29.99
102,2020-04-12,KARFAYET65,54.8,34.5,88,1.1,29.91
103,2020-04-13,KARFAYET65,38.3,22.3,68,0.6,30.29
104,2020-04-14,KARFAYET65,40.6,22.8,67,0.3,30.35
105,2020-04-15,KARFAYET65,47.9,27.7,57,0.7,30.23
106,2020-04-16,KARFAYET65,63.3,25.9,32,3.4,30.21
107,2020-04-17,KARFAYET65,50.4,33.3,71,0.9,30.2
108,2020-04-18,KARFAYET65,52.8,19.4,51,1.1,30.17
109,2020-04-19,KARFAYET65,55.9,38.8,79,0.5,29.9
110,2020-04-20,KARFAYET65,59.6,41.7,70,0.5,29.97
111,2020-04-21,KARFAYET65,63.3,35.4,57,0.2,30.11
112,2020-04-22,KARFAYET65,59.3,41.4,77,1.2,30.04
113,2020-04-23,KARFAYET65,60.0,52.3,84,0.3,29.83
114,2020-04-24,KARFAYET65,60.7,48.7,80,0.7,29.89
115,2020-04-25,KARFAYET65,57.5,44.6,77,0.6,30.14
