,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KCAREDBL17,54.4,16.2,29,4.8,30.25
61,2020-03-02,KCAREDBL17,59.5,11.3,30,3.3,30.27
62,2020-03-03,KCAREDBL17,66.9,20.3,34,2.3,30.17
63,2020-03-04,KCAREDBL17,61.0,32.4,48,0.7,30.17
64,2020-03-05,KCAREDBL17,58.3,35.4,57,1.3,30.21
65,2020-03-06,KCAREDBL17,55.7,43.3,72,1.5,30.05
66,2020-03-07,KCAREDBL17,51.0,43.0,82,0.6,30.01
67,2020-03-08,KCAREDBL17,52.1,41.5,80,0.7,30.11
68,2020-03-09,KCAREDBL17,53.7,34.5,68,0.6,30.22
69,2020-03-10,KCAREDBL17,58.5,32.2,53,1.3,30.19
70,2020-03-11,KCAREDBL17,60.0,37.4,57,0.7,30.15
71,2020-03-12,KCAREDBL17,64.2,16.5,41,2.4,30.06
72,2020-03-13,KCAREDBL17,64.5,20.3,40,5.6,29.78
73,2020-03-14,KCAREDBL17,52.2,26.6,54,4.1,29.93
74,2020-03-15,KCAREDBL17,46.4,22.1,69,2.7,30.06
75,2020-03-16,KCAREDBL17,46.7,31.8,69,0.5,30.06
76,2020-03-17,KCAREDBL17,43.6,40.8,97,1.2,30.03
77,2020-03-18,KCAREDBL17,45.7,37.4,86,0.2,29.98
78,2020-03-19,KCAREDBL17,47.5,29.7,71,0.5,30.18
79,2020-03-20,KCAREDBL17,52.1,27.5,63,0.7,30.31
80,2020-03-21,KCAREDBL17,55.6,31.6,55,1.3,30.22
81,2020-03-22,KCAREDBL17,56.9,34.0,61,1.0,30.19
82,2020-03-23,KCAREDBL17,54.4,31.6,64,3.1,30.11
83,2020-03-24,KCAREDBL17,48.8,38.1,78,2.0,30.16
84,2020-03-25,KCAREDBL17,47.4,28.8,74,0.9,30.15
85,2020-03-26,KCAREDBL17,48.0,17.2,60,0.6,30.15
86,2020-03-27,KCAREDBL17,49.7,28.6,55,1.2,30.21
87,2020-03-28,KCAREDBL17,52.4,36.1,71,1.6,30.27
88,2020-03-29,KCAREDBL17,54.7,42.1,76,1.7,30.2
89,2020-03-30,KCAREDBL17,56.6,41.5,64,3.8,30.32
90,2020-03-31,KCAREDBL17,60.3,31.1,56,2.7,30.26
91,2020-04-01,KCAREDBL17,54.0,17.4,34,3.0,30.1
92,2020-04-02,KCAREDBL17,53.7,15.8,33,2.6,30.19
93,2020-04-03,KCAREDBL17,54.7,17.4,36,1.0,30.13
94,2020-04-04,KCAREDBL17,47.9,31.8,82,3.3,29.96
95,2020-04-05,KCAREDBL17,52.5,37.0,77,4.3,29.78
96,2020-04-06,KCAREDBL17,52.9,30.6,64,1.1,30.08
97,2020-04-07,KCAREDBL17,55.8,38.5,67,0.9,30.17
98,2020-04-08,KCAREDBL17,63.2,22.8,58,1.6,30.04
99,2020-04-09,KCAREDBL17,56.5,45.5,75,1.4,30.13
100,2020-04-10,KCAREDBL17,64.0,42.8,58,0.9,30.15
101,2020-04-11,KCAREDBL17,64.0,45.7,62,1.6,30.07
102,2020-04-12,KCAREDBL17,66.9,15.3,42,1.6,30.08
103,2020-04-13,KCAREDBL17,63.2,15.1,29,2.5,30.27
104,2020-04-14,KCAREDBL17,62.9,15.1,33,1.4,30.35
105,2020-04-15,KCAREDBL17,65.4,34.3,44,0.8,30.18
106,2020-04-16,KCAREDBL17,66.9,31.8,39,1.5,29.97
107,2020-04-17,KCAREDBL17,65.4,17.2,36,1.6,29.99
108,2020-04-18,KCAREDBL17,60.7,42.1,58,1.6,30.1
109,2020-04-19,KCAREDBL17,60.8,36.5,52,0.9,30.14
110,2020-04-20,KCAREDBL17,59.8,38.5,56,0.7,30.17
111,2020-04-21,KCAREDBL17,65.1,21.6,50,0.5,30.26
112,2020-04-22,KCAREDBL17,68.7,35.4,43,1.1,30.32
113,2020-04-23,KCAREDBL17,72.2,16.5,34,1.6,30.27
114,2020-04-24,KCAREDBL17,73.8,28.9,31,1.0,30.19
115,2020-04-25,KCAREDBL17,73.4,23.4,37,0.5,30.11
116,2020-04-26,KCAREDBL17,74.3,23.9,33,1.1,30.06
