,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,Precipin
60,2020-03-01,KCOSILVE46,31.2,6.3,51,,29.93,
61,2020-03-02,KCOSILVE46,27.9,4.4,63,,30.04,
62,2020-03-03,KCOSILVE46,22.3,0.1,58,,30.24,
63,2020-03-04,KCOSILVE46,23.4,2.4,53,,30.34,
64,2020-03-05,KCOSILVE46,28.2,3.8,49,,30.53,
65,2020-03-06,KCOSILVE46,30.9,2.9,46,,30.52,
66,2020-03-07,KCOSILVE46,34.0,8.4,47,,30.28,
67,2020-03-08,KCOSILVE46,40.2,14.6,46,,30.05,
68,2020-03-09,KCOSILVE46,37.9,13.9,51,,30.29,
69,2020-03-10,KCOSILVE46,35.5,10.8,51,,30.35,
70,2020-03-11,KCOSILVE46,37.6,13.7,51,,30.34,
71,2020-03-12,KCOSILVE46,40.3,14.7,46,,30.07,
72,2020-03-13,KCOSILVE46,37.0,12.7,56,,30.06,
73,2020-03-14,KCOSILVE46,35.7,15.9,53,,30.24,
74,2020-03-15,KCOSILVE46,35.3,11.3,50,,30.25,
75,2020-03-16,KCOSILVE46,37.4,12.1,44,,30.25,
76,2020-03-17,KCOSILVE46,41.0,11.9,39,,30.15,
77,2020-03-18,KCOSILVE46,37.4,7.0,41,,30.01,
78,2020-03-19,KCOSILVE46,32.7,16.0,63,,30.16,
79,2020-03-20,KCOSILVE46,29.3,7.4,60,,30.27,
80,2020-03-21,KCOSILVE46,32.4,10.4,57,,30.29,
81,2020-03-22,KCOSILVE46,32.0,13.8,61,,30.18,
82,2020-03-23,KCOSILVE46,30.7,5.9,58,,30.18,
83,2020-03-24,KCOSILVE46,37.0,16.6,55,,30.11,
84,2020-03-25,KCOSILVE46,40.4,11.0,39,,29.95,
85,2020-03-26,KCOSILVE46,41.3,7.7,30,,29.83,
86,2020-03-27,KCOSILVE46,29.2,6.1,53,,29.76,
87,2020-03-28,KCOSILVE46,24.2,6.6,58,,30.14,
88,2020-03-29,KCOSILVE46,29.2,2.9,51,,30.17,
89,2020-03-30,KCOSILVE46,33.0,16.1,58,,30.26,
90,2020-03-31,KCOSILVE46,39.2,16.7,51,,30.24,
91,2020-04-01,KCOSILVE46,44.0,13.2,37,,30.01,
92,2020-04-02,KCOSILVE46,35.8,12.2,50,,30.02,
93,2020-04-03,KCOSILVE46,27.3,6.7,55,,30.07,
94,2020-04-04,KCOSILVE46,38.0,10.9,46,,29.99,
95,2020-04-05,KCOSILVE46,44.1,12.0,37,,30.0,
96,2020-04-06,KCOSILVE46,43.6,9.1,31,,30.12,
97,2020-04-07,KCOSILVE46,45.2,8.1,27,,30.23,
98,2020-04-08,KCOSILVE46,42.2,7.5,32,,30.29,
99,2020-04-09,KCOSILVE46,43.4,7.2,36,,30.27,
100,2020-04-10,KCOSILVE46,44.2,19.5,49,,30.2,
101,2020-04-11,KCOSILVE46,42.3,7.1,36,,30.03,
102,2020-04-12,KCOSILVE46,29.0,14.5,69,,29.92,
103,2020-04-13,KCOSILVE46,20.6,5.7,70,,30.1,
104,2020-04-14,KCOSILVE46,19.5,5.0,57,,30.16,
