,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KCOSTERL30,37.2,16.2,59,2.1,30.05
61,2020-03-02,KCOSTERL30,37.7,15.1,63,2.4,30.04
62,2020-03-03,KCOSTERL30,41.0,15.1,51,2.6,30.09
63,2020-03-04,KCOSTERL30,46.1,8.4,45,2.7,30.16
64,2020-03-05,KCOSTERL30,40.0,15.1,48,1.5,30.42
65,2020-03-06,KCOSTERL30,45.6,10.6,43,0.7,30.37
66,2020-03-07,KCOSTERL30,50.8,15.4,35,0.6,30.06
67,2020-03-08,KCOSTERL30,51.6,18.1,49,2.6,29.97
68,2020-03-09,KCOSTERL30,45.6,32.2,74,1.9,30.14
69,2020-03-10,KCOSTERL30,46.1,26.4,63,1.2,30.16
70,2020-03-11,KCOSTERL30,49.8,21.7,49,0.9,30.12
71,2020-03-12,KCOSTERL30,42.4,25.0,61,3.5,30.16
72,2020-03-13,KCOSTERL30,32.2,19.8,80,4.6,30.17
73,2020-03-14,KCOSTERL30,30.6,25.5,88,4.2,30.32
74,2020-03-15,KCOSTERL30,37.7,27.9,84,3.5,30.3
75,2020-03-16,KCOSTERL30,39.0,32.2,88,2.5,30.25
76,2020-03-17,KCOSTERL30,40.4,31.6,85,3.3,30.25
77,2020-03-18,KCOSTERL30,46.0,35.8,86,2.5,29.94
78,2020-03-19,KCOSTERL30,35.1,20.3,98,5.2,30.36
79,2020-03-20,KCOSTERL30,23.2,12.2,84,2.1,30.48
80,2020-03-21,KCOSTERL30,30.0,12.2,86,1.0,30.29
81,2020-03-22,KCOSTERL30,41.0,26.4,73,1.8,30.06
82,2020-03-23,KCOSTERL30,48.2,23.9,56,1.4,30.08
83,2020-03-24,KCOSTERL30,51.4,21.7,55,1.5,29.98
84,2020-03-25,KCOSTERL30,50.7,28.9,55,1.9,29.85
85,2020-03-26,KCOSTERL30,40.8,31.6,80,2.1,29.83
86,2020-03-27,KCOSTERL30,42.0,33.1,79,1.9,29.83
87,2020-03-28,KCOSTERL30,40.2,24.3,72,5.1,30.02
