,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,Precipin
58,2020-03-01,KFLCALLA17,50.1,30.3,67,0.5,30.29,0.0
59,2020-03-02,KFLCALLA17,60.5,40.7,72,1.5,30.18,0.0
60,2020-03-03,KFLCALLA17,71.2,54.7,69,1.8,29.99,0.0
61,2020-03-04,KFLCALLA17,69.7,58.4,84,1.3,29.95,0.0
62,2020-03-05,KFLCALLA17,66.3,56.8,92,1.5,29.94,1.35
63,2020-03-06,KFLCALLA17,58.4,27.9,64,3.7,30.19,0.01
64,2020-03-07,KFLCALLA17,49.3,28.0,59,1.2,30.4,0.0
65,2020-03-08,KFLCALLA17,52.8,37.1,78,0.9,30.5,0.0
66,2020-03-09,KFLCALLA17,60.4,47.0,81,0.9,30.51,0.0
67,2020-03-10,KFLCALLA17,64.9,54.4,83,0.4,30.4,0.0
68,2020-03-11,KFLCALLA17,67.0,54.3,77,0.8,30.21,0.0
69,2020-03-12,KFLCALLA17,67.8,54.5,77,0.6,30.03,0.0
70,2020-03-13,KFLCALLA17,71.8,54.1,71,1.1,30.18,0.0
71,2020-03-14,KFLCALLA17,69.9,56.1,77,0.5,30.23,0.0
72,2020-03-15,KFLCALLA17,72.7,58.3,72,0.9,30.21,0.0
73,2020-03-16,KFLCALLA17,66.1,60.3,86,1.2,30.27,0.0
74,2020-03-17,KFLCALLA17,69.5,59.7,84,0.7,30.21,0.11
75,2020-03-18,KFLCALLA17,72.9,60.3,81,1.2,30.25,0.0
76,2020-03-19,KFLCALLA17,72.7,59.7,80,1.3,30.27,0.0
77,2020-03-20,KFLCALLA17,73.4,61.5,78,1.1,30.3,0.0
78,2020-03-21,KFLCALLA17,72.5,60.6,79,1.0,30.23,0.0
79,2020-03-22,KFLCALLA17,68.8,59.5,89,0.7,30.2,0.0
80,2020-03-23,KFLCALLA17,71.7,63.7,85,0.8,30.2,0.0
81,2020-03-24,KFLCALLA17,70.7,60.2,81,0.9,30.09,0.0
82,2020-03-25,KFLCALLA17,77.2,62.2,73,1.9,29.91,0.0
83,2020-03-26,KFLCALLA17,71.9,63.9,84,0.7,30.0,0.0
84,2020-03-27,KFLCALLA17,73.9,61.8,80,0.8,29.98,0.0
85,2020-03-28,KFLCALLA17,75.3,59.7,74,1.0,30.02,0.0
86,2020-03-29,KFLCALLA17,73.6,60.2,82,1.0,30.13,0.0
87,2020-03-30,KFLCALLA17,75.6,62.7,76,0.6,30.09,0.0
88,2020-03-31,KFLCALLA17,71.2,62.3,87,1.2,29.91,1.15
89,2020-04-01,KFLCALLA17,59.7,43.7,72,2.2,29.93,0.0
90,2020-04-02,KFLCALLA17,59.3,45.0,75,0.7,30.01,0.0
91,2020-04-03,KFLCALLA17,62.5,43.9,69,0.6,29.98,0.0
92,2020-04-04,KFLCALLA17,66.3,43.5,69,0.6,29.93,0.0
93,2020-04-05,KFLCALLA17,65.3,58.2,93,0.1,30.04,0.06
94,2020-04-06,KFLCALLA17,66.5,54.0,82,0.8,30.1,0.0
95,2020-04-07,KFLCALLA17,72.4,56.0,72,0.7,30.07,0.0
96,2020-04-08,KFLCALLA17,72.2,56.6,85,1.4,29.93,1.86
97,2020-04-09,KFLCALLA17,77.2,66.2,83,1.5,29.79,0.0
98,2020-04-10,KFLCALLA17,67.5,40.0,67,1.4,29.92,0.0
99,2020-04-11,KFLCALLA17,60.9,43.6,72,0.6,30.05,0.0
100,2020-04-12,KFLCALLA17,73.5,58.6,86,2.5,30.0,0.0
101,2020-04-13,KFLCALLA17,75.7,62.2,86,2.7,29.98,1.74
102,2020-04-14,KFLCALLA17,72.7,68.2,97,0.8,30.03,0.51
103,2020-04-15,KFLCALLA17,64.2,57.0,98,0.7,30.01,0.5
104,2020-04-16,KFLCALLA17,61.3,50.5,83,0.8,30.21,0.49
105,2020-04-17,KFLCALLA17,63.3,49.9,83,0.6,30.2,0.0
106,2020-04-18,KFLCALLA17,72.9,62.7,89,0.8,30.01,0.03
107,2020-04-19,KFLCALLA17,74.1,65.5,88,0.9,29.93,0.0
108,2020-04-20,KFLCALLA17,72.2,63.0,85,2.3,29.8,0.79
109,2020-04-21,KFLCALLA17,69.8,47.3,71,1.0,29.92,0.0
110,2020-04-22,KFLCALLA17,67.5,44.4,67,0.7,30.05,0.0
111,2020-04-23,KFLCALLA17,69.3,57.0,85,2.3,30.02,0.43
112,2020-04-24,KFLCALLA17,70.9,64.0,91,1.3,29.83,1.27
113,2020-04-25,KFLCALLA17,76.7,66.1,80,1.3,29.91,0.0
114,2020-04-26,KFLCALLA17,72.4,45.0,70,1.5,30.0,0.0
115,2020-04-27,KFLCALLA17,63.7,43.2,61,1.7,30.14,0.0
116,2020-04-28,KFLCALLA17,66.3,49.9,74,1.1,30.18,0.0
117,2020-04-29,KFLCALLA17,72.3,56.4,72,2.4,30.07,0.0
118,2020-04-30,KFLCALLA17,69.4,51.3,74,2.1,29.9,0.93
119,2020-05-01,KFLCALLA17,66.0,43.9,65,2.1,30.05,0.0
120,2020-05-02,KFLCALLA17,67.6,43.7,66,0.6,30.14,0.0
121,2020-05-03,KFLCALLA17,71.8,55.3,70,0.8,30.09,0.0
122,2020-05-04,KFLCALLA17,73.1,51.6,70,1.0,29.99,0.0
123,2020-05-05,KFLCALLA17,75.9,62.7,73,1.6,29.92,0.0
124,2020-05-06,KFLCALLA17,74.0,44.4,68,1.9,29.89,0.0
125,2020-05-07,KFLCALLA17,62.5,37.5,55,1.7,30.08,0.0
126,2020-05-08,KFLCALLA17,65.8,42.8,60,1.5,30.08,0.0
127,2020-05-09,KFLCALLA17,67.5,53.3,71,1.1,30.14,0.0
128,2020-05-10,KFLCALLA17,66.0,53.7,78,0.5,30.14,0.0
129,2020-05-11,KFLCALLA17,68.9,44.2,67,1.5,30.09,0.0
130,2020-05-12,KFLCALLA17,64.0,45.6,70,0.7,30.19,0.0
131,2020-05-13,KFLCALLA17,70.8,54.5,75,0.9,30.22,0.0
132,2020-05-14,KFLCALLA17,71.7,58.6,74,1.0,30.2,0.0
133,2020-05-15,KFLCALLA17,71.4,58.6,81,0.7,30.13,0.0
134,2020-05-16,KFLCALLA17,72.1,62.1,89,0.7,29.98,0.02
135,2020-05-17,KFLCALLA17,75.9,66.5,84,0.7,29.91,0.0
136,2020-05-18,KFLCALLA17,76.9,62.7,77,1.5,29.9,0.0
137,2020-05-19,KFLCALLA17,78.4,64.4,72,1.6,29.82,0.0
138,2020-05-20,KFLCALLA17,76.2,64.3,78,1.0,29.89,0.01
139,2020-05-21,KFLCALLA17,77.5,67.0,80,1.2,30.03,0.02
140,2020-05-22,KFLCALLA17,78.9,64.5,74,1.0,30.05,0.0
141,2020-05-23,KFLCALLA17,77.0,66.6,82,1.4,30.09,0.84
142,2020-05-24,KFLCALLA17,76.6,67.3,86,0.6,30.03,0.0
143,2020-05-25,KFLCALLA17,77.2,71.9,88,0.8,29.99,0.01
144,2020-05-26,KFLCALLA17,74.1,70.6,96,0.6,29.92,0.97
145,2020-05-27,KFLCALLA17,76.9,71.8,92,0.5,29.94,0.85
146,2020-05-28,KFLCALLA17,76.1,71.1,93,0.9,30.03,0.06
