,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KFLFELLS8,57.9,40.0,71,3.1,30.31
61,2020-03-02,KFLFELLS8,63.8,46.0,77,4.3,30.21
62,2020-03-03,KFLFELLS8,71.1,53.0,77,4.6,30.05
63,2020-03-04,KFLFELLS8,74.9,60.0,79,4.1,30.02
64,2020-03-05,KFLFELLS8,77.8,63.0,80,7.2,30.03
65,2020-03-06,KFLFELLS8,69.2,41.0,80,6.5,30.15
66,2020-03-07,KFLFELLS8,57.5,36.0,66,7.6,30.34
67,2020-03-08,KFLFELLS8,65.2,47.0,65,8.5,30.43
68,2020-03-09,KFLFELLS8,68.3,52.0,71,7.4,30.47
69,2020-03-10,KFLFELLS8,69.8,58.0,76,4.7,30.38
70,2020-03-11,KFLFELLS8,68.4,54.0,79,3.6,30.24
71,2020-03-12,KFLFELLS8,69.3,58.0,82,2.6,30.07
72,2020-03-13,KFLFELLS8,72.7,57.0,75,3.9,30.19
73,2020-03-14,KFLFELLS8,72.0,57.0,82,4.1,30.23
74,2020-03-15,KFLFELLS8,71.8,58.0,82,2.0,30.23
75,2020-03-16,KFLFELLS8,70.9,58.0,85,3.6,30.21
76,2020-03-17,KFLFELLS8,72.6,59.0,81,4.0,30.22
77,2020-03-18,KFLFELLS8,71.3,57.0,80,4.1,30.26
78,2020-03-19,KFLFELLS8,72.8,60.0,81,5.8,30.29
79,2020-03-20,KFLFELLS8,73.0,61.0,81,5.2,30.3
80,2020-03-21,KFLFELLS8,71.5,57.0,83,2.9,30.26
81,2020-03-22,KFLFELLS8,73.2,61.0,81,3.4,30.2
82,2020-03-23,KFLFELLS8,73.2,60.0,80,3.6,30.21
83,2020-03-24,KFLFELLS8,75.2,63.0,77,4.6,30.14
84,2020-03-25,KFLFELLS8,76.5,64.0,75,5.9,30.0
85,2020-03-26,KFLFELLS8,74.5,64.0,85,4.6,30.0
86,2020-03-27,KFLFELLS8,75.2,62.0,82,4.4,30.03
87,2020-03-28,KFLFELLS8,73.4,57.0,81,4.4,30.08
88,2020-03-29,KFLFELLS8,74.9,57.0,81,3.8,30.15
89,2020-03-30,KFLFELLS8,75.6,64.0,83,3.7,30.13
90,2020-03-31,KFLFELLS8,78.0,64.0,76,8.4,29.95
91,2020-04-01,KFLFELLS8,68.5,55.0,79,6.7,29.91
92,2020-04-02,KFLFELLS8,65.6,52.0,74,2.9,29.98
93,2020-04-03,KFLFELLS8,67.3,51.0,75,3.1,29.99
94,2020-04-04,KFLFELLS8,71.3,53.0,74,3.4,29.95
95,2020-04-05,KFLFELLS8,67.1,61.0,87,1.9,30.02
96,2020-04-06,KFLFELLS8,70.3,64.0,89,5.3,30.06
