,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KFLPANAM165,54.8,35.5,66,2.9,30.33
61,2020-03-02,KFLPANAM165,64.0,46.7,80,5.5,30.2
62,2020-03-03,KFLPANAM165,69.1,59.4,92,3.3,29.99
63,2020-03-04,KFLPANAM165,71.5,58.4,93,4.7,29.98
64,2020-03-05,KFLPANAM165,65.3,53.3,93,5.3,30.1
65,2020-03-06,KFLPANAM165,58.0,26.0,55,5.1,30.33
66,2020-03-07,KFLPANAM165,51.3,27.9,50,3.1,30.47
67,2020-03-08,KFLPANAM165,57.0,35.2,60,2.8,30.54
68,2020-03-09,KFLPANAM165,62.0,46.2,68,3.9,30.52
69,2020-03-10,KFLPANAM165,65.1,50.4,83,2.4,30.41
70,2020-03-11,KFLPANAM165,69.3,59.9,84,3.1,30.27
71,2020-03-12,KFLPANAM165,68.0,58.2,86,2.7,30.1
72,2020-03-13,KFLPANAM165,70.6,59.5,82,3.1,30.25
73,2020-03-14,KFLPANAM165,67.7,56.5,79,2.0,30.29
74,2020-03-15,KFLPANAM165,68.6,53.5,76,1.9,30.31
75,2020-03-16,KFLPANAM165,69.2,55.2,82,2.0,30.27
76,2020-03-17,KFLPANAM165,71.0,59.9,82,2.2,30.25
77,2020-03-18,KFLPANAM165,70.7,61.5,83,2.6,30.28
78,2020-03-19,KFLPANAM165,70.9,58.3,84,3.3,30.27
79,2020-03-20,KFLPANAM165,71.6,61.6,87,2.5,30.33
80,2020-03-21,KFLPANAM165,71.4,61.6,86,2.3,30.29
81,2020-03-22,KFLPANAM165,70.9,60.8,83,2.7,30.26
82,2020-03-23,KFLPANAM165,71.5,61.0,86,3.5,30.24
83,2020-03-24,KFLPANAM165,74.7,64.0,81,4.6,30.12
84,2020-03-25,KFLPANAM165,76.6,68.9,83,6.9,29.96
85,2020-03-26,KFLPANAM165,74.2,61.3,81,2.4,30.05
86,2020-03-27,KFLPANAM165,75.3,65.1,83,3.5,30.03
87,2020-03-28,KFLPANAM165,74.4,61.9,86,3.8,30.07
88,2020-03-29,KFLPANAM165,76.6,68.0,86,3.9,30.15
