,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KFLSTCLO49,54.6,32.5,72,0.9,30.45
61,2020-03-02,KFLSTCLO49,62.7,45.3,74,0.7,30.31
62,2020-03-03,KFLSTCLO49,68.2,51.8,79,0.7,30.14
63,2020-03-04,KFLSTCLO49,74.0,59.5,79,0.7,30.09
64,2020-03-05,KFLSTCLO49,77.2,63.7,81,1.6,30.1
65,2020-03-06,KFLSTCLO49,67.6,36.0,71,2.1,30.27
66,2020-03-07,KFLSTCLO49,55.5,29.5,57,2.4,30.47
67,2020-03-08,KFLSTCLO49,60.0,43.9,72,1.9,30.55
68,2020-03-09,KFLSTCLO49,62.9,48.2,80,1.6,30.58
69,2020-03-10,KFLSTCLO49,66.6,54.0,83,0.8,30.47
70,2020-03-11,KFLSTCLO49,68.0,52.7,79,0.6,30.32
71,2020-03-12,KFLSTCLO49,69.9,57.0,80,0.6,30.15
72,2020-03-13,KFLSTCLO49,75.1,54.5,69,1.0,30.27
73,2020-03-14,KFLSTCLO49,71.2,55.8,80,1.2,30.33
74,2020-03-15,KFLSTCLO49,72.8,57.9,78,0.7,30.31
75,2020-03-16,KFLSTCLO49,69.8,58.8,88,1.2,30.31
76,2020-03-17,KFLSTCLO49,71.6,60.1,82,1.0,30.3
77,2020-03-18,KFLSTCLO49,71.8,58.1,81,1.4,30.34
78,2020-03-19,KFLSTCLO49,73.7,59.9,79,1.4,30.36
79,2020-03-20,KFLSTCLO49,74.0,59.4,78,1.1,30.38
80,2020-03-21,KFLSTCLO49,73.5,57.7,77,0.8,30.34
81,2020-03-22,KFLSTCLO49,74.1,60.4,78,1.0,30.2
82,2020-03-23,KFLSTCLO49,75.4,61.7,76,0.6,30.19
83,2020-03-24,KFLSTCLO49,74.3,58.8,75,0.6,30.12
84,2020-03-25,KFLSTCLO49,76.1,63.9,76,1.5,29.99
85,2020-03-26,KFLSTCLO49,76.1,67.1,83,1.3,29.99
86,2020-03-27,KFLSTCLO49,77.1,62.1,77,0.9,30.02
87,2020-03-28,KFLSTCLO49,76.4,62.1,77,0.7,30.06
88,2020-03-29,KFLSTCLO49,76.9,60.1,77,0.5,30.14
