,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KGAEATON9,45.8,22.8,62,0.2,30.36
61,2020-03-02,KGAEATON9,50.5,33.3,71,0.1,30.21
62,2020-03-03,KGAEATON9,61.0,39.7,62,0.1,29.96
63,2020-03-04,KGAEATON9,56.4,39.9,60,0.1,30.1
64,2020-03-05,KGAEATON9,50.0,36.3,69,0.5,30.09
65,2020-03-06,KGAEATON9,48.4,25.5,58,3.6,30.35
66,2020-03-07,KGAEATON9,43.8,24.8,61,0.8,30.51
67,2020-03-08,KGAEATON9,45.7,27.1,66,0.4,30.65
68,2020-03-09,KGAEATON9,53.5,34.2,72,0.3,30.62
69,2020-03-10,KGAEATON9,59.9,48.7,81,0.2,30.44
70,2020-03-11,KGAEATON9,57.8,38.7,75,0.2,30.24
71,2020-03-12,KGAEATON9,62.5,44.8,75,0.1,30.07
72,2020-03-13,KGAEATON9,70.5,57.6,76,1.2,30.22
73,2020-03-14,KGAEATON9,67.6,46.6,70,0.3,30.3
74,2020-03-15,KGAEATON9,58.8,46.4,83,0.1,30.31
75,2020-03-16,KGAEATON9,56.3,49.1,84,0.4,30.39
76,2020-03-17,KGAEATON9,57.4,43.5,83,0.2,30.29
77,2020-03-18,KGAEATON9,64.2,40.6,72,0.3,30.33
78,2020-03-19,KGAEATON9,69.1,45.3,67,0.3,30.3
79,2020-03-20,KGAEATON9,69.9,48.2,72,0.4,30.31
80,2020-03-21,KGAEATON9,67.6,53.2,74,1.7,30.27
81,2020-03-22,KGAEATON9,56.0,45.7,84,0.5,30.32
82,2020-03-23,KGAEATON9,55.3,41.5,68,0.1,30.31
83,2020-03-24,KGAEATON9,63.2,46.2,71,0.1,30.1
84,2020-03-25,KGAEATON9,66.4,49.1,68,1.3,29.94
85,2020-03-26,KGAEATON9,61.3,39.9,74,0.4,30.1
86,2020-03-27,KGAEATON9,69.4,46.4,72,0.2,30.02
87,2020-03-28,KGAEATON9,71.8,50.0,70,0.2,30.03
88,2020-03-29,KGAEATON9,71.9,51.1,71,0.7,30.1
89,2020-03-30,KGAEATON9,66.2,38.5,51,0.8,30.16
90,2020-03-31,KGAEATON9,57.4,43.7,75,1.2,29.98
91,2020-04-01,KGAEATON9,51.5,36.9,68,2.1,30.04
92,2020-04-02,KGAEATON9,51.4,33.6,69,0.4,30.15
93,2020-04-03,KGAEATON9,57.5,36.1,66,0.2,30.08
94,2020-04-04,KGAEATON9,61.9,41.2,62,0.2,30.02
95,2020-04-05,KGAEATON9,65.1,48.6,68,0.1,30.07
96,2020-04-06,KGAEATON9,67.0,46.0,70,0.1,30.14
97,2020-04-07,KGAEATON9,66.5,52.7,78,0.2,30.09
98,2020-04-08,KGAEATON9,68.5,49.5,76,0.5,29.97
99,2020-04-09,KGAEATON9,69.4,43.0,61,1.6,29.78
100,2020-04-10,KGAEATON9,58.8,20.3,40,1.9,30.02
101,2020-04-11,KGAEATON9,53.9,28.8,55,0.3,30.15
102,2020-04-12,KGAEATON9,60.2,42.3,78,0.5,30.07
103,2020-04-13,KGAEATON9,68.8,48.7,68,1.2,30.05
104,2020-04-14,KGAEATON9,61.7,42.8,73,0.7,30.07
105,2020-04-15,KGAEATON9,56.2,30.7,57,1.2,30.12
106,2020-04-16,KGAEATON9,55.2,27.3,50,0.4,30.31
107,2020-04-17,KGAEATON9,58.2,39.9,66,0.2,30.31
108,2020-04-18,KGAEATON9,62.8,35.2,65,1.1,30.03
109,2020-04-19,KGAEATON9,49.4,39.4,77,0.1,30.07
110,2020-04-20,KGAEATON9,61.1,42.6,71,1.2,29.87
111,2020-04-21,KGAEATON9,60.4,39.2,68,1.2,29.98
112,2020-04-22,KGAEATON9,59.4,38.1,66,0.1,30.14
113,2020-04-23,KGAEATON9,58.7,46.6,78,0.5,30.11
114,2020-04-24,KGAEATON9,64.7,49.1,71,0.9,29.85
115,2020-04-25,KGAEATON9,65.2,42.6,68,0.2,29.95
116,2020-04-26,KGAEATON9,62.3,42.4,61,3.4,30.11
117,2020-04-27,KGAEATON9,59.1,39.4,62,1.4,30.2
118,2020-04-28,KGAEATON9,62.2,42.3,66,0.1,30.24
119,2020-04-29,KGAEATON9,64.7,50.2,79,0.5,30.05
120,2020-04-30,KGAEATON9,57.2,45.3,77,0.9,29.92
121,2020-05-01,KGAEATON9,59.0,39.6,64,1.7,30.08
122,2020-05-02,KGAEATON9,63.4,40.8,66,0.1,30.22
123,2020-05-03,KGAEATON9,69.3,48.9,65,0.3,30.13
124,2020-05-04,KGAEATON9,72.5,54.7,71,0.2,30.0
125,2020-05-05,KGAEATON9,73.2,54.1,74,0.4,29.92
126,2020-05-06,KGAEATON9,64.9,38.1,58,3.2,30.08
127,2020-05-07,KGAEATON9,55.2,36.3,62,1.1,30.17
128,2020-05-08,KGAEATON9,56.5,40.8,74,0.3,30.1
129,2020-05-09,KGAEATON9,55.0,34.9,67,0.8,30.22
130,2020-05-10,KGAEATON9,57.7,37.0,67,0.2,30.28
131,2020-05-11,KGAEATON9,57.1,31.6,57,1.6,30.2
132,2020-05-12,KGAEATON9,56.9,37.4,64,0.2,30.34
133,2020-05-13,KGAEATON9,64.9,47.8,72,0.1,30.31
134,2020-05-14,KGAEATON9,69.8,51.4,70,0.2,30.32
135,2020-05-15,KGAEATON9,70.0,50.2,72,0.1,30.2
136,2020-05-16,KGAEATON9,71.4,51.4,72,0.2,30.09
137,2020-05-17,KGAEATON9,73.4,55.2,72,0.2,30.02
138,2020-05-18,KGAEATON9,69.3,55.0,79,0.1,29.92
139,2020-05-19,KGAEATON9,69.6,55.0,70,0.5,29.84
140,2020-05-20,KGAEATON9,56.8,48.4,82,0.2,29.99
141,2020-05-21,KGAEATON9,63.6,46.2,77,0.2,30.06
142,2020-05-22,KGAEATON9,73.6,56.7,76,0.2,30.1
143,2020-05-23,KGAEATON9,74.3,53.2,74,0.3,30.13
144,2020-05-24,KGAEATON9,76.8,57.7,73,0.2,30.09
145,2020-05-25,KGAEATON9,72.2,56.3,79,0.3,30.11
146,2020-05-26,KGAEATON9,69.3,59.4,83,0.2,30.08
147,2020-05-27,KGAEATON9,69.9,61.9,87,0.0,30.02
148,2020-05-28,KGAEATON9,75.1,59.4,75,0.1,30.06
149,2020-05-29,KGAEATON9,74.5,59.4,78,0.2,30.06
150,2020-05-30,KGAEATON9,74.8,56.5,70,0.5,30.05
151,2020-05-31,KGAEATON9,73.0,58.1,75,0.1,30.09
152,2020-06-01,KGAEATON9,72.1,59.9,77,0.2,30.24
153,2020-06-02,KGAEATON9,73.0,57.7,76,0.1,30.24
154,2020-06-03,KGAEATON9,75.4,60.8,77,0.1,30.11
155,2020-06-04,KGAEATON9,74.9,65.5,83,0.1,29.99
156,2020-06-05,KGAEATON9,73.4,60.3,83,0.3,30.01
157,2020-06-06,KGAEATON9,75.7,61.0,79,0.0,30.03
158,2020-06-07,KGAEATON9,76.2,61.2,81,0.1,30.01
159,2020-06-08,KGAEATON9,76.4,64.9,83,0.1,29.99
160,2020-06-09,KGAEATON9,76.8,63.3,78,0.1,30.01
161,2020-06-10,KGAEATON9,76.4,63.3,81,0.1,30.03
162,2020-06-11,KGAEATON9,77.8,63.1,73,0.3,30.1
163,2020-06-12,KGAEATON9,75.7,62.2,75,0.2,30.14
164,2020-06-13,KGAEATON9,74.9,56.5,70,0.1,30.12
165,2020-06-14,KGAEATON9,72.3,57.7,76,0.2,30.21
166,2020-06-15,KGAEATON9,68.8,56.5,78,0.1,30.22
167,2020-06-16,KGAEATON9,63.6,56.3,82,0.1,30.22
168,2020-06-17,KGAEATON9,64.4,51.1,82,0.1,30.16
169,2020-06-18,KGAEATON9,71.2,57.2,77,0.1,30.09
170,2020-06-19,KGAEATON9,74.7,58.8,75,0.0,30.13
171,2020-06-20,KGAEATON9,75.7,58.6,73,0.1,30.1
172,2020-06-21,KGAEATON9,77.0,61.7,76,0.1,30.04
173,2020-06-22,KGAEATON9,76.1,60.1,77,0.0,30.06
174,2020-06-23,KGAEATON9,75.9,64.0,84,0.1,30.0
175,2020-06-24,KGAEATON9,75.8,66.6,83,0.0,30.01
176,2020-06-25,KGAEATON9,74.0,63.1,84,0.2,30.12
177,2020-06-26,KGAEATON9,76.5,63.3,78,0.4,30.22
178,2020-06-27,KGAEATON9,74.9,64.8,80,0.3,30.15
179,2020-06-28,KGAEATON9,79.7,66.0,76,0.4,30.03
180,2020-06-29,KGAEATON9,81.3,67.3,75,0.8,30.03
181,2020-06-30,KGAEATON9,78.9,67.5,77,0.6,29.98
182,2020-07-01,KGAEATON9,75.5,63.5,81,0.6,29.96
183,2020-07-02,KGAEATON9,79.6,64.4,76,0.1,29.92
184,2020-07-03,KGAEATON9,80.8,66.2,74,0.1,29.97
185,2020-07-04,KGAEATON9,80.8,66.2,75,0.1,29.96
186,2020-07-05,KGAEATON9,81.2,63.3,71,0.2,29.98
187,2020-07-06,KGAEATON9,74.9,68.9,88,0.1,30.03
188,2020-07-07,KGAEATON9,76.2,67.3,85,0.2,29.97
189,2020-07-08,KGAEATON9,77.9,67.3,82,0.2,29.98
190,2020-07-09,KGAEATON9,79.5,67.6,81,0.1,29.94
191,2020-07-10,KGAEATON9,81.0,66.7,78,0.2,29.96
192,2020-07-11,KGAEATON9,80.4,62.4,71,0.9,29.91
193,2020-07-12,KGAEATON9,77.8,62.2,74,0.1,29.9
194,2020-07-13,KGAEATON9,79.9,65.7,74,0.6,29.93
195,2020-07-14,KGAEATON9,81.6,64.9,71,0.1,30.01
196,2020-07-15,KGAEATON9,82.0,68.7,74,0.1,30.08
197,2020-07-16,KGAEATON9,82.2,64.0,75,0.2,30.15
198,2020-07-17,KGAEATON9,82.1,68.2,75,0.1,30.22
199,2020-07-18,KGAEATON9,81.6,69.1,77,0.1,30.15
200,2020-07-19,KGAEATON9,81.7,64.9,72,0.1,30.11
201,2020-07-20,KGAEATON9,83.1,64.8,71,0.1,30.06
202,2020-07-21,KGAEATON9,78.0,69.3,84,0.2,30.1
203,2020-07-22,KGAEATON9,80.4,65.7,75,0.1,30.14
204,2020-07-23,KGAEATON9,80.1,66.7,77,0.1,30.19
205,2020-07-24,KGAEATON9,79.2,64.9,77,0.1,30.2
206,2020-07-25,KGAEATON9,75.9,67.3,86,0.1,30.18
207,2020-07-26,KGAEATON9,79.2,63.3,75,0.1,30.18
208,2020-07-27,KGAEATON9,82.2,67.6,74,0.1,30.1
209,2020-07-28,KGAEATON9,79.6,68.7,82,0.2,30.04
210,2020-07-29,KGAEATON9,79.0,70.7,84,0.1,30.06
211,2020-07-30,KGAEATON9,78.9,70.3,84,0.2,30.01
212,2020-07-31,KGAEATON9,80.4,70.5,84,0.2,29.96
213,2020-08-01,KGAEATON9,81.8,67.8,75,0.2,29.98
214,2020-08-02,KGAEATON9,82.5,65.7,72,0.1,30.0
215,2020-08-03,KGAEATON9,76.9,63.9,82,0.4,29.99
216,2020-08-04,KGAEATON9,76.0,60.8,78,0.1,30.0
217,2020-08-05,KGAEATON9,78.9,65.3,79,0.1,30.03
218,2020-08-06,KGAEATON9,78.6,66.7,80,0.1,30.05
219,2020-08-07,KGAEATON9,77.9,67.3,82,0.1,30.1
220,2020-08-08,KGAEATON9,76.6,64.6,81,0.2,30.16
221,2020-08-09,KGAEATON9,79.9,65.8,77,0.2,30.16
