,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KGAPEBBL3,52.3,30.2,61,0.8,30.78
61,2020-03-02,KGAPEBBL3,60.0,38.5,66,3.3,30.68
62,2020-03-03,KGAPEBBL3,69.0,54.5,78,3.2,30.44
63,2020-03-04,KGAPEBBL3,62.0,53.8,91,1.5,30.51
64,2020-03-05,KGAPEBBL3,55.0,50.2,94,1.5,30.51
65,2020-03-06,KGAPEBBL3,55.5,33.3,70,3.2,30.75
66,2020-03-07,KGAPEBBL3,49.5,28.9,57,1.4,30.91
67,2020-03-08,KGAPEBBL3,53.3,33.1,66,1.0,31.03
68,2020-03-09,KGAPEBBL3,61.4,43.9,70,1.1,31.01
69,2020-03-10,KGAPEBBL3,65.8,51.8,72,1.2,30.89
70,2020-03-11,KGAPEBBL3,66.7,54.0,77,1.1,30.71
71,2020-03-12,KGAPEBBL3,68.3,55.0,78,1.2,30.55
72,2020-03-13,KGAPEBBL3,72.0,57.6,73,1.4,30.68
73,2020-03-14,KGAPEBBL3,71.5,54.9,72,0.6,30.74
74,2020-03-15,KGAPEBBL3,72.9,55.8,68,0.8,30.73
75,2020-03-16,KGAPEBBL3,67.3,57.0,77,1.5,30.77
76,2020-03-17,KGAPEBBL3,69.8,57.2,79,1.5,30.71
77,2020-03-18,KGAPEBBL3,73.8,60.1,76,1.1,30.74
78,2020-03-19,KGAPEBBL3,73.9,57.7,72,1.3,30.75
79,2020-03-20,KGAPEBBL3,73.6,56.3,70,1.4,30.79
80,2020-03-21,KGAPEBBL3,71.6,58.6,77,0.9,30.74
81,2020-03-22,KGAPEBBL3,69.2,54.9,74,1.3,30.71
82,2020-03-23,KGAPEBBL3,68.6,57.6,81,1.4,30.71
83,2020-03-24,KGAPEBBL3,73.5,59.7,72,2.4,30.57
84,2020-03-25,KGAPEBBL3,76.8,60.6,70,2.6,30.37
85,2020-03-26,KGAPEBBL3,73.0,53.4,67,0.9,30.51
86,2020-03-27,KGAPEBBL3,75.0,59.5,72,1.6,30.49
87,2020-03-28,KGAPEBBL3,75.7,59.5,71,2.1,30.51
88,2020-03-29,KGAPEBBL3,77.7,63.0,72,1.7,30.59
89,2020-03-30,KGAPEBBL3,74.0,51.6,60,0.7,30.62
90,2020-03-31,KGAPEBBL3,66.3,50.0,75,2.0,30.43
91,2020-04-01,KGAPEBBL3,58.1,40.1,64,2.3,30.46
92,2020-04-02,KGAPEBBL3,58.5,38.1,64,1.0,30.54
93,2020-04-03,KGAPEBBL3,63.3,42.6,62,0.8,30.5
94,2020-04-04,KGAPEBBL3,69.3,47.5,58,0.7,30.43
95,2020-04-05,KGAPEBBL3,69.4,52.5,68,0.7,30.02
96,2020-04-06,KGAPEBBL3,70.1,52.2,68,0.7,30.08
97,2020-04-07,KGAPEBBL3,70.9,54.9,71,0.8,30.05
98,2020-04-08,KGAPEBBL3,74.4,62.1,79,1.9,29.9
99,2020-04-09,KGAPEBBL3,76.6,61.9,79,2.0,29.76
100,2020-04-10,KGAPEBBL3,65.1,39.0,58,1.7,29.94
101,2020-04-11,KGAPEBBL3,59.3,35.4,55,1.0,30.04
102,2020-04-12,KGAPEBBL3,70.4,44.4,75,3.2,29.96
103,2020-04-13,KGAPEBBL3,74.2,58.6,73,3.5,29.95
