,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KIAKAMRA2,40.2,28.8,80,8.6,29.71
61,2020-03-02,KIAKAMRA2,32.8,26.4,83,8.5,29.7
62,2020-03-03,KIAKAMRA2,39.5,28.6,78,12.6,29.63
63,2020-03-04,KIAKAMRA2,40.3,27.1,80,5.8,29.82
64,2020-03-05,KIAKAMRA2,38.2,26.8,76,24.7,30.14
65,2020-03-06,KIAKAMRA2,34.9,21.0,70,6.3,30.35
66,2020-03-07,KIAKAMRA2,46.1,22.3,55,12.4,30.17
67,2020-03-08,KIAKAMRA2,54.4,31.3,58,13.8,29.85
68,2020-03-09,KIAKAMRA2,36.3,27.1,91,10.8,29.95
69,2020-03-10,KIAKAMRA2,34.8,22.8,86,5.7,30.1
70,2020-03-11,KIAKAMRA2,41.4,32.2,84,5.5,29.91
71,2020-03-12,KIAKAMRA2,45.7,27.5,82,16.9,29.88
72,2020-03-13,KIAKAMRA2,38.3,23.9,66,10.0,30.24
73,2020-03-14,KIAKAMRA2,30.3,22.8,85,5.2,30.41
74,2020-03-15,KIAKAMRA2,30.3,18.9,83,4.5,30.45
75,2020-03-16,KIAKAMRA2,35.7,27.7,90,6.4,30.19
76,2020-03-17,KIAKAMRA2,36.3,21.9,77,3.6,30.15
77,2020-03-18,KIAKAMRA2,41.4,35.6,96,3.6,29.92
78,2020-03-19,KIAKAMRA2,42.8,34.7,99,5.7,29.81
79,2020-03-20,KIAKAMRA2,28.0,16.9,83,17.6,30.36
80,2020-03-21,KIAKAMRA2,33.0,19.2,73,5.1,30.36
81,2020-03-22,KIAKAMRA2,33.3,25.9,84,10.4,30.17
82,2020-03-23,KIAKAMRA2,38.8,30.7,92,5.3,29.97
83,2020-03-24,KIAKAMRA2,41.5,36.9,91,6.9,29.9
84,2020-03-25,KIAKAMRA2,45.0,37.4,94,6.9,29.7
85,2020-03-26,KIAKAMRA2,43.9,37.6,90,4.0,29.68
86,2020-03-27,KIAKAMRA2,45.7,36.9,89,7.7,29.68
87,2020-03-28,KIAKAMRA2,48.8,43.5,95,10.5,29.54
88,2020-03-29,KIAKAMRA2,44.0,32.5,78,23.4,29.93
89,2020-03-30,KIAKAMRA2,45.7,21.2,61,2.7,30.06
90,2020-03-31,KIAKAMRA2,45.3,28.4,66,4.6,29.94
91,2020-04-01,KIAKAMRA2,46.9,31.6,74,11.8,29.86
92,2020-04-02,KIAKAMRA2,54.0,38.8,72,10.5,29.79
93,2020-04-03,KIAKAMRA2,29.9,23.2,90,17.6,30.04
94,2020-04-04,KIAKAMRA2,33.4,19.2,77,4.9,30.09
95,2020-04-05,KIAKAMRA2,44.7,24.4,62,5.1,29.98
96,2020-04-06,KIAKAMRA2,52.8,35.8,83,6.1,29.84
97,2020-04-07,KIAKAMRA2,62.7,45.0,75,6.6,29.61
98,2020-04-08,KIAKAMRA2,51.5,25.9,68,8.0,29.78
99,2020-04-09,KIAKAMRA2,35.7,15.8,63,17.8,29.96
100,2020-04-10,KIAKAMRA2,38.9,16.9,57,6.6,29.99
101,2020-04-11,KIAKAMRA2,46.4,27.7,71,4.5,29.69
102,2020-04-12,KIAKAMRA2,37.4,23.4,93,12.1,29.7
103,2020-04-13,KIAKAMRA2,28.8,17.2,73,19.9,30.03
104,2020-04-14,KIAKAMRA2,28.3,16.3,71,12.2,30.03
105,2020-04-15,KIAKAMRA2,28.5,13.6,71,3.6,30.05
106,2020-04-16,KIAKAMRA2,33.3,15.1,63,1.8,30.14
107,2020-04-17,KIAKAMRA2,39.3,22.3,70,8.1,30.03
108,2020-04-18,KIAKAMRA2,50.5,25.2,59,12.2,29.8
109,2020-04-19,KIAKAMRA2,48.3,18.5,50,6.7,29.76
110,2020-04-20,KIAKAMRA2,50.9,17.1,54,14.2,29.69
111,2020-04-21,KIAKAMRA2,46.8,21.0,52,7.4,29.88
