,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KIASTCHA5,49.4,28.6,59,8.3,29.38
61,2020-03-02,KIASTCHA5,35.9,26.4,75,4.3,29.39
62,2020-03-03,KIASTCHA5,45.1,25.3,53,9.8,29.29
63,2020-03-04,KIASTCHA5,45.2,27.5,63,5.7,29.51
64,2020-03-05,KIASTCHA5,43.1,23.9,56,15.0,29.83
65,2020-03-06,KIASTCHA5,36.6,13.5,59,6.2,30.03
66,2020-03-07,KIASTCHA5,49.5,17.2,38,9.0,29.86
67,2020-03-08,KIASTCHA5,58.8,28.9,42,13.8,29.57
68,2020-03-09,KIASTCHA5,44.3,29.8,92,8.8,29.64
69,2020-03-10,KIASTCHA5,38.1,26.2,83,4.2,29.79
70,2020-03-11,KIASTCHA5,47.3,35.6,77,3.8,29.61
71,2020-03-12,KIASTCHA5,51.0,27.5,73,10.1,29.57
72,2020-03-13,KIASTCHA5,42.9,16.7,48,5.1,29.91
73,2020-03-14,KIASTCHA5,33.6,27.0,87,5.3,30.06
74,2020-03-15,KIASTCHA5,33.4,25.7,79,5.0,30.11
75,2020-03-16,KIASTCHA5,38.9,29.3,84,3.4,29.87
76,2020-03-17,KIASTCHA5,42.1,21.2,66,4.3,29.85
77,2020-03-18,KIASTCHA5,45.7,38.3,95,3.6,29.59
78,2020-03-19,KIASTCHA5,51.5,37.8,96,7.3,29.47
79,2020-03-20,KIASTCHA5,30.7,18.3,80,11.9,30.03
80,2020-03-21,KIASTCHA5,35.1,16.3,62,3.9,30.04
81,2020-03-22,KIASTCHA5,33.4,26.8,89,6.7,29.84
82,2020-03-23,KIASTCHA5,40.5,33.6,93,3.3,29.67
83,2020-03-24,KIASTCHA5,43.4,36.9,89,5.4,29.57
84,2020-03-25,KIASTCHA5,48.3,39.9,92,5.4,29.4
85,2020-03-26,KIASTCHA5,50.7,42.6,84,5.4,29.31
86,2020-03-27,KIASTCHA5,46.9,41.9,96,5.4,29.28
87,2020-03-28,KIASTCHA5,52.5,32.9,86,10.0,29.18
88,2020-03-29,KIASTCHA5,48.2,30.2,63,15.2,29.62
89,2020-03-30,KIASTCHA5,50.3,16.7,47,2.9,29.74
90,2020-03-31,KIASTCHA5,49.9,25.9,52,3.4,29.59
91,2020-04-01,KIASTCHA5,51.5,33.3,67,8.8,29.5
92,2020-04-02,KIASTCHA5,53.7,39.6,76,7.0,29.45
93,2020-04-03,KIASTCHA5,32.3,26.2,92,7.0,29.72
94,2020-04-04,KIASTCHA5,37.9,24.4,74,2.9,29.75
95,2020-04-05,KIASTCHA5,46.6,27.0,63,4.3,29.65
