,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
52,2020-03-01,KIAWILLI3,45.6,20.1,48,3.3,28.98
53,2020-03-02,KIAWILLI3,32.7,16.2,63,1.8,29.01
54,2020-03-03,KIAWILLI3,39.3,15.8,52,4.4,28.92
55,2020-03-04,KIAWILLI3,41.4,18.0,50,2.6,29.16
56,2020-03-05,KIAWILLI3,40.8,19.9,48,8.2,29.36
57,2020-03-06,KIAWILLI3,36.5,6.3,42,2.2,29.63
58,2020-03-07,KIAWILLI3,45.6,9.0,33,4.8,29.54
59,2020-03-08,KIAWILLI3,56.5,19.2,30,5.5,29.25
60,2020-03-09,KIAWILLI3,46.9,25.2,80,3.6,29.16
61,2020-03-10,KIAWILLI3,40.6,23.5,63,3.1,29.39
62,2020-03-11,KIAWILLI3,43.5,30.2,72,2.6,29.28
63,2020-03-12,KIAWILLI3,47.1,20.7,67,4.5,29.13
64,2020-03-13,KIAWILLI3,42.2,14.7,38,3.1,29.57
65,2020-03-14,KIAWILLI3,33.8,14.9,61,1.6,29.72
66,2020-03-15,KIAWILLI3,32.8,16.0,59,2.8,29.78
67,2020-03-16,KIAWILLI3,38.2,21.4,60,1.9,29.54
68,2020-03-17,KIAWILLI3,40.9,15.3,47,2.2,29.48
69,2020-03-18,KIAWILLI3,43.8,23.4,80,3.8,29.28
70,2020-03-19,KIAWILLI3,48.9,40.8,95,3.8,29.16
71,2020-03-20,KIAWILLI3,34.2,13.6,71,3.2,29.66
72,2020-03-21,KIAWILLI3,34.2,15.1,49,3.2,29.69
73,2020-03-22,KIAWILLI3,32.2,16.3,67,3.9,29.57
74,2020-03-23,KIAWILLI3,37.2,28.6,82,1.6,29.34
75,2020-03-24,KIAWILLI3,40.9,29.3,71,3.7,29.28
76,2020-03-25,KIAWILLI3,44.4,27.1,77,2.9,29.07
77,2020-03-26,KIAWILLI3,49.0,35.4,69,2.1,29.01
78,2020-03-27,KIAWILLI3,47.7,34.0,76,5.3,28.98
79,2020-03-28,KIAWILLI3,55.0,28.0,77,5.4,28.8
80,2020-03-29,KIAWILLI3,45.5,22.8,56,8.5,29.22
81,2020-03-30,KIAWILLI3,47.2,23.2,49,1.3,29.36
82,2020-03-31,KIAWILLI3,45.4,21.6,48,2.2,29.25
83,2020-04-01,KIAWILLI3,44.7,23.4,58,4.2,29.25
84,2020-04-02,KIAWILLI3,54.5,29.5,46,5.7,29.16
85,2020-04-03,KIAWILLI3,40.1,23.5,74,3.3,29.31
86,2020-04-04,KIAWILLI3,38.5,15.4,56,0.9,29.36
