,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
22,2020-03-01,KIDMOUNT53,36.6,,55,,
23,2020-03-02,KIDMOUNT53,37.5,,52,,
24,2020-03-03,KIDMOUNT53,45.2,,57,,
25,2020-03-04,KIDMOUNT53,43.8,,52,,
26,2020-03-05,KIDMOUNT53,49.6,,42,,
27,2020-03-06,KIDMOUNT53,54.9,,38,,
28,2020-03-07,KIDMOUNT53,50.6,,52,,
29,2020-03-08,KIDMOUNT53,42.9,,63,,
30,2020-03-09,KIDMOUNT53,44.3,,60,,
31,2020-03-10,KIDMOUNT53,42.0,,61,,
32,2020-03-11,KIDMOUNT53,46.2,,51,,
33,2020-03-12,KIDMOUNT53,40.6,,46,,
34,2020-03-13,KIDMOUNT53,47.3,,33,,
35,2020-03-14,KIDMOUNT53,48.7,,50,,
36,2020-03-15,KIDMOUNT53,45.7,,73,,
37,2020-03-16,KIDMOUNT53,47.2,,63,,
38,2020-03-17,KIDMOUNT53,49.2,,62,,
39,2020-03-18,KIDMOUNT53,42.3,,62,,
40,2020-03-19,KIDMOUNT53,41.9,,61,,
41,2020-03-20,KIDMOUNT53,48.8,,53,,
42,2020-03-21,KIDMOUNT53,46.2,,52,,
43,2020-03-22,KIDMOUNT53,44.5,,45,,
44,2020-03-23,KIDMOUNT53,49.2,,41,,
45,2020-03-24,KIDMOUNT53,44.5,,63,,
46,2020-03-25,KIDMOUNT53,38.8,,62,,
47,2020-03-26,KIDMOUNT53,35.3,,54,,
48,2020-03-27,KIDMOUNT53,37.7,,50,,
49,2020-03-28,KIDMOUNT53,43.9,,51,,
50,2020-03-29,KIDMOUNT53,47.2,,55,,
51,2020-03-30,KIDMOUNT53,47.8,,63,,
52,2020-03-31,KIDMOUNT53,46.5,,67,,
53,2020-04-01,KIDMOUNT53,37.9,,57,,
54,2020-04-02,KIDMOUNT53,36.0,,57,,
55,2020-04-03,KIDMOUNT53,39.4,,44,,
56,2020-04-04,KIDMOUNT53,44.2,,46,,
57,2020-04-05,KIDMOUNT53,51.4,,58,,
58,2020-04-06,KIDMOUNT53,50.5,,69,,
59,2020-04-07,KIDMOUNT53,50.8,,61,,
60,2020-04-08,KIDMOUNT53,53.3,,52,,
61,2020-04-09,KIDMOUNT53,55.4,,46,,
62,2020-04-10,KIDMOUNT53,64.1,,33,,
63,2020-04-11,KIDMOUNT53,53.1,,44,,
64,2020-04-12,KIDMOUNT53,42.8,,33,,
65,2020-04-13,KIDMOUNT53,40.1,,38,,
66,2020-04-14,KIDMOUNT53,46.6,,30,,
67,2020-04-15,KIDMOUNT53,49.8,,47,,
68,2020-04-16,KIDMOUNT53,43.0,,66,,
69,2020-04-17,KIDMOUNT53,46.4,,48,,
70,2020-04-18,KIDMOUNT53,51.4,,40,,
71,2020-04-19,KIDMOUNT53,55.6,,42,,
72,2020-04-20,KIDMOUNT53,54.9,,43,,
73,2020-04-21,KIDMOUNT53,57.8,,39,,
74,2020-04-22,KIDMOUNT53,57.6,,45,,
75,2020-04-23,KIDMOUNT53,53.6,,60,,
76,2020-04-24,KIDMOUNT53,52.6,,53,,
77,2020-04-25,KIDMOUNT53,57.8,,50,,
78,2020-04-26,KIDMOUNT53,61.3,,50,,
79,2020-04-27,KIDMOUNT53,58.8,,45,,
80,2020-04-28,KIDMOUNT53,60.4,,46,,
81,2020-04-29,KIDMOUNT53,67.6,,38,,
82,2020-04-30,KIDMOUNT53,62.0,,58,,
83,2020-05-01,KIDMOUNT53,56.3,,56,,
84,2020-05-02,KIDMOUNT53,62.1,,40,,
85,2020-05-03,KIDMOUNT53,54.5,,38,,
86,2020-05-04,KIDMOUNT53,53.4,,38,,
87,2020-05-05,KIDMOUNT53,62.2,,29,,
88,2020-05-06,KIDMOUNT53,59.9,,29,,
89,2020-05-07,KIDMOUNT53,51.6,,35,,
90,2020-05-08,KIDMOUNT53,56.9,,36,,
91,2020-05-09,KIDMOUNT53,64.3,,28,,
92,2020-05-10,KIDMOUNT53,66.5,,30,,
93,2020-05-11,KIDMOUNT53,68.0,,30,,
94,2020-05-12,KIDMOUNT53,61.1,,35,,
95,2020-05-13,KIDMOUNT53,53.0,,54,,
96,2020-05-14,KIDMOUNT53,53.5,,64,,
97,2020-05-15,KIDMOUNT53,53.6,,60,,
98,2020-05-16,KIDMOUNT53,58.9,,42,,
99,2020-05-17,KIDMOUNT53,67.7,,36,,
100,2020-05-18,KIDMOUNT53,57.6,,64,,
101,2020-05-19,KIDMOUNT53,51.5,,78,,
102,2020-05-20,KIDMOUNT53,48.2,,82,,
103,2020-05-21,KIDMOUNT53,51.8,,70,,
104,2020-05-22,KIDMOUNT53,48.7,,65,,
105,2020-05-23,KIDMOUNT53,51.2,,58,,
106,2020-05-24,KIDMOUNT53,57.0,,48,,
107,2020-05-25,KIDMOUNT53,62.4,,44,,
108,2020-05-26,KIDMOUNT53,66.3,,58,,
109,2020-05-27,KIDMOUNT53,68.6,,43,,
110,2020-05-28,KIDMOUNT53,70.3,,39,,
111,2020-05-29,KIDMOUNT53,78.3,,39,,
112,2020-05-30,KIDMOUNT53,81.1,,29,,
113,2020-05-31,KIDMOUNT53,69.1,,41,,
114,2020-06-01,KIDMOUNT53,67.2,,45,,
115,2020-06-02,KIDMOUNT53,70.3,,42,,
116,2020-06-03,KIDMOUNT53,72.2,,39,,
117,2020-06-04,KIDMOUNT53,70.0,,37,,
118,2020-06-05,KIDMOUNT53,76.3,,31,,
119,2020-06-06,KIDMOUNT53,59.5,,61,,
120,2020-06-07,KIDMOUNT53,48.4,,71,,
121,2020-06-08,KIDMOUNT53,52.3,,59,,
122,2020-06-09,KIDMOUNT53,56.5,,50,,
123,2020-06-10,KIDMOUNT53,67.2,,47,,
124,2020-06-11,KIDMOUNT53,74.4,,33,,
125,2020-06-12,KIDMOUNT53,75.4,,32,,
126,2020-06-13,KIDMOUNT53,59.2,,59,,
