,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KIDPOCAT56,30.5,14.9,77,1.5,30.2
61,2020-03-02,KIDPOCAT56,31.1,12.4,59,2.7,30.22
62,2020-03-03,KIDPOCAT56,40.6,22.6,66,4.1,30.26
63,2020-03-04,KIDPOCAT56,44.5,21.7,52,6.1,30.34
64,2020-03-05,KIDPOCAT56,42.2,20.3,58,2.5,30.41
65,2020-03-06,KIDPOCAT56,49.2,21.0,45,4.3,30.26
66,2020-03-07,KIDPOCAT56,50.6,23.0,48,6.1,30.0
67,2020-03-08,KIDPOCAT56,40.8,26.6,72,1.9,30.09
68,2020-03-09,KIDPOCAT56,39.8,28.0,75,2.1,30.26
69,2020-03-10,KIDPOCAT56,41.2,26.1,68,2.0,30.34
70,2020-03-11,KIDPOCAT56,45.5,19.4,55,3.8,30.27
71,2020-03-12,KIDPOCAT56,41.1,11.7,48,4.2,30.21
72,2020-03-13,KIDPOCAT56,41.3,11.1,46,2.8,30.09
73,2020-03-14,KIDPOCAT56,40.3,28.8,80,5.8,30.03
74,2020-03-15,KIDPOCAT56,40.4,34.0,87,2.5,30.12
75,2020-03-16,KIDPOCAT56,41.6,26.2,78,1.0,30.17
76,2020-03-17,KIDPOCAT56,44.1,28.2,67,2.1,30.02
77,2020-03-18,KIDPOCAT56,38.8,29.7,80,1.6,29.95
78,2020-03-19,KIDPOCAT56,39.7,29.7,77,1.9,30.18
79,2020-03-20,KIDPOCAT56,41.3,31.8,78,1.9,30.25
80,2020-03-21,KIDPOCAT56,40.2,32.2,82,3.1,30.25
81,2020-03-22,KIDPOCAT56,43.0,17.8,59,3.6,30.19
82,2020-03-23,KIDPOCAT56,42.7,24.8,64,3.9,30.09
83,2020-03-24,KIDPOCAT56,44.5,26.8,59,3.7,30.07
84,2020-03-25,KIDPOCAT56,38.1,18.9,66,3.5,29.99
85,2020-03-26,KIDPOCAT56,34.5,8.6,50,3.8,30.01
86,2020-03-27,KIDPOCAT56,34.6,12.4,49,2.8,30.04
87,2020-03-28,KIDPOCAT56,40.3,21.7,56,3.6,30.17
88,2020-03-29,KIDPOCAT56,40.2,23.7,71,3.6,30.14
89,2020-03-30,KIDPOCAT56,42.6,24.3,72,2.8,30.21
90,2020-03-31,KIDPOCAT56,43.6,33.6,79,4.1,30.12
91,2020-04-01,KIDPOCAT56,35.0,19.8,67,4.5,29.99
92,2020-04-02,KIDPOCAT56,30.4,14.5,73,4.3,30.19
93,2020-04-03,KIDPOCAT56,35.2,16.9,58,3.0,30.19
94,2020-04-04,KIDPOCAT56,42.7,11.5,39,3.3,29.99
95,2020-04-05,KIDPOCAT56,43.6,20.1,76,3.1,29.89
96,2020-04-06,KIDPOCAT56,44.2,36.9,85,2.6,30.08
97,2020-04-07,KIDPOCAT56,48.5,33.6,70,2.9,30.18
98,2020-04-08,KIDPOCAT56,51.1,25.7,57,1.5,30.27
99,2020-04-09,KIDPOCAT56,51.9,23.4,52,2.5,30.19
100,2020-04-10,KIDPOCAT56,55.1,28.6,47,3.9,30.13
101,2020-04-11,KIDPOCAT56,50.3,23.0,54,6.4,30.11
102,2020-04-12,KIDPOCAT56,34.0,1.9,49,2.7,30.31
103,2020-04-13,KIDPOCAT56,32.5,10.7,41,2.7,30.43
104,2020-04-14,KIDPOCAT56,39.3,10.8,45,4.1,30.46
105,2020-04-15,KIDPOCAT56,39.6,18.0,69,2.5,30.24
106,2020-04-16,KIDPOCAT56,34.6,8.8,55,2.1,30.38
107,2020-04-17,KIDPOCAT56,41.2,17.2,49,2.5,30.4
108,2020-04-18,KIDPOCAT56,47.8,12.9,35,2.8,30.18
109,2020-04-19,KIDPOCAT56,51.9,16.7,41,2.9,30.22
110,2020-04-20,KIDPOCAT56,51.9,21.7,49,2.4,30.3
111,2020-04-21,KIDPOCAT56,53.7,25.7,42,2.9,30.3
112,2020-04-22,KIDPOCAT56,55.3,24.3,40,6.0,30.36
113,2020-04-23,KIDPOCAT56,51.3,29.3,65,7.1,30.34
114,2020-04-24,KIDPOCAT56,49.9,26.4,54,3.3,30.45
115,2020-04-25,KIDPOCAT56,55.1,30.4,48,2.7,30.43
116,2020-04-26,KIDPOCAT56,59.0,35.1,50,3.9,30.3
117,2020-04-27,KIDPOCAT56,56.9,32.5,50,4.8,30.33
118,2020-04-28,KIDPOCAT56,58.2,31.6,45,3.2,30.48
119,2020-04-29,KIDPOCAT56,63.1,32.4,43,2.6,30.47
120,2020-04-30,KIDPOCAT56,62.0,38.8,59,4.1,30.25
121,2020-05-01,KIDPOCAT56,55.9,30.4,54,2.4,30.33
122,2020-05-02,KIDPOCAT56,55.9,31.6,50,2.3,30.31
123,2020-05-03,KIDPOCAT56,54.1,11.1,39,6.1,30.35
124,2020-05-04,KIDPOCAT56,51.7,13.6,31,4.5,30.47
125,2020-05-05,KIDPOCAT56,56.3,19.9,36,1.8,30.49
126,2020-05-06,KIDPOCAT56,57.2,8.1,31,5.3,30.47
127,2020-05-07,KIDPOCAT56,47.2,12.7,35,1.9,30.53
128,2020-05-08,KIDPOCAT56,53.6,19.2,39,2.6,30.48
129,2020-05-09,KIDPOCAT56,53.8,12.6,41,1.2,30.47
130,2020-05-10,KIDPOCAT56,58.8,25.5,41,1.2,30.33
131,2020-05-11,KIDPOCAT56,62.7,29.7,44,2.0,30.13
132,2020-05-12,KIDPOCAT56,59.1,28.6,41,4.1,30.08
133,2020-05-13,KIDPOCAT56,52.2,31.5,53,3.8,30.19
134,2020-05-14,KIDPOCAT56,51.8,33.1,58,2.0,30.26
135,2020-05-15,KIDPOCAT56,51.5,25.9,57,3.3,30.33
136,2020-05-16,KIDPOCAT56,52.8,25.7,53,1.2,30.36
137,2020-05-17,KIDPOCAT56,66.3,28.8,35,2.5,30.18
138,2020-05-18,KIDPOCAT56,63.2,35.6,48,3.4,30.14
139,2020-05-19,KIDPOCAT56,52.3,36.3,68,2.5,30.14
140,2020-05-20,KIDPOCAT56,45.7,34.7,82,2.3,30.23
141,2020-05-21,KIDPOCAT56,49.5,36.5,73,3.3,30.25
142,2020-05-22,KIDPOCAT56,44.3,35.8,85,1.5,30.21
143,2020-05-23,KIDPOCAT56,42.3,32.9,83,1.9,30.32
144,2020-05-24,KIDPOCAT56,51.2,32.4,65,1.4,30.37
145,2020-05-25,KIDPOCAT56,62.7,32.5,43,2.2,30.36
146,2020-05-26,KIDPOCAT56,64.2,37.2,52,3.3,30.33
147,2020-05-27,KIDPOCAT56,67.7,32.9,44,2.6,30.35
148,2020-05-28,KIDPOCAT56,67.5,38.8,46,1.6,30.4
149,2020-05-29,KIDPOCAT56,75.1,39.0,42,2.4,30.33
150,2020-05-30,KIDPOCAT56,76.7,38.8,39,2.4,30.24
151,2020-05-31,KIDPOCAT56,69.2,40.8,44,2.9,30.27
152,2020-06-01,KIDPOCAT56,65.8,41.7,52,2.1,30.36
153,2020-06-02,KIDPOCAT56,68.5,41.2,45,1.9,30.45
154,2020-06-03,KIDPOCAT56,71.4,41.4,43,2.6,30.37
155,2020-06-04,KIDPOCAT56,70.3,41.0,43,3.0,30.23
156,2020-06-05,KIDPOCAT56,75.8,37.0,38,3.1,30.15
157,2020-06-06,KIDPOCAT56,64.2,34.5,54,4.2,30.02
158,2020-06-07,KIDPOCAT56,48.2,29.7,71,3.4,30.18
159,2020-06-08,KIDPOCAT56,44.2,25.2,77,3.2,30.4
160,2020-06-09,KIDPOCAT56,51.9,26.1,56,2.8,30.46
161,2020-06-10,KIDPOCAT56,63.7,30.9,47,2.3,30.46
