,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KILGENES6,48.4,27.0,65,4.2,29.93
61,2020-03-02,KILGENES6,35.8,25.0,77,2.5,29.81
62,2020-03-03,KILGENES6,40.5,25.0,67,4.6,29.8
63,2020-03-04,KILGENES6,39.7,21.0,63,2.8,30.05
64,2020-03-05,KILGENES6,42.0,24.0,63,8.6,30.08
65,2020-03-06,KILGENES6,35.8,16.0,58,4.3,30.48
66,2020-03-07,KILGENES6,41.2,19.0,58,7.0,30.47
67,2020-03-08,KILGENES6,54.3,28.0,44,6.4,30.18
68,2020-03-09,KILGENES6,50.9,31.0,79,4.7,30.06
69,2020-03-10,KILGENES6,39.4,32.0,85,3.6,30.26
70,2020-03-11,KILGENES6,42.8,35.0,85,2.1,30.13
71,2020-03-12,KILGENES6,46.0,29.0,86,5.8,29.91
72,2020-03-13,KILGENES6,42.8,21.0,53,5.5,30.42
73,2020-03-14,KILGENES6,34.7,26.0,80,2.4,30.57
74,2020-03-15,KILGENES6,33.6,25.0,81,1.8,30.65
75,2020-03-16,KILGENES6,36.7,29.0,85,0.9,30.44
76,2020-03-17,KILGENES6,40.2,24.0,69,2.6,30.34
77,2020-03-18,KILGENES6,42.8,32.0,86,1.1,30.2
78,2020-03-19,KILGENES6,51.6,41.0,92,4.3,30.07
79,2020-03-20,KILGENES6,38.7,24.0,79,4.9,30.5
80,2020-03-21,KILGENES6,33.4,22.0,72,1.7,30.57
81,2020-03-22,KILGENES6,30.6,22.0,85,2.1,30.48
82,2020-03-23,KILGENES6,34.2,27.0,88,1.3,30.22
83,2020-03-24,KILGENES6,39.8,31.0,83,1.9,30.16
84,2020-03-25,KILGENES6,45.1,30.0,84,3.6,29.96
85,2020-03-26,KILGENES6,48.2,39.0,88,1.8,29.87
86,2020-03-27,KILGENES6,46.4,36.0,88,2.0,29.87
87,2020-03-28,KILGENES6,57.3,45.0,87,4.2,29.69
88,2020-03-29,KILGENES6,47.6,35.0,73,7.6,30.03
89,2020-03-30,KILGENES6,48.8,31.0,63,3.4,30.2
90,2020-03-31,KILGENES6,39.7,32.0,81,2.1,30.08
91,2020-04-01,KILGENES6,45.9,31.0,72,1.7,30.1
92,2020-04-02,KILGENES6,52.1,34.0,68,4.2,30.12
93,2020-04-03,KILGENES6,52.0,32.0,75,4.2,30.09
94,2020-04-04,KILGENES6,41.8,27.0,69,3.5,30.18
95,2020-04-05,KILGENES6,48.0,30.0,65,1.7,30.19
96,2020-04-06,KILGENES6,52.7,28.0,72,2.9,30.09
97,2020-04-07,KILGENES6,68.0,52.0,74,2.5,29.84
98,2020-04-08,KILGENES6,58.8,31.0,74,3.7,29.82
99,2020-04-09,KILGENES6,42.4,21.0,54,7.7,30.03
100,2020-04-10,KILGENES6,42.3,21.0,54,4.4,30.11
101,2020-04-11,KILGENES6,52.9,31.0,61,3.4,29.94
102,2020-04-12,KILGENES6,55.0,34.0,82,5.3,29.68
