,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KINANGOL4,33.0,12.6,76,0.9,30.18
61,2020-03-02,KINANGOL4,44.4,32.2,86,3.5,29.78
62,2020-03-03,KINANGOL4,39.1,28.6,78,5.0,29.78
63,2020-03-04,KINANGOL4,37.2,21.0,70,3.7,30.09
64,2020-03-05,KINANGOL4,37.4,21.0,72,2.0,30.14
65,2020-03-06,KINANGOL4,34.2,22.1,82,3.4,30.47
66,2020-03-07,KINANGOL4,33.5,19.2,72,1.6,30.59
67,2020-03-08,KINANGOL4,46.0,24.8,55,3.7,30.39
68,2020-03-09,KINANGOL4,52.1,31.3,64,3.7,30.19
69,2020-03-10,KINANGOL4,43.7,31.3,88,3.7,30.21
70,2020-03-11,KINANGOL4,36.9,30.6,93,1.2,30.2
71,2020-03-12,KINANGOL4,45.5,37.2,89,0.7,30.01
72,2020-03-13,KINANGOL4,43.6,18.7,57,6.9,30.36
73,2020-03-14,KINANGOL4,35.2,21.9,66,0.9,30.5
74,2020-03-15,KINANGOL4,36.7,24.1,69,1.7,30.63
75,2020-03-16,KINANGOL4,34.0,23.7,84,1.3,30.52
76,2020-03-17,KINANGOL4,39.6,21.7,74,3.5,30.33
77,2020-03-18,KINANGOL4,36.7,22.1,84,1.2,30.33
78,2020-03-19,KINANGOL4,43.2,37.4,98,1.3,30.19
79,2020-03-20,KINANGOL4,46.4,21.2,85,6.1,30.39
80,2020-03-21,KINANGOL4,27.6,18.7,75,1.4,30.58
81,2020-03-22,KINANGOL4,29.4,18.7,83,1.2,30.59
82,2020-03-23,KINANGOL4,35.7,29.3,89,1.3,30.24
83,2020-03-24,KINANGOL4,37.9,31.1,86,1.1,30.21
84,2020-03-25,KINANGOL4,41.0,29.1,85,1.3,30.02
85,2020-03-26,KINANGOL4,50.3,39.4,86,1.6,29.87
86,2020-03-27,KINANGOL4,44.4,40.3,95,1.6,29.95
87,2020-03-28,KINANGOL4,46.8,40.3,97,1.7,29.85
88,2020-03-29,KINANGOL4,51.1,38.1,81,8.4,29.83
89,2020-03-30,KINANGOL4,40.8,32.9,82,6.8,30.12
90,2020-03-31,KINANGOL4,38.8,32.7,89,1.1,30.09
91,2020-04-01,KINANGOL4,41.9,36.9,90,1.0,30.1
92,2020-04-02,KINANGOL4,47.3,32.2,70,1.2,30.19
93,2020-04-03,KINANGOL4,54.5,32.5,56,0.9,30.09
94,2020-04-04,KINANGOL4,46.2,33.8,78,2.0,30.08
95,2020-04-05,KINANGOL4,46.7,30.9,71,1.1,30.17
96,2020-04-06,KINANGOL4,48.7,24.1,63,0.9,30.16
97,2020-04-07,KINANGOL4,59.5,39.9,80,3.3,29.96
98,2020-04-08,KINANGOL4,61.1,40.6,71,2.4,29.73
99,2020-04-09,KINANGOL4,42.3,21.2,69,6.9,29.76
100,2020-04-10,KINANGOL4,36.7,23.9,69,4.6,29.98
101,2020-04-11,KINANGOL4,44.4,23.7,62,2.2,30.0
102,2020-04-12,KINANGOL4,52.2,35.1,82,1.2,29.88
103,2020-04-13,KINANGOL4,42.4,21.9,80,6.5,30.11
104,2020-04-14,KINANGOL4,33.2,18.1,65,4.8,30.17
105,2020-04-15,KINANGOL4,30.7,17.4,76,2.5,30.17
106,2020-04-16,KINANGOL4,33.3,14.7,61,3.4,30.31
107,2020-04-17,KINANGOL4,33.6,18.3,84,0.9,30.28
108,2020-04-18,KINANGOL4,40.4,28.2,77,4.9,30.04
109,2020-04-19,KINANGOL4,49.1,25.0,60,4.6,29.83
110,2020-04-20,KINANGOL4,45.8,25.3,63,3.7,29.83
111,2020-04-21,KINANGOL4,39.3,17.4,61,5.7,30.02
112,2020-04-22,KINANGOL4,36.3,18.1,70,1.3,30.09
113,2020-04-23,KINANGOL4,45.2,33.8,86,1.8,29.91
114,2020-04-24,KINANGOL4,48.2,37.2,85,1.2,29.91
115,2020-04-25,KINANGOL4,44.8,39.2,91,2.1,29.95
116,2020-04-26,KINANGOL4,51.2,25.0,52,2.4,30.12
117,2020-04-27,KINANGOL4,52.3,23.0,50,2.2,30.17
118,2020-04-28,KINANGOL4,58.5,45.5,83,1.1,29.97
119,2020-04-29,KINANGOL4,57.0,44.1,86,3.1,29.66
120,2020-04-30,KINANGOL4,44.4,38.7,92,2.4,29.8
121,2020-05-01,KINANGOL4,53.7,37.8,65,1.8,30.02
122,2020-05-02,KINANGOL4,64.2,41.5,64,3.5,30.01
123,2020-05-03,KINANGOL4,63.8,33.6,51,3.0,29.85
124,2020-05-04,KINANGOL4,51.8,32.5,61,1.6,30.11
125,2020-05-05,KINANGOL4,45.1,27.0,65,1.6,30.02
126,2020-05-06,KINANGOL4,48.7,21.2,47,2.1,30.03
127,2020-05-07,KINANGOL4,52.8,26.1,46,5.0,29.99
128,2020-05-08,KINANGOL4,42.2,15.4,52,2.6,30.1
129,2020-05-09,KINANGOL4,39.7,15.3,49,4.0,30.19
