,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KINFOWLE11,47.9,22.6,64.0,7.5,29.76
61,2020-03-02,KINFOWLE11,,,,,
62,2020-03-03,KINFOWLE11,45.6,30.3,66.0,7.4,29.56
63,2020-03-04,KINFOWLE11,,,,,
64,2020-03-05,KINFOWLE11,,,,,
65,2020-03-06,KINFOWLE11,,,,,
66,2020-03-07,KINFOWLE11,41.2,17.9,52.0,3.5,30.35
67,2020-03-08,KINFOWLE11,54.3,24.4,39.0,9.9,30.12
68,2020-03-09,KINFOWLE11,56.4,37.2,67.0,8.9,30.0
69,2020-03-10,KINFOWLE11,38.6,34.7,89.0,3.5,30.03
70,2020-03-11,KINFOWLE11,41.3,37.0,87.0,2.4,29.85
71,2020-03-12,KINFOWLE11,50.9,37.5,85.0,3.4,29.71
72,2020-03-13,KINFOWLE11,43.9,22.8,52.0,6.0,30.12
73,2020-03-14,KINFOWLE11,32.6,30.5,94.0,3.4,30.27
74,2020-03-15,KINFOWLE11,37.3,25.5,76.0,3.5,30.38
75,2020-03-16,KINFOWLE11,39.3,30.3,84.0,1.8,30.12
76,2020-03-17,KINFOWLE11,44.7,30.3,66.0,2.4,30.09
77,2020-03-18,KINFOWLE11,43.0,37.2,90.0,3.8,29.97
78,2020-03-19,KINFOWLE11,51.1,40.4,95.0,5.4,29.88
79,2020-03-20,KINFOWLE11,41.1,34.1,86.0,5.5,30.06
80,2020-03-21,KINFOWLE11,30.0,19.7,72.0,3.1,30.35
81,2020-03-22,KINFOWLE11,31.1,23.1,84.0,3.1,30.24
82,2020-03-23,KINFOWLE11,36.0,31.2,88.0,1.0,30.0
83,2020-03-24,KINFOWLE11,40.3,32.1,85.0,4.0,29.88
84,2020-03-25,KINFOWLE11,48.2,30.2,78.0,3.9,29.79
85,2020-03-26,KINFOWLE11,52.1,42.8,88.0,4.0,29.65
86,2020-03-27,KINFOWLE11,50.7,46.5,92.0,5.3,29.68
87,2020-03-28,KINFOWLE11,59.5,53.0,92.0,3.1,29.53
88,2020-03-29,KINFOWLE11,51.3,37.9,68.0,12.6,29.68
89,2020-03-30,KINFOWLE11,48.6,33.2,66.0,6.2,29.94
90,2020-03-31,KINFOWLE11,39.8,32.5,80.0,4.2,29.82
91,2020-04-01,KINFOWLE11,47.6,35.2,73.0,2.6,29.88
92,2020-04-02,KINFOWLE11,54.1,31.8,55.0,0.8,30.0
93,2020-04-03,KINFOWLE11,62.8,41.1,51.0,1.5,29.88
94,2020-04-04,KINFOWLE11,42.6,37.5,90.0,3.6,29.91
95,2020-04-05,KINFOWLE11,49.1,30.7,63.0,4.1,29.97
96,2020-04-06,KINFOWLE11,57.5,38.6,71.0,3.3,29.91
97,2020-04-07,KINFOWLE11,72.2,53.7,64.0,6.7,29.65
98,2020-04-08,KINFOWLE11,69.3,36.3,49.0,2.5,29.59
99,2020-04-09,KINFOWLE11,43.7,19.7,52.0,9.4,29.62
100,2020-04-10,KINFOWLE11,44.1,21.7,48.0,5.3,29.85
101,2020-04-11,KINFOWLE11,57.8,28.5,38.0,7.1,29.76
102,2020-04-12,KINFOWLE11,57.2,40.1,78.0,4.6,29.56
103,2020-04-13,KINFOWLE11,39.4,18.8,62.0,9.5,29.88
104,2020-04-14,KINFOWLE11,37.5,13.4,45.0,6.0,30.03
105,2020-04-15,KINFOWLE11,34.4,17.4,68.0,3.9,29.91
106,2020-04-16,KINFOWLE11,39.0,11.3,43.0,3.3,30.12
107,2020-04-17,KINFOWLE11,35.4,32.0,94.0,3.3,29.79
108,2020-04-18,KINFOWLE11,47.8,28.0,57.0,7.8,29.88
109,2020-04-19,KINFOWLE11,56.6,28.2,50.0,4.5,29.62
