,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KKYGEORG40,45.5,16.5,52,3.1,29.32
61,2020-03-02,KKYGEORG40,52.6,35.4,84,3.7,29.09
62,2020-03-03,KKYGEORG40,52.7,29.9,77,4.6,29.03
63,2020-03-04,KKYGEORG40,47.5,28.8,61,2.7,29.22
64,2020-03-05,KKYGEORG40,47.4,28.4,57,2.1,29.24
65,2020-03-06,KKYGEORG40,38.7,27.1,72,5.5,29.53
66,2020-03-07,KKYGEORG40,38.7,23.5,63,1.8,29.67
67,2020-03-08,KKYGEORG40,47.2,23.1,52,2.4,29.58
68,2020-03-09,KKYGEORG40,56.5,30.1,50,4.6,29.5
69,2020-03-10,KKYGEORG40,56.0,46.6,84,4.9,29.31
70,2020-03-11,KKYGEORG40,50.2,42.0,86,1.8,29.31
71,2020-03-12,KKYGEORG40,56.6,41.6,86,1.6,29.12
72,2020-03-13,KKYGEORG40,54.5,23.3,55,3.5,29.5
73,2020-03-14,KKYGEORG40,41.1,25.3,72,3.3,29.51
74,2020-03-15,KKYGEORG40,38.6,33.4,86,4.2,29.6
75,2020-03-16,KKYGEORG40,42.9,35.0,85,1.0,29.53
76,2020-03-17,KKYGEORG40,46.1,38.5,88,1.5,29.42
77,2020-03-18,KKYGEORG40,51.9,36.9,94,2.9,29.41
78,2020-03-19,KKYGEORG40,64.9,59.1,92,3.3,29.26
79,2020-03-20,KKYGEORG40,65.0,37.7,79,6.0,29.41
80,2020-03-21,KKYGEORG40,38.5,30.4,82,3.4,29.58
81,2020-03-22,KKYGEORG40,41.1,27.3,76,2.8,29.56
82,2020-03-23,KKYGEORG40,48.9,40.4,90,1.9,29.27
83,2020-03-24,KKYGEORG40,47.5,38.0,86,3.2,29.25
84,2020-03-25,KKYGEORG40,50.1,40.1,83,2.1,29.12
85,2020-03-26,KKYGEORG40,58.5,39.1,73,2.3,29.09
86,2020-03-27,KKYGEORG40,67.4,52.5,76,1.6,29.0
87,2020-03-28,KKYGEORG40,72.6,61.5,77,3.8,28.98
88,2020-03-29,KKYGEORG40,65.1,40.5,64,6.7,29.18
89,2020-03-30,KKYGEORG40,55.0,32.1,53,3.5,29.29
90,2020-03-31,KKYGEORG40,45.5,34.7,77,2.7,29.16
91,2020-04-01,KKYGEORG40,46.8,37.4,78,3.0,29.19
92,2020-04-02,KKYGEORG40,49.6,33.2,71,1.3,29.29
93,2020-04-03,KKYGEORG40,53.7,35.6,66,0.7,29.24
94,2020-04-04,KKYGEORG40,58.2,39.7,66,0.7,29.18
95,2020-04-05,KKYGEORG40,60.6,49.5,77,2.0,29.21
96,2020-04-06,KKYGEORG40,59.6,47.2,79,1.1,29.25
97,2020-04-07,KKYGEORG40,66.4,51.6,77,2.2,29.12
98,2020-04-08,KKYGEORG40,71.3,53.8,77,3.5,28.9
99,2020-04-09,KKYGEORG40,53.5,24.7,62,5.2,28.96
100,2020-04-10,KKYGEORG40,42.5,25.7,63,3.4,29.2
101,2020-04-11,KKYGEORG40,48.7,27.2,58,1.2,29.2
102,2020-04-12,KKYGEORG40,56.9,32.2,69,2.2,29.03
103,2020-04-13,KKYGEORG40,50.3,33.6,85,3.9,29.29
104,2020-04-14,KKYGEORG40,40.1,20.4,71,1.4,29.35
105,2020-04-15,KKYGEORG40,41.2,22.8,66,2.5,29.29
106,2020-04-16,KKYGEORG40,40.5,23.3,64,1.2,29.47
107,2020-04-17,KKYGEORG40,49.7,31.8,71,2.5,29.38
108,2020-04-18,KKYGEORG40,44.8,31.1,73,2.9,29.25
109,2020-04-19,KKYGEORG40,49.7,32.7,70,1.0,29.1
110,2020-04-20,KKYGEORG40,54.9,34.9,62,1.3,28.9
111,2020-04-21,KKYGEORG40,55.4,22.6,53,3.8,29.14
112,2020-04-22,KKYGEORG40,52.2,28.0,58,1.2,29.22
113,2020-04-23,KKYGEORG40,55.0,41.9,88,1.4,29.04
114,2020-04-24,KKYGEORG40,56.6,48.1,89,1.7,29.01
115,2020-04-25,KKYGEORG40,55.8,45.2,91,1.2,29.0
116,2020-04-26,KKYGEORG40,49.5,40.7,97,2.4,29.23
117,2020-04-27,KKYGEORG40,50.9,34.0,72,1.1,29.36
118,2020-04-28,KKYGEORG40,61.5,41.0,64,1.8,29.2
119,2020-04-29,KKYGEORG40,59.2,47.6,79,3.3,28.96
120,2020-04-30,KKYGEORG40,48.7,43.6,94,2.8,28.99
121,2020-05-01,KKYGEORG40,53.7,40.8,76,1.8,29.21
122,2020-05-02,KKYGEORG40,66.2,47.4,67,1.8,29.22
123,2020-05-03,KKYGEORG40,68.3,54.5,79,1.7,29.08
124,2020-05-04,KKYGEORG40,61.6,43.5,68,1.5,29.16
125,2020-05-05,KKYGEORG40,51.0,45.2,89,2.2,29.04
126,2020-05-06,KKYGEORG40,49.4,28.3,70,2.8,29.17
127,2020-05-07,KKYGEORG40,52.6,32.3,65,1.5,29.2
128,2020-05-08,KKYGEORG40,49.2,25.1,80,2.1,29.23
129,2020-05-09,KKYGEORG40,42.9,22.2,60,1.6,29.38
130,2020-05-10,KKYGEORG40,51.8,33.5,64,2.8,29.34
131,2020-05-11,KKYGEORG40,45.0,32.0,69,2.3,29.35
132,2020-05-12,KKYGEORG40,49.8,34.8,68,0.8,29.4
133,2020-05-13,KKYGEORG40,51.8,41.3,86,1.4,29.42
