,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,Precipin
60,2020-03-01,KLASULPH34,63.6,54.1,83,4.9,30.07,0.0
61,2020-03-02,KLASULPH34,69.8,63.5,89,3.5,29.86,0.1
62,2020-03-03,KLASULPH34,72.0,67.3,89,2.5,29.78,0.0
63,2020-03-04,KLASULPH34,66.4,52.3,92,3.2,29.8,0.51
64,2020-03-05,KLASULPH34,59.0,42.1,74,3.1,30.18,0.0
65,2020-03-06,KLASULPH34,58.4,20.5,45,1.2,30.36,0.0
66,2020-03-07,KLASULPH34,55.4,33.6,50,0.8,30.38,0.0
67,2020-03-08,KLASULPH34,59.6,40.3,71,2.7,30.31,0.0
68,2020-03-09,KLASULPH34,66.7,56.7,87,4.5,30.2,0.17
69,2020-03-10,KLASULPH34,70.6,64.9,89,1.4,30.21,0.0
70,2020-03-11,KLASULPH34,69.4,60.6,87,1.9,30.11,0.0
71,2020-03-12,KLASULPH34,71.0,65.7,88,2.4,29.92,0.0
72,2020-03-13,KLASULPH34,74.3,66.2,83,3.3,30.02,0.0
73,2020-03-14,KLASULPH34,73.3,67.5,88,3.8,30.11,0.0
74,2020-03-15,KLASULPH34,72.4,65.3,87,0.9,30.18,0.0
75,2020-03-16,KLASULPH34,67.9,56.8,86,0.5,30.12,0.0
76,2020-03-17,KLASULPH34,72.2,66.0,91,1.5,30.06,0.51
77,2020-03-18,KLASULPH34,74.2,67.1,86,3.7,30.03,0.0
78,2020-03-19,KLASULPH34,75.6,70.2,88,5.2,30.02,0.0
79,2020-03-20,KLASULPH34,71.2,61.7,92,2.1,30.17,0.22
80,2020-03-21,KLASULPH34,62.1,56.7,91,0.9,30.23,0.0
81,2020-03-22,KLASULPH34,64.4,56.1,93,1.3,30.13,0.22
82,2020-03-23,KLASULPH34,74.9,70.0,88,2.6,30.03,0.0
83,2020-03-24,KLASULPH34,75.3,69.4,87,2.8,29.91,0.0
84,2020-03-25,KLASULPH34,75.4,67.3,85,1.3,29.87,0.0
85,2020-03-26,KLASULPH34,75.0,67.3,85,2.8,29.87,0.0
86,2020-03-27,KLASULPH34,77.1,65.1,83,3.6,29.78,0.0
87,2020-03-28,KLASULPH34,76.3,60.3,86,3.8,29.89,0.02
88,2020-03-29,KLASULPH34,68.5,48.0,66,0.4,30.05,0.0
89,2020-03-30,KLASULPH34,73.3,52.2,74,2.3,30.02,0.0
90,2020-03-31,KLASULPH34,69.1,52.2,78,2.9,29.94,0.0
91,2020-04-01,KLASULPH34,61.3,41.7,69,1.4,29.96,0.0
92,2020-04-02,KLASULPH34,67.5,54.5,73,1.8,29.95,0.0
93,2020-04-03,KLASULPH34,70.8,60.1,80,1.7,29.9,0.0
94,2020-04-04,KLASULPH34,69.5,58.5,83,0.4,29.89,0.03
95,2020-04-05,KLASULPH34,69.4,58.8,80,0.4,29.97,0.0
96,2020-04-06,KLASULPH34,71.4,62.8,87,0.9,29.96,0.09
97,2020-04-07,KLASULPH34,76.1,69.3,90,2.2,29.92,0.0
98,2020-04-08,KLASULPH34,77.4,71.6,87,1.2,29.86,0.0
99,2020-04-09,KLASULPH34,76.4,64.0,87,1.0,29.82,1.29
100,2020-04-10,KLASULPH34,66.3,46.6,72,0.6,29.96,1.07
101,2020-04-11,KLASULPH34,67.8,48.0,72,2.0,29.92,0.0
102,2020-04-12,KLASULPH34,77.1,53.1,81,3.8,29.68,0.0
103,2020-04-13,KLASULPH34,60.8,46.2,72,2.2,30.02,0.0
104,2020-04-14,KLASULPH34,58.0,42.8,71,1.7,30.05,0.0
105,2020-04-15,KLASULPH34,57.1,36.9,56,1.1,30.1,0.0
106,2020-04-16,KLASULPH34,62.2,35.6,55,1.8,30.13,0.0
107,2020-04-17,KLASULPH34,70.1,55.9,80,1.5,30.03,0.0
108,2020-04-18,KLASULPH34,70.6,64.0,89,0.8,29.95,0.0
109,2020-04-19,KLASULPH34,74.4,66.6,92,1.9,29.78,0.03
110,2020-04-20,KLASULPH34,71.5,56.1,74,0.7,29.84,0.0
111,2020-04-21,KLASULPH34,73.0,61.0,79,1.3,29.93,0.0
112,2020-04-22,KLASULPH34,75.7,66.9,88,4.9,29.86,0.0
113,2020-04-23,KLASULPH34,77.3,55.2,74,2.1,29.7,1.81
114,2020-04-24,KLASULPH34,71.6,56.5,73,2.0,29.77,0.0
115,2020-04-25,KLASULPH34,72.2,52.7,72,1.9,29.97,0.0
116,2020-04-26,KLASULPH34,71.2,43.7,57,0.7,30.1,0.0
117,2020-04-27,KLASULPH34,72.5,49.1,58,3.3,30.09,0.0
118,2020-04-28,KLASULPH34,70.6,63.1,90,3.1,29.97,1.82
119,2020-04-29,KLASULPH34,66.5,39.2,78,2.2,29.93,0.0
120,2020-04-30,KLASULPH34,67.0,43.3,60,1.2,30.02,0.0
121,2020-05-01,KLASULPH34,68.5,55.2,76,1.5,30.02,0.0
122,2020-05-02,KLASULPH34,74.0,63.1,76,3.0,30.02,0.0
123,2020-05-03,KLASULPH34,75.7,64.8,76,2.4,29.96,0.0
124,2020-05-04,KLASULPH34,76.6,66.9,82,2.4,29.88,0.0
125,2020-05-05,KLASULPH34,78.1,64.4,82,1.5,29.94,0.88
126,2020-05-06,KLASULPH34,74.2,46.8,58,0.8,30.06,0.0
127,2020-05-07,KLASULPH34,70.6,51.8,67,2.4,30.1,0.0
128,2020-05-08,KLASULPH34,73.2,63.0,85,2.9,29.99,2.38
129,2020-05-09,KLASULPH34,63.8,45.7,68,0.7,30.08,0.0
130,2020-05-10,KLASULPH34,69.0,50.4,62,0.8,30.13,0.0
131,2020-05-11,KLASULPH34,69.6,49.5,61,1.0,30.14,0.0
132,2020-05-12,KLASULPH34,72.6,59.0,76,2.9,30.01,0.0
133,2020-05-13,KLASULPH34,76.5,65.3,82,3.6,29.94,0.0
134,2020-05-14,KLASULPH34,73.6,68.4,94,1.8,29.91,0.81
135,2020-05-15,KLASULPH34,74.1,68.7,91,1.7,29.84,0.05
136,2020-05-16,KLASULPH34,74.4,66.6,90,3.2,29.74,0.35
137,2020-05-17,KLASULPH34,72.4,64.9,89,0.9,29.79,0.07
138,2020-05-18,KLASULPH34,75.5,60.1,72,1.4,29.83,0.0
139,2020-05-19,KLASULPH34,79.1,65.3,81,1.4,29.77,0.0
140,2020-05-20,KLASULPH34,79.4,72.3,87,1.6,29.79,0.0
141,2020-05-21,KLASULPH34,79.3,70.0,83,2.2,29.82,0.0
142,2020-05-22,KLASULPH34,81.0,73.6,85,3.7,29.84,0.0
143,2020-05-23,KLASULPH34,82.6,70.9,79,3.7,29.9,0.0
144,2020-05-24,KLASULPH34,80.8,65.5,80,3.2,29.84,0.04
145,2020-05-25,KLASULPH34,76.1,67.1,87,1.9,29.78,0.62
