,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
58,2020-03-01,KLAWESTM40,62.8,45.3,69,3.0,30.18
59,2020-03-02,KLAWESTM40,68.4,56.4,82,2.5,29.96
60,2020-03-03,KLAWESTM40,67.5,57.3,88,1.3,29.91
61,2020-03-04,KLAWESTM40,56.8,49.7,94,2.0,30.06
62,2020-03-05,KLAWESTM40,59.4,37.8,68,2.5,30.3
63,2020-03-06,KLAWESTM40,56.8,21.3,37,3.2,30.51
64,2020-03-07,KLAWESTM40,52.4,23.1,49,0.8,30.55
65,2020-03-08,KLAWESTM40,59.1,34.8,54,1.9,30.46
66,2020-03-09,KLAWESTM40,62.8,50.9,86,2.7,30.35
67,2020-03-10,KLAWESTM40,71.5,55.6,77,1.1,30.29
68,2020-03-11,KLAWESTM40,72.6,61.7,76,2.9,30.18
69,2020-03-12,KLAWESTM40,72.5,61.5,75,3.5,29.99
70,2020-03-13,KLAWESTM40,62.5,53.3,91,2.2,30.21
71,2020-03-14,KLAWESTM40,65.9,53.5,91,0.5,30.22
72,2020-03-15,KLAWESTM40,56.1,48.2,92,2.8,30.39
73,2020-03-16,KLAWESTM40,58.5,48.4,84,0.8,30.32
74,2020-03-17,KLAWESTM40,64.7,54.4,83,1.0,30.24
75,2020-03-18,KLAWESTM40,70.9,59.8,83,1.2,30.15
76,2020-03-19,KLAWESTM40,75.4,67.3,82,2.6,30.14
77,2020-03-20,KLAWESTM40,67.4,57.7,96,1.0,30.34
78,2020-03-21,KLAWESTM40,53.6,46.3,87,1.6,30.46
79,2020-03-22,KLAWESTM40,60.0,46.9,94,1.0,30.34
80,2020-03-23,KLAWESTM40,65.4,59.3,92,1.8,30.17
81,2020-03-24,KLAWESTM40,71.4,60.1,87,1.5,30.01
82,2020-03-25,KLAWESTM40,70.1,57.8,82,0.8,30.01
83,2020-03-26,KLAWESTM40,74.6,61.2,75,1.8,29.97
84,2020-03-27,KLAWESTM40,76.7,65.4,77,2.2,29.9
85,2020-03-28,KLAWESTM40,74.9,59.3,80,2.5,29.99
86,2020-03-29,KLAWESTM40,65.7,45.3,69,0.5,30.2
87,2020-03-30,KLAWESTM40,62.6,48.3,76,0.7,30.23
88,2020-03-31,KLAWESTM40,57.7,47.2,85,1.4,30.05
89,2020-04-01,KLAWESTM40,60.8,38.7,67,0.4,30.07
90,2020-04-02,KLAWESTM40,65.6,46.6,63,0.9,30.11
91,2020-04-03,KLAWESTM40,66.9,56.5,78,0.6,30.09
92,2020-04-04,KLAWESTM40,63.1,59.8,95,0.5,30.08
93,2020-04-05,KLAWESTM40,66.9,57.4,81,1.1,30.12
94,2020-04-06,KLAWESTM40,70.4,58.5,78,0.5,30.11
95,2020-04-07,KLAWESTM40,75.0,65.0,86,1.0,30.03
