,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,Precipin
60,2020-03-01,KMDNORTH41,34.6,11.8,55,1.4,30.61,0.0
61,2020-03-02,KMDNORTH41,44.6,22.3,67,1.4,30.5,0.04
62,2020-03-03,KMDNORTH41,48.4,36.9,89,0.8,30.18,0.2
63,2020-03-04,KMDNORTH41,49.4,27.7,59,1.7,30.28,0.0
64,2020-03-05,KMDNORTH41,44.0,25.7,60,1.4,30.53,0.0
65,2020-03-06,KMDNORTH41,36.7,27.7,91,1.2,30.39,0.23
66,2020-03-07,KMDNORTH41,38.5,14.9,62,3.8,30.8,0.03
67,2020-03-08,KMDNORTH41,39.8,21.4,67,0.9,30.9,0.0
68,2020-03-09,KMDNORTH41,45.7,27.9,70,0.8,30.78,0.0
69,2020-03-10,KMDNORTH41,50.9,35.2,84,0.9,30.63,0.06
70,2020-03-11,KMDNORTH41,48.9,31.5,71,0.9,30.5,0.0
71,2020-03-12,KMDNORTH41,48.4,29.5,76,1.2,30.48,0.01
72,2020-03-13,KMDNORTH41,61.5,20.1,53,2.6,30.5,0.39
73,2020-03-14,KMDNORTH41,50.1,19.8,41,2.0,30.75,0.02
74,2020-03-15,KMDNORTH41,45.2,28.9,71,1.1,30.84,0.08
75,2020-03-16,KMDNORTH41,42.2,18.7,65,1.8,30.91,0.0
76,2020-03-17,KMDNORTH41,47.9,35.2,79,0.8,30.71,0.06
77,2020-03-18,KMDNORTH41,47.1,27.9,63,1.6,30.55,0.08
78,2020-03-19,KMDNORTH41,50.2,42.3,93,0.7,30.38,0.76
79,2020-03-20,KMDNORTH41,59.4,50.0,85,0.9,30.22,0.0
80,2020-03-21,KMDNORTH41,50.8,25.3,54,2.9,30.48,0.0
81,2020-03-22,KMDNORTH41,41.2,16.9,55,2.0,30.66,0.0
82,2020-03-23,KMDNORTH41,41.6,31.8,90,1.5,30.64,0.81
83,2020-03-24,KMDNORTH41,45.5,36.5,80,1.5,30.22,0.0
84,2020-03-25,KMDNORTH41,45.2,36.5,85,1.4,30.14,0.1
85,2020-03-26,KMDNORTH41,43.7,30.0,83,0.8,30.15,0.01
86,2020-03-27,KMDNORTH41,55.6,45.0,77,1.1,30.08,0.01
87,2020-03-28,KMDNORTH41,49.7,46.0,95,0.7,30.18,0.76
88,2020-03-29,KMDNORTH41,51.0,47.1,97,0.7,30.04,0.0
89,2020-03-30,KMDNORTH41,55.1,38.5,78,1.0,30.03,0.0
90,2020-03-31,KMDNORTH41,47.0,35.6,79,1.1,30.06,0.13
91,2020-04-01,KMDNORTH41,46.2,25.0,68,1.8,29.92,0.0
92,2020-04-02,KMDNORTH41,49.5,24.4,47,3.9,29.93,0.0
93,2020-04-03,KMDNORTH41,50.8,26.8,54,4.5,29.95,0.0
94,2020-04-04,KMDNORTH41,51.9,40.1,74,1.5,30.11,0.0
95,2020-04-05,KMDNORTH41,55.8,46.9,79,1.2,30.14,0.0
96,2020-04-06,KMDNORTH41,56.1,27.7,59,1.6,30.13,0.0
97,2020-04-07,KMDNORTH41,54.3,36.0,75,0.6,30.05,0.0
98,2020-04-08,KMDNORTH41,62.3,47.1,76,1.6,29.7,0.2
99,2020-04-09,KMDNORTH41,52.7,23.9,72,2.7,29.67,0.01
100,2020-04-10,KMDNORTH41,44.3,21.4,49,4.2,29.92,0.0
101,2020-04-11,KMDNORTH41,44.9,21.4,56,1.5,30.13,0.0
102,2020-04-12,KMDNORTH41,53.2,31.3,71,0.9,30.2,0.0
103,2020-04-13,KMDNORTH41,64.0,37.6,81,2.6,30.06,0.0
104,2020-04-14,KMDNORTH41,51.6,28.8,53,2.1,30.19,0.0
105,2020-04-15,KMDNORTH41,45.3,20.1,57,2.0,30.12,0.0
106,2020-04-16,KMDNORTH41,44.4,16.9,52,2.3,30.33,0.0
107,2020-04-17,KMDNORTH41,42.9,23.2,67,0.7,30.41,0.0
108,2020-04-18,KMDNORTH41,45.7,28.6,75,2.0,30.04,0.01
109,2020-04-19,KMDNORTH41,46.8,28.4,73,1.2,30.06,0.0
110,2020-04-20,KMDNORTH41,52.3,34.0,68,1.0,29.77,0.0
111,2020-04-21,KMDNORTH41,48.5,21.0,72,2.2,29.88,0.0
112,2020-04-22,KMDNORTH41,45.2,14.5,42,2.8,30.09,0.0
113,2020-04-23,KMDNORTH41,48.3,24.3,67,0.6,30.12,0.0
