,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KMNROCHE426,38.3,28.2,76,3.0,29.79
61,2020-03-02,KMNROCHE426,31.5,23.9,81,2.4,29.8
62,2020-03-03,KMNROCHE426,35.5,25.7,80,2.9,29.74
63,2020-03-04,KMNROCHE426,33.8,18.7,71,1.6,29.94
64,2020-03-05,KMNROCHE426,36.3,23.4,81,3.8,30.23
65,2020-03-06,KMNROCHE426,30.3,13.1,64,1.2,30.47
66,2020-03-07,KMNROCHE426,41.6,20.7,58,2.8,30.32
67,2020-03-08,KMNROCHE426,49.7,29.8,62,2.3,29.96
68,2020-03-09,KMNROCHE426,37.0,27.0,86,2.0,30.06
69,2020-03-10,KMNROCHE426,35.2,17.2,71,0.8,30.24
70,2020-03-11,KMNROCHE426,38.5,30.9,86,1.3,30.04
71,2020-03-12,KMNROCHE426,41.4,23.7,86,3.4,29.9
72,2020-03-13,KMNROCHE426,33.5,18.9,62,4.0,30.43
73,2020-03-14,KMNROCHE426,29.3,16.5,65,0.8,30.58
74,2020-03-15,KMNROCHE426,30.4,16.3,72,0.9,30.64
75,2020-03-16,KMNROCHE426,33.9,20.3,86,2.0,30.37
76,2020-03-17,KMNROCHE426,36.3,20.3,64,2.0,30.25
77,2020-03-18,KMNROCHE426,38.4,29.8,92,1.2,30.11
78,2020-03-19,KMNROCHE426,38.2,32.7,99,1.0,30.01
79,2020-03-20,KMNROCHE426,28.5,16.2,75,2.4,30.51
80,2020-03-21,KMNROCHE426,27.8,13.5,71,1.4,30.54
81,2020-03-22,KMNROCHE426,34.3,24.8,77,3.0,30.37
82,2020-03-23,KMNROCHE426,36.7,29.3,94,0.6,30.11
83,2020-03-24,KMNROCHE426,41.7,36.3,87,1.8,30.06
84,2020-03-25,KMNROCHE426,43.2,38.3,97,1.0,29.85
85,2020-03-26,KMNROCHE426,42.3,36.3,87,0.5,29.88
86,2020-03-27,KMNROCHE426,45.9,36.1,83,0.9,29.87
87,2020-03-28,KMNROCHE426,44.1,41.4,95,1.8,29.76
88,2020-03-29,KMNROCHE426,40.2,34.2,93,3.0,30.02
89,2020-03-30,KMNROCHE426,44.8,26.4,65,0.8,30.21
90,2020-03-31,KMNROCHE426,43.7,27.0,60,1.0,30.15
91,2020-04-01,KMNROCHE426,43.1,27.9,73,1.9,30.03
92,2020-04-02,KMNROCHE426,53.3,36.1,63,3.4,29.98
93,2020-04-03,KMNROCHE426,32.3,23.7,92,2.7,30.17
94,2020-04-04,KMNROCHE426,31.8,18.7,72,1.3,30.24
95,2020-04-05,KMNROCHE426,41.7,21.7,61,1.0,30.16
96,2020-04-06,KMNROCHE426,47.0,31.8,77,1.4,30.01
97,2020-04-07,KMNROCHE426,56.6,42.6,84,1.1,29.77
98,2020-04-08,KMNROCHE426,47.4,18.3,67,2.4,29.84
99,2020-04-09,KMNROCHE426,35.7,16.9,63,3.9,30.02
100,2020-04-10,KMNROCHE426,38.1,20.1,58,2.2,30.06
101,2020-04-11,KMNROCHE426,47.8,25.3,55,0.7,29.85
102,2020-04-12,KMNROCHE426,36.1,25.0,82,0.9,29.79
103,2020-04-13,KMNROCHE426,27.9,14.9,72,1.6,30.1
104,2020-04-14,KMNROCHE426,24.3,12.7,73,2.6,30.11
105,2020-04-15,KMNROCHE426,24.9,9.7,63,1.8,30.16
106,2020-04-16,KMNROCHE426,32.1,15.3,60,1.8,30.26
107,2020-04-17,KMNROCHE426,38.9,20.3,57,1.9,30.13
108,2020-04-18,KMNROCHE426,49.5,24.4,56,3.2,29.88
109,2020-04-19,KMNROCHE426,45.3,16.5,48,2.0,29.9
110,2020-04-20,KMNROCHE426,46.1,20.8,56,3.4,29.8
111,2020-04-21,KMNROCHE426,41.7,9.5,43,2.2,29.99
112,2020-04-22,KMNROCHE426,59.3,24.8,45,1.8,29.87
113,2020-04-23,KMNROCHE426,49.5,32.7,67,1.1,29.75
114,2020-04-24,KMNROCHE426,54.0,35.4,62,0.9,29.91
115,2020-04-25,KMNROCHE426,56.3,32.7,56,0.7,30.02
116,2020-04-26,KMNROCHE426,55.6,32.2,59,1.2,30.1
117,2020-04-27,KMNROCHE426,61.1,33.8,52,1.3,29.99
118,2020-04-28,KMNROCHE426,51.6,40.6,86,1.9,29.82
119,2020-04-29,KMNROCHE426,50.6,38.5,76,2.9,29.89
120,2020-04-30,KMNROCHE426,55.4,28.6,53,1.1,29.96
121,2020-05-01,KMNROCHE426,60.4,34.7,50,2.5,29.9
122,2020-05-02,KMNROCHE426,65.8,24.1,45,3.4,29.92
123,2020-05-03,KMNROCHE426,59.0,29.3,44,2.0,30.06
124,2020-05-04,KMNROCHE426,51.1,29.5,53,1.2,30.13
125,2020-05-05,KMNROCHE426,48.6,21.2,56,1.0,30.08
126,2020-05-06,KMNROCHE426,54.1,28.6,56,1.6,30.13
127,2020-05-07,KMNROCHE426,52.7,11.5,38,1.5,30.04
128,2020-05-08,KMNROCHE426,42.6,10.8,36,1.8,30.17
129,2020-05-09,KMNROCHE426,45.1,15.8,58,1.8,30.15
130,2020-05-10,KMNROCHE426,42.5,28.8,76,2.0,30.16
131,2020-05-11,KMNROCHE426,46.3,18.9,49,1.6,30.22
132,2020-05-12,KMNROCHE426,46.2,13.8,45,0.7,30.2
133,2020-05-13,KMNROCHE426,51.9,22.3,56,2.4,30.11
134,2020-05-14,KMNROCHE426,59.5,50.4,80,1.0,29.84
135,2020-05-15,KMNROCHE426,60.7,39.7,55,1.4,30.0
