,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KMNWINON14,42.0,29.5,73,5.3,29.87
61,2020-03-02,KMNWINON14,34.9,25.8,78,4.6,29.88
62,2020-03-03,KMNWINON14,36.7,26.7,82,5.6,29.81
63,2020-03-04,KMNWINON14,36.1,21.7,68,4.4,30.07
64,2020-03-05,KMNWINON14,38.4,25.8,81,8.6,30.32
65,2020-03-06,KMNWINON14,31.8,16.3,65,4.2,30.59
66,2020-03-07,KMNWINON14,45.3,21.4,53,6.4,30.47
67,2020-03-08,KMNWINON14,55.4,31.8,54,8.3,30.08
68,2020-03-09,KMNWINON14,41.0,28.2,87,6.0,30.13
69,2020-03-10,KMNWINON14,37.6,21.9,67,2.5,30.36
70,2020-03-11,KMNWINON14,38.9,33.0,90,2.2,30.16
71,2020-03-12,KMNWINON14,43.2,27.1,89,7.0,29.96
72,2020-03-13,KMNWINON14,36.4,20.5,61,8.5,30.55
73,2020-03-14,KMNWINON14,30.8,18.6,65,3.0,30.72
74,2020-03-15,KMNWINON14,31.6,17.4,73,3.0,30.8
75,2020-03-16,KMNWINON14,35.5,24.2,85,4.5,30.5
76,2020-03-17,KMNWINON14,38.5,21.3,61,4.8,30.36
77,2020-03-18,KMNWINON14,39.6,30.6,92,4.2,30.24
78,2020-03-19,KMNWINON14,39.2,35.1,99,3.4,30.13
79,2020-03-20,KMNWINON14,31.2,16.6,78,7.4,30.65
80,2020-03-21,KMNWINON14,29.7,14.0,65,4.2,30.68
81,2020-03-22,KMNWINON14,35.9,23.8,74,6.0,30.53
82,2020-03-23,KMNWINON14,37.9,28.8,91,1.5,30.23
83,2020-03-24,KMNWINON14,44.7,38.1,82,3.5,30.19
84,2020-03-25,KMNWINON14,44.8,39.7,95,2.9,29.97
85,2020-03-26,KMNWINON14,44.0,38.7,90,1.9,29.99
86,2020-03-27,KMNWINON14,47.9,37.6,83,3.4,29.98
87,2020-03-28,KMNWINON14,44.8,43.0,98,7.1,29.87
88,2020-03-29,KMNWINON14,42.1,37.7,96,7.3,30.11
89,2020-03-30,KMNWINON14,47.2,28.8,68,3.3,30.31
90,2020-03-31,KMNWINON14,44.1,28.6,64,3.7,30.26
91,2020-04-01,KMNWINON14,46.0,30.0,71,4.3,30.16
92,2020-04-02,KMNWINON14,55.8,39.2,63,5.9,30.13
93,2020-04-03,KMNWINON14,38.6,27.4,93,5.6,30.26
94,2020-04-04,KMNWINON14,34.5,23.9,76,4.3,30.35
95,2020-04-05,KMNWINON14,43.9,23.7,64,2.2,30.28
96,2020-04-06,KMNWINON14,48.8,32.2,77,3.7,30.13
97,2020-04-07,KMNWINON14,55.6,46.1,93,3.0,29.89
98,2020-04-08,KMNWINON14,48.9,20.7,73,5.3,29.89
99,2020-04-09,KMNWINON14,38.7,20.5,59,10.0,30.09
100,2020-04-10,KMNWINON14,40.4,22.5,57,4.8,30.17
101,2020-04-11,KMNWINON14,50.0,28.6,58,2.3,29.96
102,2020-04-12,KMNWINON14,38.2,28.4,83,5.0,29.84
103,2020-04-13,KMNWINON14,31.5,17.3,71,9.2,30.19
104,2020-04-14,KMNWINON14,27.3,15.6,70,5.7,30.2
105,2020-04-15,KMNWINON14,27.6,13.3,63,4.1,30.27
106,2020-04-16,KMNWINON14,34.5,17.2,58,3.9,30.37
107,2020-04-17,KMNWINON14,41.4,23.5,56,4.2,30.25
108,2020-04-18,KMNWINON14,53.2,25.4,53,7.3,29.99
109,2020-04-19,KMNWINON14,47.2,21.4,51,6.0,29.99
110,2020-04-20,KMNWINON14,47.5,23.8,59,7.1,29.89
111,2020-04-21,KMNWINON14,42.0,16.0,42,6.5,30.09
112,2020-04-22,KMNWINON14,52.9,24.7,50,6.8,30.01
113,2020-04-23,KMNWINON14,47.2,34.2,77,4.4,29.87
114,2020-04-24,KMNWINON14,53.3,38.8,67,3.1,30.01
115,2020-04-25,KMNWINON14,56.3,36.2,61,2.2,30.12
116,2020-04-26,KMNWINON14,57.6,37.3,60,3.0,30.21
117,2020-04-27,KMNWINON14,60.7,41.7,65,3.8,30.12
118,2020-04-28,KMNWINON14,54.3,44.1,92,4.6,29.91
119,2020-04-29,KMNWINON14,52.0,40.7,80,8.9,29.97
120,2020-04-30,KMNWINON14,56.3,36.0,58,4.1,30.03
121,2020-05-01,KMNWINON14,60.1,38.6,59,4.6,30.02
122,2020-05-02,KMNWINON14,68.3,30.6,47,7.2,29.99
123,2020-05-03,KMNWINON14,60.2,34.0,49,5.5,30.17
124,2020-05-04,KMNWINON14,53.0,32.1,55,4.9,30.26
125,2020-05-05,KMNWINON14,50.7,27.2,55,4.2,30.16
126,2020-05-06,KMNWINON14,56.2,33.3,54,4.1,30.22
127,2020-05-07,KMNWINON14,53.7,20.9,41,5.5,30.13
128,2020-05-08,KMNWINON14,42.8,15.3,42,5.9,30.27
129,2020-05-09,KMNWINON14,47.8,19.3,54,3.4,30.26
130,2020-05-10,KMNWINON14,43.3,32.8,79,5.5,30.26
131,2020-05-11,KMNWINON14,47.8,25.9,53,4.2,30.33
132,2020-05-12,KMNWINON14,48.4,18.5,48,2.0,30.31
133,2020-05-13,KMNWINON14,54.2,29.0,57,5.5,30.24
134,2020-05-14,KMNWINON14,60.5,50.8,83,2.0,29.95
135,2020-05-15,KMNWINON14,62.3,44.4,64,3.3,30.1
136,2020-05-16,KMNWINON14,63.9,45.9,63,5.8,30.2
137,2020-05-17,KMNWINON14,52.5,49.0,95,5.1,30.06
138,2020-05-18,KMNWINON14,54.8,49.9,93,5.5,30.12
139,2020-05-19,KMNWINON14,59.7,48.6,81,4.2,30.17
140,2020-05-20,KMNWINON14,68.9,51.4,63,5.2,30.24
141,2020-05-21,KMNWINON14,63.2,52.0,77,3.3,30.19
142,2020-05-22,KMNWINON14,66.0,56.1,77,2.7,30.1
143,2020-05-23,KMNWINON14,65.4,58.9,91,2.5,30.0
144,2020-05-24,KMNWINON14,70.6,58.5,85,2.5,30.02
145,2020-05-25,KMNWINON14,75.9,64.8,80,2.6,30.02
146,2020-05-26,KMNWINON14,74.6,65.4,86,3.5,30.02
147,2020-05-27,KMNWINON14,75.9,66.4,82,3.3,29.98
148,2020-05-28,KMNWINON14,70.8,49.4,75,2.5,30.02
149,2020-05-29,KMNWINON14,61.9,46.8,65,5.5,30.23
150,2020-05-30,KMNWINON14,61.1,37.4,61,4.0,30.34
151,2020-05-31,KMNWINON14,64.2,41.3,61,2.7,30.43
152,2020-06-01,KMNWINON14,75.6,48.9,63,6.1,30.22
153,2020-06-02,KMNWINON14,80.9,64.0,72,3.3,30.02
154,2020-06-03,KMNWINON14,76.2,59.6,71,0.8,29.96
155,2020-06-04,KMNWINON14,77.5,53.5,62,0.9,29.87
156,2020-06-05,KMNWINON14,75.2,53.9,70,2.9,30.09
157,2020-06-06,KMNWINON14,71.6,51.2,61,1.6,30.2
158,2020-06-07,KMNWINON14,74.7,56.4,66,5.7,30.13
159,2020-06-08,KMNWINON14,84.9,56.5,53,5.2,29.94
160,2020-06-09,KMNWINON14,75.5,55.5,72,2.1,29.81
161,2020-06-10,KMNWINON14,66.2,50.7,83,4.5,29.9
162,2020-06-11,KMNWINON14,70.1,47.7,57,3.4,30.27
163,2020-06-12,KMNWINON14,69.9,51.2,65,2.2,30.34
164,2020-06-13,KMNWINON14,65.0,41.6,54,4.5,30.43
165,2020-06-14,KMNWINON14,67.1,42.5,54,5.9,30.42
166,2020-06-15,KMNWINON14,71.1,39.3,50,5.1,30.37
167,2020-06-16,KMNWINON14,77.6,48.9,47,3.6,30.32
168,2020-06-17,KMNWINON14,76.9,56.7,61,3.3,30.21
169,2020-06-18,KMNWINON14,79.1,57.5,62,3.3,30.08
170,2020-06-19,KMNWINON14,70.3,63.9,90,0.3,30.09
171,2020-06-20,KMNWINON14,66.6,58.4,93,1.0,30.08
172,2020-06-21,KMNWINON14,72.4,58.3,81,2.0,29.95
173,2020-06-22,KMNWINON14,66.0,59.3,92,0.1,29.93
174,2020-06-23,KMNWINON14,65.7,54.6,81,1.8,29.94
175,2020-06-24,KMNWINON14,68.3,53.5,74,1.5,29.98
176,2020-06-25,KMNWINON14,73.3,53.0,70,0.5,30.03
177,2020-06-26,KMNWINON14,75.6,59.9,83,0.7,29.98
178,2020-06-27,KMNWINON14,77.0,63.3,75,0.3,29.91
179,2020-06-28,KMNWINON14,77.2,61.8,81,3.4,29.86
180,2020-06-29,KMNWINON14,76.9,66.9,91,3.2,29.95
181,2020-06-30,KMNWINON14,82.5,71.5,81,3.7,29.94
182,2020-07-01,KMNWINON14,81.7,71.7,82,1.3,30.06
183,2020-07-02,KMNWINON14,82.7,64.9,72,1.1,30.15
184,2020-07-03,KMNWINON14,80.9,64.9,76,0.6,30.18
185,2020-07-04,KMNWINON14,82.0,69.0,80,1.2,30.14
186,2020-07-05,KMNWINON14,84.0,70.2,75,0.2,30.08
187,2020-07-06,KMNWINON14,83.5,69.4,74,0.5,30.06
188,2020-07-07,KMNWINON14,80.7,68.8,80,2.2,30.05
189,2020-07-08,KMNWINON14,84.8,69.2,76,2.6,30.0
190,2020-07-09,KMNWINON14,74.1,66.1,91,1.6,29.96
191,2020-07-10,KMNWINON14,76.5,64.6,77,1.7,30.02
192,2020-07-11,KMNWINON14,76.2,55.1,79,0.8,30.03
193,2020-07-12,KMNWINON14,76.6,61.9,72,0.6,30.04
194,2020-07-13,KMNWINON14,77.6,61.8,73,2.8,30.06
195,2020-07-14,KMNWINON14,75.0,63.6,81,4.0,30.07
196,2020-07-15,KMNWINON14,66.3,56.8,89,0.1,30.14
197,2020-07-16,KMNWINON14,72.0,55.0,75,1.4,30.15
198,2020-07-17,KMNWINON14,80.3,63.0,76,1.7,30.14
199,2020-07-18,KMNWINON14,83.0,68.0,83,2.9,30.0
200,2020-07-19,KMNWINON14,79.7,59.5,66,3.9,30.02
201,2020-07-20,KMNWINON14,75.3,59.4,70,0.8,30.12
202,2020-07-21,KMNWINON14,73.0,62.7,87,1.2,30.09
203,2020-07-22,KMNWINON14,66.8,57.4,82,3.1,30.16
204,2020-07-23,KMNWINON14,70.8,56.9,80,1.1,30.23
205,2020-07-24,KMNWINON14,78.3,62.7,80,2.7,30.21
206,2020-07-25,KMNWINON14,83.8,73.2,83,2.4,30.1
207,2020-07-26,KMNWINON14,80.3,72.1,85,0.7,30.04
208,2020-07-27,KMNWINON14,77.5,60.7,67,2.4,30.08
209,2020-07-28,KMNWINON14,77.6,62.7,75,0.8,30.04
210,2020-07-29,KMNWINON14,76.1,60.8,75,1.2,30.03
211,2020-07-30,KMNWINON14,73.6,60.4,71,1.7,30.09
212,2020-07-31,KMNWINON14,73.6,58.4,72,1.0,30.12
213,2020-08-01,KMNWINON14,75.0,58.2,70,1.2,30.05
214,2020-08-02,KMNWINON14,68.5,55.4,81,4.2,30.17
215,2020-08-03,KMNWINON14,63.3,50.3,72,2.2,30.24
216,2020-08-04,KMNWINON14,64.9,49.0,74,1.8,30.24
217,2020-08-05,KMNWINON14,69.4,53.1,68,0.4,30.18
218,2020-08-06,KMNWINON14,70.5,56.8,74,2.3,30.18
219,2020-08-07,KMNWINON14,75.1,61.9,75,3.9,30.15
220,2020-08-08,KMNWINON14,79.1,67.5,81,2.5,30.07
221,2020-08-09,KMNWINON14,77.4,66.6,87,1.9,30.09
222,2020-08-10,KMNWINON14,74.2,59.5,82,2.4,30.02
223,2020-08-11,KMNWINON14,73.1,55.0,69,0.2,30.09
224,2020-08-12,KMNWINON14,72.4,56.9,76,1.6,30.2
225,2020-08-13,KMNWINON14,78.9,64.5,76,2.5,30.15
226,2020-08-14,KMNWINON14,78.8,64.0,75,2.9,30.11
227,2020-08-15,KMNWINON14,66.7,59.0,88,1.8,30.12
228,2020-08-16,KMNWINON14,74.6,58.3,73,2.1,30.12
229,2020-08-17,KMNWINON14,68.6,56.2,80,1.3,30.18
230,2020-08-18,KMNWINON14,68.8,53.3,71,0.7,30.22
231,2020-08-19,KMNWINON14,72.1,54.6,71,0.7,30.18
232,2020-08-20,KMNWINON14,76.1,59.7,68,1.6,30.05
233,2020-08-21,KMNWINON14,78.4,59.4,65,2.0,29.98
234,2020-08-22,KMNWINON14,76.1,64.9,81,1.2,29.98
235,2020-08-23,KMNWINON14,79.8,66.0,80,0.1,30.02
