,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
58,2020-03-01,KMOCARTH16,59.2,35.2,68,3.7,29.92
59,2020-03-02,KMOCARTH16,46.8,38.2,87,1.1,29.85
60,2020-03-03,KMOCARTH16,48.5,25.8,63,0.7,29.96
61,2020-03-04,KMOCARTH16,47.6,27.1,61,0.4,30.09
62,2020-03-05,KMOCARTH16,47.7,16.7,55,2.3,30.38
63,2020-03-06,KMOCARTH16,44.4,20.7,49,1.4,30.55
64,2020-03-07,KMOCARTH16,52.4,21.5,38,3.1,30.43
65,2020-03-08,KMOCARTH16,56.6,26.3,38,4.7,30.25
66,2020-03-09,KMOCARTH16,53.9,31.5,86,4.8,30.19
67,2020-03-10,KMOCARTH16,46.7,36.4,82,1.4,30.33
68,2020-03-11,KMOCARTH16,57.4,43.4,81,1.0,30.08
69,2020-03-12,KMOCARTH16,62.4,44.4,78,3.2,30.05
70,2020-03-13,KMOCARTH16,47.9,23.1,51,1.6,30.32
71,2020-03-14,KMOCARTH16,41.1,29.9,92,1.5,30.38
72,2020-03-15,KMOCARTH16,39.9,36.4,93,1.0,30.5
73,2020-03-16,KMOCARTH16,43.7,38.7,97,0.8,30.34
74,2020-03-17,KMOCARTH16,48.6,42.8,92,1.2,30.29
75,2020-03-18,KMOCARTH16,60.4,48.5,89,2.7,30.07
76,2020-03-19,KMOCARTH16,65.3,55.4,87,4.4,29.92
77,2020-03-20,KMOCARTH16,46.0,27.9,74,3.4,30.46
78,2020-03-21,KMOCARTH16,40.5,25.8,67,0.7,30.5
79,2020-03-22,KMOCARTH16,46.2,35.0,90,1.5,30.28
80,2020-03-23,KMOCARTH16,53.8,45.2,85,0.7,30.14
81,2020-03-24,KMOCARTH16,53.4,47.9,90,1.2,30.01
82,2020-03-25,KMOCARTH16,59.5,44.6,74,2.4,29.96
83,2020-03-26,KMOCARTH16,72.0,54.0,66,2.5,29.76
84,2020-03-27,KMOCARTH16,73.2,61.7,78,2.8,29.7
85,2020-03-28,KMOCARTH16,68.4,28.8,60,4.5,29.86
86,2020-03-29,KMOCARTH16,57.6,32.3,51,2.2,30.15
87,2020-03-30,KMOCARTH16,55.3,36.6,66,0.6,30.2
88,2020-03-31,KMOCARTH16,55.4,44.0,79,1.5,30.05
89,2020-04-01,KMOCARTH16,59.0,42.8,65,1.6,30.0
