,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KMOKEARN13,56.4,36.5,64,5.4,29.85
61,2020-03-02,KMOKEARN13,41.3,29.4,77,3.5,29.94
62,2020-03-03,KMOKEARN13,47.0,27.4,58,3.5,29.87
63,2020-03-04,KMOKEARN13,50.0,29.6,57,3.2,30.1
64,2020-03-05,KMOKEARN13,48.5,18.2,50,9.4,30.41
65,2020-03-06,KMOKEARN13,41.9,20.0,54,3.5,30.58
66,2020-03-07,KMOKEARN13,49.4,20.3,46,5.6,30.43
67,2020-03-08,KMOKEARN13,58.8,30.7,48,10.5,30.17
68,2020-03-09,KMOKEARN13,47.9,35.5,98,7.2,30.2
69,2020-03-10,KMOKEARN13,41.6,29.1,89,2.3,30.35
70,2020-03-11,KMOKEARN13,50.6,36.9,85,0.7,30.14
71,2020-03-12,KMOKEARN13,53.0,36.1,85,4.8,30.13
72,2020-03-13,KMOKEARN13,43.6,25.1,60,3.9,30.42
73,2020-03-14,KMOKEARN13,36.5,31.0,94,8.3,30.52
74,2020-03-15,KMOKEARN13,35.5,31.2,91,5.8,30.61
75,2020-03-16,KMOKEARN13,38.9,34.2,97,1.2,30.4
76,2020-03-17,KMOKEARN13,43.8,40.5,94,4.2,30.35
77,2020-03-18,KMOKEARN13,51.9,44.9,98,2.6,30.1
78,2020-03-19,KMOKEARN13,62.2,54.1,94,4.7,29.93
79,2020-03-20,KMOKEARN13,37.3,20.6,76,11.5,30.56
80,2020-03-21,KMOKEARN13,35.4,21.8,74,3.0,30.57
81,2020-03-22,KMOKEARN13,38.4,29.1,96,4.5,30.35
82,2020-03-23,KMOKEARN13,44.2,38.7,97,2.9,30.2
83,2020-03-24,KMOKEARN13,46.6,41.4,95,5.6,30.06
84,2020-03-25,KMOKEARN13,52.8,42.7,90,4.3,29.96
85,2020-03-26,KMOKEARN13,55.1,49.9,93,3.7,29.81
86,2020-03-27,KMOKEARN13,54.0,50.1,99,4.3,29.75
87,2020-03-28,KMOKEARN13,59.6,30.7,74,9.8,29.69
88,2020-03-29,KMOKEARN13,54.0,31.6,57,6.2,30.16
89,2020-03-30,KMOKEARN13,53.3,34.0,65,2.4,30.24
90,2020-03-31,KMOKEARN13,56.4,33.3,52,2.0,30.07
91,2020-04-01,KMOKEARN13,57.3,37.2,68,3.3,30.0
92,2020-04-02,KMOKEARN13,59.9,45.8,74,2.8,29.95
93,2020-04-03,KMOKEARN13,33.1,29.3,95,7.3,30.25
94,2020-04-04,KMOKEARN13,37.0,29.0,88,5.0,30.26
95,2020-04-05,KMOKEARN13,46.9,32.5,86,3.1,30.15
96,2020-04-06,KMOKEARN13,58.5,48.1,95,3.0,30.05
97,2020-04-07,KMOKEARN13,68.9,57.3,84,4.1,29.85
98,2020-04-08,KMOKEARN13,65.3,38.6,70,5.5,30.01
99,2020-04-09,KMOKEARN13,49.0,20.3,47,7.9,30.22
100,2020-04-10,KMOKEARN13,43.4,20.0,54,2.8,30.25
101,2020-04-11,KMOKEARN13,57.5,33.2,68,4.9,29.92
102,2020-04-12,KMOKEARN13,49.4,27.9,93,9.3,29.94
103,2020-04-13,KMOKEARN13,36.8,17.5,58,7.2,30.33
104,2020-04-14,KMOKEARN13,40.0,17.9,54,2.8,30.35
105,2020-04-15,KMOKEARN13,42.9,23.1,59,2.7,30.18
106,2020-04-16,KMOKEARN13,39.2,27.3,82,7.2,30.27
107,2020-04-17,KMOKEARN13,37.5,29.0,88,6.0,30.2
108,2020-04-18,KMOKEARN13,45.2,25.1,72,4.3,30.13
109,2020-04-19,KMOKEARN13,53.8,37.2,66,3.8,29.89
110,2020-04-20,KMOKEARN13,54.6,36.6,69,2.2,29.9
111,2020-04-21,KMOKEARN13,58.9,37.1,53,2.1,30.1
112,2020-04-22,KMOKEARN13,58.0,39.2,76,3.4,30.0
