,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
44,2020-03-01,KMOWARSA11,58.3,10.6,26,4.2,29.78
45,2020-03-02,KMOWARSA11,46.0,12.7,35,0.6,29.74
46,2020-03-03,KMOWARSA11,49.6,8.8,28,0.8,29.79
47,2020-03-04,KMOWARSA11,50.0,6.4,22,0.7,29.95
48,2020-03-05,KMOWARSA11,49.6,4.3,24,3.8,30.22
49,2020-03-06,KMOWARSA11,43.9,0.7,23,1.6,30.42
50,2020-03-07,KMOWARSA11,52.8,2.1,20,5.4,30.31
51,2020-03-08,KMOWARSA11,58.8,5.5,19,5.7,30.1
52,2020-03-09,KMOWARSA11,52.7,15.1,49,4.9,30.02
53,2020-03-10,KMOWARSA11,42.8,16.9,44,1.0,30.2
54,2020-03-11,KMOWARSA11,53.2,19.2,40,0.4,29.95
55,2020-03-12,KMOWARSA11,58.3,22.1,39,2.8,29.93
56,2020-03-13,KMOWARSA11,46.3,3.6,23,1.1,30.24
57,2020-03-14,KMOWARSA11,39.2,5.2,47,2.0,30.32
58,2020-03-15,KMOWARSA11,37.6,11.8,40,0.8,30.42
59,2020-03-16,KMOWARSA11,40.7,17.8,64,0.3,30.23
60,2020-03-17,KMOWARSA11,47.0,20.5,53,1.2,30.18
61,2020-03-18,KMOWARSA11,55.3,29.1,58,1.0,29.97
62,2020-03-19,KMOWARSA11,65.2,34.7,47,4.3,29.8
63,2020-03-20,KMOWARSA11,43.8,7.2,37,3.2,30.35
64,2020-03-21,KMOWARSA11,39.0,1.2,30,0.9,30.4
65,2020-03-22,KMOWARSA11,41.8,8.4,52,1.8,30.19
66,2020-03-23,KMOWARSA11,48.4,24.8,54,0.8,30.03
67,2020-03-24,KMOWARSA11,45.5,25.5,53,1.4,29.93
68,2020-03-25,KMOWARSA11,55.1,16.0,48,3.2,29.84
69,2020-03-26,KMOWARSA11,68.4,16.5,28,2.3,29.63
70,2020-03-27,KMOWARSA11,68.7,34.5,37,2.8,29.62
71,2020-03-28,KMOWARSA11,67.0,13.6,31,4.4,29.61
72,2020-03-29,KMOWARSA11,57.6,9.9,21,3.5,30.0
73,2020-03-30,KMOWARSA11,57.8,10.6,22,0.4,30.09
74,2020-03-31,KMOWARSA11,58.8,10.0,22,1.3,29.9
75,2020-04-01,KMOWARSA11,58.9,11.5,22,2.0,29.87
76,2020-04-02,KMOWARSA11,65.0,15.4,22,6.7,29.84
77,2020-04-03,KMOWARSA11,46.1,14.5,40,2.2,30.04
78,2020-04-04,KMOWARSA11,37.1,16.3,58,0.5,30.07
79,2020-04-05,KMOWARSA11,48.3,21.9,43,0.7,30.0
80,2020-04-06,KMOWARSA11,63.7,30.2,36,3.1,29.9
81,2020-04-07,KMOWARSA11,72.1,23.4,31,1.7,29.75
82,2020-04-08,KMOWARSA11,73.2,16.3,26,1.4,29.83
83,2020-04-09,KMOWARSA11,53.0,3.2,23,2.4,30.01
84,2020-04-10,KMOWARSA11,46.5,2.9,22,0.9,30.09
85,2020-04-11,KMOWARSA11,57.4,9.5,26,4.3,29.79
86,2020-04-12,KMOWARSA11,55.4,9.0,40,3.2,29.71
87,2020-04-13,KMOWARSA11,38.0,2.9,25,2.8,30.14
88,2020-04-14,KMOWARSA11,43.2,3.8,22,1.1,30.19
89,2020-04-15,KMOWARSA11,46.9,3.6,21,1.7,30.02
90,2020-04-16,KMOWARSA11,51.6,2.8,20,1.9,30.09
91,2020-04-17,KMOWARSA11,40.7,10.2,52,0.9,30.04
92,2020-04-18,KMOWARSA11,48.3,6.8,36,1.5,30.01
93,2020-04-19,KMOWARSA11,60.0,10.2,20,1.1,29.71
94,2020-04-20,KMOWARSA11,58.6,10.0,24,0.7,29.75
95,2020-04-21,KMOWARSA11,61.0,11.3,20,0.5,29.94
96,2020-04-22,KMOWARSA11,57.9,10.2,36,2.5,29.9
97,2020-04-23,KMOWARSA11,60.0,23.0,56,0.2,29.62
