,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,Precipin
60,2020-03-01,KNCYADKI6,39.1,18.0,58,0.4,30.34,0.0
61,2020-03-02,KNCYADKI6,48.1,26.0,64,0.8,30.2,0.0
62,2020-03-03,KNCYADKI6,53.8,45.0,89,0.3,29.93,0.17
63,2020-03-04,KNCYADKI6,52.7,29.0,57,0.4,30.03,0.0
64,2020-03-05,KNCYADKI6,48.3,35.0,71,0.5,30.15,0.0
65,2020-03-06,KNCYADKI6,42.0,25.0,67,1.9,30.19,0.0
66,2020-03-07,KNCYADKI6,41.7,21.0,52,2.0,30.53,0.0
67,2020-03-08,KNCYADKI6,42.6,22.0,58,0.5,30.65,0.0
68,2020-03-09,KNCYADKI6,50.1,26.0,64,0.9,30.59,0.0
69,2020-03-10,KNCYADKI6,58.9,45.0,76,1.1,30.41,0.02
70,2020-03-11,KNCYADKI6,59.3,44.0,76,0.6,30.16,0.0
71,2020-03-12,KNCYADKI6,58.7,41.0,71,0.6,30.04,0.0
72,2020-03-13,KNCYADKI6,66.6,37.0,62,0.6,30.21,0.12
73,2020-03-14,KNCYADKI6,57.0,23.0,41,0.6,30.38,0.0
74,2020-03-15,KNCYADKI6,50.1,40.0,72,2.0,30.45,0.0
75,2020-03-16,KNCYADKI6,47.3,38.0,79,0.7,30.46,0.02
76,2020-03-17,KNCYADKI6,51.8,44.0,89,0.2,30.31,0.12
77,2020-03-18,KNCYADKI6,53.6,42.0,83,0.8,30.43,0.02
78,2020-03-19,KNCYADKI6,63.3,52.0,84,0.4,30.29,0.2
79,2020-03-20,KNCYADKI6,69.7,57.0,74,0.7,30.17,0.15
80,2020-03-21,KNCYADKI6,64.3,46.0,78,0.9,30.31,0.07
81,2020-03-22,KNCYADKI6,51.7,36.0,67,2.1,30.44,0.0
82,2020-03-23,KNCYADKI6,47.1,41.0,91,0.3,30.38,0.35
83,2020-03-24,KNCYADKI6,52.8,47.0,90,0.7,30.16,1.11
84,2020-03-25,KNCYADKI6,55.2,46.0,82,0.8,30.02,0.34
85,2020-03-26,KNCYADKI6,52.2,44.0,84,0.5,30.13,0.0
86,2020-03-27,KNCYADKI6,61.8,41.0,80,0.4,29.95,0.0
87,2020-03-28,KNCYADKI6,71.4,56.0,71,0.6,29.94,0.0
88,2020-03-29,KNCYADKI6,72.3,35.0,64,0.8,29.97,0.0
89,2020-03-30,KNCYADKI6,65.9,32.0,36,0.8,30.07,0.0
90,2020-03-31,KNCYADKI6,52.1,31.0,64,1.4,29.96,0.02
91,2020-04-01,KNCYADKI6,48.8,36.0,69,1.5,30.0,0.0
92,2020-04-02,KNCYADKI6,50.9,32.0,60,1.9,30.07,0.0
93,2020-04-03,KNCYADKI6,56.1,27.0,47,1.1,30.02,0.0
94,2020-04-04,KNCYADKI6,58.6,32.0,54,0.9,30.02,0.0
95,2020-04-05,KNCYADKI6,59.0,39.0,69,0.5,30.12,0.0
96,2020-04-06,KNCYADKI6,63.8,44.0,66,0.3,30.08,0.0
97,2020-04-07,KNCYADKI6,64.2,45.0,73,0.3,30.01,0.12
98,2020-04-08,KNCYADKI6,67.7,50.0,71,1.3,29.78,0.04
99,2020-04-09,KNCYADKI6,64.3,26.0,60,1.8,29.65,0.25
100,2020-04-10,KNCYADKI6,50.4,22.0,41,2.6,29.98,0.0
101,2020-04-11,KNCYADKI6,49.3,27.0,57,0.6,30.15,0.0
102,2020-04-12,KNCYADKI6,54.0,38.0,84,0.7,30.15,0.59
103,2020-04-13,KNCYADKI6,67.7,48.0,73,2.0,29.98,1.89
104,2020-04-14,KNCYADKI6,56.3,38.0,68,1.1,30.09,0.0
105,2020-04-15,KNCYADKI6,47.5,24.0,56,2.0,30.11,0.0
106,2020-04-16,KNCYADKI6,48.1,21.0,59,1.0,30.29,0.0
107,2020-04-17,KNCYADKI6,54.0,30.0,62,1.1,30.3,0.0
108,2020-04-18,KNCYADKI6,56.3,33.0,61,1.5,30.01,0.11
109,2020-04-19,KNCYADKI6,48.0,31.0,76,0.1,30.03,0.0
110,2020-04-20,KNCYADKI6,54.8,47.0,81,0.5,29.78,0.7
111,2020-04-21,KNCYADKI6,58.3,30.0,64,1.1,29.88,0.0
112,2020-04-22,KNCYADKI6,56.1,25.0,49,0.7,30.09,0.0
113,2020-04-23,KNCYADKI6,53.6,43.0,89,0.2,30.05,0.35
114,2020-04-24,KNCYADKI6,65.5,51.0,76,0.8,29.84,0.01
115,2020-04-25,KNCYADKI6,55.7,48.0,88,1.0,29.98,0.52
116,2020-04-26,KNCYADKI6,58.5,42.0,74,0.9,29.88,0.04
117,2020-04-27,KNCYADKI6,56.7,33.0,56,2.0,30.16,0.0
118,2020-04-28,KNCYADKI6,56.9,36.0,67,0.1,30.22,0.0
119,2020-04-29,KNCYADKI6,63.9,47.0,76,1.1,30.04,0.49
120,2020-04-30,KNCYADKI6,57.0,46.0,83,0.4,29.78,2.3
121,2020-05-01,KNCYADKI6,55.1,44.0,74,1.1,30.09,0.02
122,2020-05-02,KNCYADKI6,59.1,41.0,70,0.3,30.2,0.0
123,2020-05-03,KNCYADKI6,67.8,47.0,70,0.4,30.04,0.0
124,2020-05-04,KNCYADKI6,69.0,42.0,58,0.9,29.93,0.0
125,2020-05-05,KNCYADKI6,56.9,48.0,82,0.6,29.97,0.12
126,2020-05-06,KNCYADKI6,55.0,37.0,74,1.3,29.98,0.01
127,2020-05-07,KNCYADKI6,52.1,29.0,60,0.8,30.06,0.0
128,2020-05-08,KNCYADKI6,51.3,37.0,81,0.5,30.03,0.08
129,2020-05-09,KNCYADKI6,48.7,23.0,58,1.3,30.25,0.0
130,2020-05-10,KNCYADKI6,51.6,29.0,65,0.7,30.32,0.0
131,2020-05-11,KNCYADKI6,53.0,32.0,58,1.9,30.18,0.0
132,2020-05-12,KNCYADKI6,50.1,32.0,63,0.6,30.31,0.0
133,2020-05-13,KNCYADKI6,53.4,40.0,79,0.2,30.39,0.0
134,2020-05-14,KNCYADKI6,64.2,49.0,79,0.5,30.32,0.0
135,2020-05-15,KNCYADKI6,68.2,53.0,74,0.5,30.18,0.0
136,2020-05-16,KNCYADKI6,70.7,52.0,72,0.4,30.07,0.0
137,2020-05-17,KNCYADKI6,70.4,55.0,76,0.8,30.06,0.0
138,2020-05-18,KNCYADKI6,68.0,60.0,84,1.3,29.95,0.05
139,2020-05-19,KNCYADKI6,57.3,49.0,92,3.2,30.0,0.87
140,2020-05-20,KNCYADKI6,49.8,45.0,92,3.2,30.11,1.25
141,2020-05-21,KNCYADKI6,56.9,51.0,92,2.3,30.11,1.59
142,2020-05-22,KNCYADKI6,66.3,54.0,85,0.1,30.11,0.29
143,2020-05-23,KNCYADKI6,70.6,61.0,84,0.3,30.07,0.01
144,2020-05-24,KNCYADKI6,71.2,58.0,82,0.5,30.1,0.02
145,2020-05-25,KNCYADKI6,67.0,62.0,89,0.4,30.19,0.0
146,2020-05-26,KNCYADKI6,69.7,62.0,85,0.5,30.15,0.0
147,2020-05-27,KNCYADKI6,67.0,62.0,91,1.2,30.11,1.63
148,2020-05-28,KNCYADKI6,71.8,61.0,87,0.3,30.08,0.03
149,2020-05-29,KNCYADKI6,72.7,65.0,87,0.2,30.04,0.09
150,2020-05-30,KNCYADKI6,73.3,58.0,76,0.1,30.0,0.06
151,2020-05-31,KNCYADKI6,68.6,52.0,70,0.5,30.15,0.0
152,2020-06-01,KNCYADKI6,63.4,47.0,67,0.5,30.3,0.0
153,2020-06-02,KNCYADKI6,71.3,52.0,74,0.5,30.2,0.0
154,2020-06-03,KNCYADKI6,78.1,61.0,73,0.3,30.0,0.0
155,2020-06-04,KNCYADKI6,79.0,65.0,74,0.5,29.94,0.0
156,2020-06-05,KNCYADKI6,74.6,63.0,82,0.2,29.94,0.02
157,2020-06-06,KNCYADKI6,78.4,65.0,74,0.6,29.95,0.0
158,2020-06-07,KNCYADKI6,78.9,64.0,73,0.4,29.94,0.0
159,2020-06-08,KNCYADKI6,76.2,62.0,79,0.2,30.01,0.0
160,2020-06-09,KNCYADKI6,80.1,70.0,80,0.4,29.97,0.0
161,2020-06-10,KNCYADKI6,76.8,67.0,87,0.4,29.96,0.46
162,2020-06-11,KNCYADKI6,78.1,64.0,78,0.4,30.13,0.55
163,2020-06-12,KNCYADKI6,72.8,54.0,67,0.7,30.18,0.0
164,2020-06-13,KNCYADKI6,69.4,53.0,70,0.9,30.16,0.0
165,2020-06-14,KNCYADKI6,68.7,57.0,75,0.6,30.25,0.06
166,2020-06-15,KNCYADKI6,59.3,54.0,89,1.2,30.29,0.16
167,2020-06-16,KNCYADKI6,56.7,53.0,92,1.4,30.28,1.6
168,2020-06-17,KNCYADKI6,62.2,56.0,92,0.4,30.15,0.51
169,2020-06-18,KNCYADKI6,65.6,57.0,91,0.1,30.1,0.35
170,2020-06-19,KNCYADKI6,70.6,61.0,86,0.2,30.11,0.37
171,2020-06-20,KNCYADKI6,70.9,59.0,85,0.3,30.06,0.07
172,2020-06-21,KNCYADKI6,75.7,60.0,78,0.1,30.02,0.0
173,2020-06-22,KNCYADKI6,77.9,65.0,77,0.3,29.98,0.01
174,2020-06-23,KNCYADKI6,74.8,63.0,84,0.3,29.9,0.0
175,2020-06-24,KNCYADKI6,76.0,63.0,74,0.3,29.91,0.0
176,2020-06-25,KNCYADKI6,74.2,63.0,80,0.2,30.04,0.01
177,2020-06-26,KNCYADKI6,74.5,56.0,71,0.2,30.14,0.0
178,2020-06-27,KNCYADKI6,74.8,60.0,77,0.4,30.02,0.0
179,2020-06-28,KNCYADKI6,73.6,63.0,84,0.2,29.9,0.05
180,2020-06-29,KNCYADKI6,78.1,64.0,77,0.4,29.94,0.0
181,2020-06-30,KNCYADKI6,74.1,66.0,86,0.1,29.92,0.07
182,2020-07-01,KNCYADKI6,77.0,64.0,79,0.2,29.88,0.0
183,2020-07-02,KNCYADKI6,76.8,64.0,77,0.6,29.93,0.0
184,2020-07-03,KNCYADKI6,79.0,61.0,71,0.2,29.96,0.0
185,2020-07-04,KNCYADKI6,79.3,64.0,74,0.1,29.92,0.0
186,2020-07-05,KNCYADKI6,77.5,65.0,80,0.3,30.0,0.0
187,2020-07-06,KNCYADKI6,77.7,63.0,76,0.3,30.06,0.0
188,2020-07-07,KNCYADKI6,74.6,64.0,86,0.1,30.05,0.11
189,2020-07-08,KNCYADKI6,76.8,66.0,81,0.8,29.98,0.02
190,2020-07-09,KNCYADKI6,76.9,65.0,81,0.8,29.95,0.0
191,2020-07-10,KNCYADKI6,77.4,66.0,84,0.3,29.91,1.32
192,2020-07-11,KNCYADKI6,77.6,64.0,75,0.4,29.87,0.01
193,2020-07-12,KNCYADKI6,75.6,59.0,77,0.4,29.88,0.0
194,2020-07-13,KNCYADKI6,77.4,64.0,77,0.3,29.9,0.0
195,2020-07-14,KNCYADKI6,78.3,63.0,72,0.3,30.03,0.0
196,2020-07-15,KNCYADKI6,80.1,67.0,75,0.3,30.1,0.0
197,2020-07-16,KNCYADKI6,78.7,71.0,84,0.3,30.16,0.03
198,2020-07-17,KNCYADKI6,79.5,69.0,83,0.2,30.16,0.0
199,2020-07-18,KNCYADKI6,79.4,67.0,81,0.2,30.11,0.0
200,2020-07-19,KNCYADKI6,79.9,65.0,78,0.1,30.05,0.0
201,2020-07-20,KNCYADKI6,79.1,67.0,79,0.2,30.02,0.0
202,2020-07-21,KNCYADKI6,80.5,67.0,78,0.3,30.06,0.0
203,2020-07-22,KNCYADKI6,79.8,65.0,77,0.4,30.09,0.0
204,2020-07-23,KNCYADKI6,76.4,69.0,87,0.3,30.12,1.46
205,2020-07-24,KNCYADKI6,75.8,67.0,87,0.1,30.16,2.38
206,2020-07-25,KNCYADKI6,77.4,65.0,79,0.3,30.14,0.0
207,2020-07-26,KNCYADKI6,79.5,65.0,77,0.2,30.13,0.0
208,2020-07-27,KNCYADKI6,80.1,67.0,79,0.1,30.04,0.0
209,2020-07-28,KNCYADKI6,78.8,67.0,81,0.2,29.96,0.0
210,2020-07-29,KNCYADKI6,78.4,67.0,84,0.3,30.0,0.0
211,2020-07-30,KNCYADKI6,78.8,67.0,83,0.3,29.96,0.07
212,2020-07-31,KNCYADKI6,79.6,69.0,84,0.2,29.9,0.53
213,2020-08-01,KNCYADKI6,78.2,66.0,83,0.1,29.93,0.01
214,2020-08-02,KNCYADKI6,78.3,68.0,82,0.3,29.96,0.06
215,2020-08-03,KNCYADKI6,72.4,66.0,88,0.4,30.04,1.82
216,2020-08-04,KNCYADKI6,75.1,63.0,83,0.2,29.98,0.08
217,2020-08-05,KNCYADKI6,76.1,64.0,82,0.4,30.05,3.28
218,2020-08-06,KNCYADKI6,74.1,64.0,83,0.5,30.08,0.3
219,2020-08-07,KNCYADKI6,73.2,63.0,86,0.1,30.1,0.06
220,2020-08-08,KNCYADKI6,77.8,65.0,82,0.2,30.13,0.0
221,2020-08-09,KNCYADKI6,78.7,67.0,78,0.2,30.13,0.0
222,2020-08-10,KNCYADKI6,78.4,66.0,80,0.1,30.07,0.0
223,2020-08-11,KNCYADKI6,78.4,66.0,82,0.1,29.98,0.0
224,2020-08-12,KNCYADKI6,76.6,68.0,85,0.4,30.01,0.0
225,2020-08-13,KNCYADKI6,75.2,68.0,87,0.4,30.02,0.42
226,2020-08-14,KNCYADKI6,75.2,68.0,88,0.4,29.99,1.42
227,2020-08-15,KNCYADKI6,72.0,63.0,90,0.4,29.92,0.65
228,2020-08-16,KNCYADKI6,71.3,62.0,86,0.4,29.96,0.0
229,2020-08-17,KNCYADKI6,72.3,63.0,88,0.2,29.99,0.32
230,2020-08-18,KNCYADKI6,73.6,58.0,79,0.1,29.97,0.01
231,2020-08-19,KNCYADKI6,73.9,64.0,82,0.4,29.95,0.0
232,2020-08-20,KNCYADKI6,72.1,64.0,87,0.4,30.04,0.0
233,2020-08-21,KNCYADKI6,71.6,66.0,89,0.2,30.0,1.36
234,2020-08-22,KNCYADKI6,75.2,65.0,84,0.2,30.03,0.0
235,2020-08-23,KNCYADKI6,74.4,64.0,86,0.1,30.12,0.0
