,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KNEEWING12,41.5,26.7,84,4.1,30.04
61,2020-03-02,KNEEWING12,37.2,19.5,88,7.0,30.04
62,2020-03-03,KNEEWING12,43.7,23.7,78,7.2,29.95
63,2020-03-04,KNEEWING12,48.0,25.6,66,7.8,30.04
64,2020-03-05,KNEEWING12,40.2,21.4,77,10.7,30.51
65,2020-03-06,KNEEWING12,39.0,16.9,66,5.7,30.53
66,2020-03-07,KNEEWING12,53.6,34.3,63,7.8,30.17
67,2020-03-08,KNEEWING12,54.6,34.7,75,6.9,30.03
68,2020-03-09,KNEEWING12,30.1,23.3,100,3.2,30.27
69,2020-03-10,KNEEWING12,32.9,20.9,100,3.1,30.3
70,2020-03-11,KNEEWING12,46.6,24.7,80,4.8,30.15
71,2020-03-12,KNEEWING12,45.1,21.3,80,8.0,30.21
72,2020-03-13,KNEEWING12,37.1,22.6,83,3.0,30.42
73,2020-03-14,KNEEWING12,30.8,28.8,100,5.6,30.61
74,2020-03-15,KNEEWING12,30.0,27.1,100,5.6,30.62
75,2020-03-16,KNEEWING12,34.6,30.3,100,3.6,30.37
76,2020-03-17,KNEEWING12,35.5,24.1,100,4.5,30.38
77,2020-03-18,KNEEWING12,44.2,38.6,100,2.1,30.03
78,2020-03-19,KNEEWING12,37.3,18.6,100,4.8,30.35
79,2020-03-20,KNEEWING12,19.6,8.5,97,4.8,30.71
80,2020-03-21,KNEEWING12,30.6,18.5,100,6.0,30.61
81,2020-03-22,KNEEWING12,38.7,29.4,100,5.1,30.21
82,2020-03-23,KNEEWING12,41.7,37.7,100,2.9,30.16
83,2020-03-24,KNEEWING12,50.6,41.3,97,6.4,30.01
84,2020-03-25,KNEEWING12,43.0,36.9,100,1.7,29.93
85,2020-03-26,KNEEWING12,40.7,34.0,100,3.5,29.95
86,2020-03-27,KNEEWING12,42.4,39.7,100,1.8,29.88
87,2020-03-28,KNEEWING12,40.8,37.6,100,5.7,29.82
88,2020-03-29,KNEEWING12,48.1,33.3,85,5.0,30.18
89,2020-03-30,KNEEWING12,49.0,30.7,91,4.3,30.22
90,2020-03-31,KNEEWING12,55.1,44.3,97,5.3,30.13
91,2020-04-01,KNEEWING12,60.2,40.1,75,6.9,29.84
92,2020-04-02,KNEEWING12,24.7,17.4,100,8.7,30.26
93,2020-04-03,KNEEWING12,22.9,15.4,100,7.4,30.34
94,2020-04-04,KNEEWING12,32.1,13.5,90,4.0,30.34
95,2020-04-05,KNEEWING12,44.1,26.7,96,6.2,30.09
96,2020-04-06,KNEEWING12,58.9,45.5,100,4.7,29.91
97,2020-04-07,KNEEWING12,62.2,35.2,77,4.2,29.82
98,2020-04-08,KNEEWING12,49.5,32.5,90,3.6,30.14
99,2020-04-09,KNEEWING12,38.8,16.7,74,7.8,30.28
100,2020-04-10,KNEEWING12,41.4,17.8,76,6.8,30.26
101,2020-04-11,KNEEWING12,50.5,38.8,92,3.2,29.78
102,2020-04-12,KNEEWING12,29.8,23.6,100,6.8,30.16
103,2020-04-13,KNEEWING12,27.7,16.3,98,8.8,30.32
104,2020-04-14,KNEEWING12,30.1,16.5,96,5.3,30.33
105,2020-04-15,KNEEWING12,35.4,18.3,91,3.2,30.25
106,2020-04-16,KNEEWING12,33.2,29.4,100,3.6,30.32
107,2020-04-17,KNEEWING12,39.4,19.6,91,6.0,30.29
108,2020-04-18,KNEEWING12,54.9,36.8,75,7.1,29.96
109,2020-04-19,KNEEWING12,48.1,33.2,100,2.2,30.02
110,2020-04-20,KNEEWING12,52.7,32.9,81,6.8,29.95
111,2020-04-21,KNEEWING12,56.7,29.6,75,4.3,30.07
112,2020-04-22,KNEEWING12,66.2,42.7,79,7.1,29.83
113,2020-04-23,KNEEWING12,58.2,36.8,78,3.3,29.8
114,2020-04-24,KNEEWING12,54.9,40.6,99,2.3,30.05
115,2020-04-25,KNEEWING12,52.3,37.2,98,4.8,30.17
116,2020-04-26,KNEEWING12,55.6,32.7,77,4.7,30.18
117,2020-04-27,KNEEWING12,67.0,41.6,71,3.6,29.95
118,2020-04-28,KNEEWING12,59.4,47.7,100,9.9,29.98
119,2020-04-29,KNEEWING12,52.4,42.5,100,7.3,30.2
120,2020-04-30,KNEEWING12,58.7,33.4,86,3.5,30.16
121,2020-05-01,KNEEWING12,72.5,57.5,93,6.6,29.98
122,2020-05-02,KNEEWING12,56.9,50.8,100,2.9,30.18
123,2020-05-03,KNEEWING12,63.3,48.7,94,2.6,30.13
124,2020-05-04,KNEEWING12,54.3,45.0,100,3.3,30.08
125,2020-05-05,KNEEWING12,52.7,41.4,100,6.3,30.27
126,2020-05-06,KNEEWING12,50.6,38.5,100,3.3,30.4
127,2020-05-07,KNEEWING12,43.9,35.4,100,4.9,30.25
128,2020-05-08,KNEEWING12,47.1,31.0,90,3.3,30.41
129,2020-05-09,KNEEWING12,44.9,35.6,100,9.1,30.35
130,2020-05-10,KNEEWING12,43.3,29.1,97,5.7,30.45
131,2020-05-11,KNEEWING12,42.5,31.8,100,1.4,30.46
132,2020-05-12,KNEEWING12,46.4,40.6,100,4.8,30.3
133,2020-05-13,KNEEWING12,49.7,44.4,100,4.4,30.07
134,2020-05-14,KNEEWING12,61.0,41.8,88,2.2,29.96
135,2020-05-15,KNEEWING12,58.7,35.4,53,2.9,30.11
136,2020-05-16,KNEEWING12,54.7,36.9,73,1.8,30.06
137,2020-05-17,KNEEWING12,54.2,44.4,77,3.2,30.12
138,2020-05-18,KNEEWING12,59.5,42.5,62,3.9,30.14
139,2020-05-19,KNEEWING12,60.3,44.9,64,4.4,30.1
140,2020-05-20,KNEEWING12,60.1,46.2,73,7.2,30.09
141,2020-05-21,KNEEWING12,60.8,53.1,82,3.3,30.04
142,2020-05-22,KNEEWING12,60.3,56.4,91,1.8,29.97
143,2020-05-23,KNEEWING12,65.2,51.0,78,4.0,29.95
144,2020-05-24,KNEEWING12,64.7,52.5,73,4.4,29.98
145,2020-05-25,KNEEWING12,55.2,48.9,89,3.5,30.06
146,2020-05-26,KNEEWING12,61.7,47.6,74,2.2,30.04
147,2020-05-27,KNEEWING12,67.2,45.1,60,1.9,30.04
148,2020-05-28,KNEEWING12,64.9,36.9,61,3.0,30.24
149,2020-05-29,KNEEWING12,63.9,40.0,52,1.7,30.32
150,2020-05-30,KNEEWING12,60.2,44.1,71,4.3,30.34
151,2020-05-31,KNEEWING12,70.0,50.4,62,6.5,30.28
152,2020-06-01,KNEEWING12,82.3,55.0,47,6.3,29.98
153,2020-06-02,KNEEWING12,82.6,54.2,50,4.3,30.03
154,2020-06-03,KNEEWING12,76.7,50.3,52,2.2,30.04
155,2020-06-04,KNEEWING12,77.8,54.8,59,2.8,29.92
156,2020-06-05,KNEEWING12,81.0,46.8,46,4.2,30.04
157,2020-06-06,KNEEWING12,81.2,51.8,53,7.9,30.03
158,2020-06-07,KNEEWING12,86.7,52.7,45,10.2,29.81
159,2020-06-08,KNEEWING12,83.4,54.9,50,7.9,29.73
160,2020-06-09,KNEEWING12,60.9,49.1,88,5.7,29.84
161,2020-06-10,KNEEWING12,63.9,41.6,58,6.0,30.13
162,2020-06-11,KNEEWING12,73.6,45.2,49,1.8,30.33
163,2020-06-12,KNEEWING12,78.0,38.0,48,2.2,30.35
164,2020-06-13,KNEEWING12,81.4,49.2,47,5.9,30.21
165,2020-06-14,KNEEWING12,82.3,52.3,43,7.2,30.0
166,2020-06-15,KNEEWING12,84.2,44.9,36,5.9,30.08
167,2020-06-16,KNEEWING12,82.9,51.3,43,7.4,30.08
168,2020-06-17,KNEEWING12,84.8,57.8,47,8.0,29.94
169,2020-06-18,KNEEWING12,67.6,53.9,71,2.4,30.13
170,2020-06-19,KNEEWING12,66.8,49.5,68,2.1,30.18
171,2020-06-20,KNEEWING12,73.7,51.5,62,2.2,30.1
172,2020-06-21,KNEEWING12,74.3,52.7,67,3.0,29.96
