,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,Precipin
60,2020-03-01,KNESCHUY8,42.9,26.0,66.0,6.3,28.47,0.0
61,2020-03-02,KNESCHUY8,36.8,23.0,75.0,5.4,28.47,0.02
62,2020-03-03,KNESCHUY8,43.4,25.0,61.0,4.1,28.38,0.0
63,2020-03-04,KNESCHUY8,46.7,22.0,58.0,8.0,28.51,0.0
64,2020-03-05,KNESCHUY8,42.2,23.0,61.0,3.3,28.94,0.0
65,2020-03-06,KNESCHUY8,35.3,15.0,63.0,5.5,29.01,0.0
66,2020-03-07,KNESCHUY8,54.8,22.0,42.0,15.6,28.72,0.0
67,2020-03-08,KNESCHUY8,57.6,30.0,55.0,13.5,28.45,0.0
68,2020-03-09,KNESCHUY8,32.8,26.0,91.0,3.7,28.72,0.45
69,2020-03-10,KNESCHUY8,31.2,22.0,94.0,2.4,28.76,0.02
70,2020-03-11,KNESCHUY8,43.7,30.0,87.0,5.6,28.6,0.01
71,2020-03-12,KNESCHUY8,49.5,22.0,71.0,7.0,28.64,0.0
72,2020-03-13,KNESCHUY8,36.2,21.0,69.0,2.8,28.88,0.0
73,2020-03-14,KNESCHUY8,31.1,28.0,95.0,7.9,29.04,0.19
74,2020-03-15,KNESCHUY8,29.9,26.0,91.0,6.8,29.07,0.19
75,2020-03-16,KNESCHUY8,35.7,30.0,93.0,3.1,28.82,0.01
76,2020-03-17,KNESCHUY8,36.5,24.0,86.0,3.8,28.82,0.17
77,2020-03-18,KNESCHUY8,45.2,39.0,94.0,4.0,28.52,0.17
78,2020-03-19,KNESCHUY8,43.0,26.0,97.0,10.4,28.61,0.93
79,2020-03-20,KNESCHUY8,20.3,10.0,82.0,4.0,29.11,0.93
80,2020-03-21,KNESCHUY8,30.6,16.0,71.0,6.4,29.05,0.0
81,2020-03-22,KNESCHUY8,38.4,26.0,85.0,6.4,28.72,0.0
82,2020-03-23,KNESCHUY8,43.2,38.0,93.0,4.6,28.61,0.0
83,2020-03-24,KNESCHUY8,47.9,41.0,89.0,8.3,28.48,0.0
84,2020-03-25,KNESCHUY8,47.7,37.0,92.0,5.8,28.34,0.0
85,2020-03-26,KNESCHUY8,42.0,35.0,89.0,10.7,28.36,0.0
86,2020-03-27,KNESCHUY8,44.3,41.0,94.0,6.3,28.31,0.01
87,2020-03-28,KNESCHUY8,43.8,36.0,97.0,6.4,28.2,0.43
88,2020-03-29,KNESCHUY8,48.3,30.0,69.0,2.4,28.63,0.43
89,2020-03-30,KNESCHUY8,49.5,28.0,63.0,5.2,28.7,0.0
90,2020-03-31,KNESCHUY8,54.7,34.0,63.0,4.5,28.59,0.0
91,2020-04-01,KNESCHUY8,60.2,42.0,62.0,10.1,28.35,0.0
92,2020-04-02,KNESCHUY8,36.8,20.0,85.0,3.9,28.62,0.0
93,2020-04-03,KNESCHUY8,26.0,17.0,84.0,3.6,28.78,0.01
94,2020-04-04,KNESCHUY8,33.7,20.0,73.0,5.8,28.79,0.01
95,2020-04-05,KNESCHUY8,43.6,23.0,73.0,6.8,28.6,0.0
96,2020-04-06,KNESCHUY8,57.6,44.0,80.0,7.1,28.43,0.0
97,2020-04-07,KNESCHUY8,65.8,36.0,57.0,2.8,28.27,0.0
98,2020-04-08,KNESCHUY8,53.2,25.0,55.0,5.0,28.56,0.0
99,2020-04-09,KNESCHUY8,39.4,16.0,54.0,3.6,28.73,0.0
100,2020-04-10,KNESCHUY8,38.0,13.0,54.0,7.6,28.72,0.0
101,2020-04-11,KNESCHUY8,51.5,27.0,56.0,6.2,28.28,0.0
102,2020-04-12,KNESCHUY8,32.3,20.0,84.0,11.5,28.56,0.01
103,2020-04-13,KNESCHUY8,28.1,15.0,69.0,2.3,28.76,0.02
104,2020-04-14,KNESCHUY8,31.3,14.0,62.0,5.8,28.77,0.02
105,2020-04-15,KNESCHUY8,35.5,13.0,61.0,4.5,28.68,0.0
106,2020-04-16,KNESCHUY8,32.6,20.0,83.0,8.4,28.77,0.02
107,2020-04-17,KNESCHUY8,33.1,15.0,86.0,5.5,28.72,0.05
108,2020-04-18,KNESCHUY8,51.5,29.0,60.0,10.8,28.49,0.05
109,2020-04-19,KNESCHUY8,49.6,32.0,62.0,5.2,28.46,0.0
110,2020-04-20,KNESCHUY8,54.6,32.0,54.0,2.3,28.4,0.0
111,2020-04-21,KNESCHUY8,54.4,27.0,53.0,3.5,28.55,0.0
112,2020-04-22,KNESCHUY8,63.7,39.0,56.0,7.7,28.35,0.0
113,2020-04-23,KNESCHUY8,62.5,36.0,54.0,2.9,28.25,0.0
114,2020-04-24,KNESCHUY8,54.0,38.0,77.0,5.1,28.48,0.0
115,2020-04-25,KNESCHUY8,53.1,34.0,69.0,1.6,28.61,0.0
116,2020-04-26,KNESCHUY8,54.2,31.0,60.0,5.1,28.64,0.0
117,2020-04-27,KNESCHUY8,67.0,41.0,52.0,4.7,28.48,0.0
118,2020-04-28,KNESCHUY8,62.0,42.0,69.0,5.0,28.42,0.02
119,2020-04-29,KNESCHUY8,55.8,43.0,73.0,2.9,28.57,0.02
120,2020-04-30,KNESCHUY8,58.3,36.0,60.0,3.5,28.58,0.0
121,2020-05-01,KNESCHUY8,72.0,42.0,47.0,6.4,28.39,0.0
122,2020-05-02,KNESCHUY8,60.2,48.0,71.0,3.0,28.59,0.13
123,2020-05-03,KNESCHUY8,63.0,37.0,58.0,2.5,28.57,0.13
124,2020-05-04,KNESCHUY8,55.6,39.0,79.0,4.1,28.52,0.35
125,2020-05-05,KNESCHUY8,53.5,40.0,77.0,3.6,28.69,0.35
126,2020-05-06,KNESCHUY8,50.4,38.0,76.0,1.6,28.81,0.03
127,2020-05-07,KNESCHUY8,45.7,34.0,87.0,5.3,28.7,0.07
128,2020-05-08,KNESCHUY8,46.6,29.0,65.0,4.3,28.82,0.1
129,2020-05-09,KNESCHUY8,46.8,29.0,71.0,5.1,28.74,0.07
130,2020-05-10,KNESCHUY8,44.2,26.0,62.0,3.1,28.86,0.07
131,2020-05-11,KNESCHUY8,42.8,26.0,62.0,2.4,28.88,0.0
132,2020-05-12,KNESCHUY8,48.8,27.0,55.0,5.8,28.74,0.0
133,2020-05-13,KNESCHUY8,49.8,34.0,88.0,6.6,28.55,0.03
134,2020-05-14,KNESCHUY8,62.1,49.0,78.0,3.8,28.39,0.04
135,2020-05-15,KNESCHUY8,64.7,41.0,52.0,5.5,28.54,0.0
136,2020-05-16,KNESCHUY8,57.3,39.0,77.0,4.0,28.49,0.51
137,2020-05-17,KNESCHUY8,56.2,49.0,86.0,4.1,28.5,0.51
138,2020-05-18,KNESCHUY8,55.0,47.0,82.0,7.7,28.54,0.0
139,2020-05-19,KNESCHUY8,58.3,51.0,83.0,5.0,28.54,0.0
140,2020-05-20,KNESCHUY8,61.2,49.0,83.0,7.5,28.55,0.0
141,2020-05-21,KNESCHUY8,63.4,58.0,86.0,7.6,28.51,0.06
142,2020-05-22,KNESCHUY8,60.4,58.0,97.0,5.4,28.44,0.34
143,2020-05-23,KNESCHUY8,66.7,58.0,87.0,3.4,28.39,0.37
144,2020-05-24,KNESCHUY8,65.6,58.0,88.0,7.0,28.31,0.08
145,2020-05-25,KNESCHUY8,61.1,59.0,93.0,2.7,28.43,0.17
146,2020-05-26,KNESCHUY8,62.5,55.0,89.0,2.2,28.4,0.05
147,2020-05-27,KNESCHUY8,65.7,53.0,81.0,5.1,28.45,0.05
148,2020-05-28,KNESCHUY8,67.1,44.0,67.0,5.0,28.64,0.0
149,2020-05-29,KNESCHUY8,64.1,41.0,58.0,1.9,28.72,0.0
150,2020-05-30,KNESCHUY8,57.4,47.0,78.0,1.1,28.79,0.59
151,2020-05-31,KNESCHUY8,70.1,63.0,79.0,5.0,28.73,0.59
152,2020-06-01,KNESCHUY8,80.0,62.0,61.0,15.1,28.52,0.0
153,2020-06-02,KNESCHUY8,82.2,60.0,60.0,12.0,28.41,0.0
154,2020-06-03,KNESCHUY8,78.6,54.0,55.0,4.8,28.45,0.1
155,2020-06-04,KNESCHUY8,76.5,59.0,70.0,4.8,28.34,0.1
156,2020-06-05,KNESCHUY8,89.9,64.0,45.0,7.3,28.47,0.0
157,2020-06-06,KNESCHUY8,76.6,64.0,79.0,6.8,28.49,0.0
158,2020-06-07,KNESCHUY8,,,,,28.35,0.0
159,2020-06-08,KNESCHUY8,,,,,28.27,0.0
160,2020-06-09,KNESCHUY8,,,,,28.16,0.0
161,2020-06-10,KNESCHUY8,58.7,51.0,77.0,4.4,28.58,0.0
162,2020-06-11,KNESCHUY8,71.0,49.0,55.0,4.1,28.76,0.0
163,2020-06-12,KNESCHUY8,75.5,53.0,53.0,2.8,28.78,0.0
164,2020-06-13,KNESCHUY8,,,,,28.67,0.0
165,2020-06-14,KNESCHUY8,,,,,28.54,0.0
166,2020-06-15,KNESCHUY8,84.7,59.0,48.0,11.7,28.61,0.0
167,2020-06-16,KNESCHUY8,80.5,62.0,59.0,11.3,28.61,0.0
168,2020-06-17,KNESCHUY8,82.4,65.0,63.0,13.0,28.48,0.0
169,2020-06-18,KNESCHUY8,75.7,60.0,74.0,7.6,28.48,0.3
170,2020-06-19,KNESCHUY8,70.6,60.0,77.0,4.7,28.59,0.0
171,2020-06-20,KNESCHUY8,69.5,59.0,83.0,2.0,28.54,0.37
172,2020-06-21,KNESCHUY8,72.3,60.0,81.0,4.8,28.4,0.37
173,2020-06-22,KNESCHUY8,69.3,58.0,84.0,2.5,28.5,0.26
174,2020-06-23,KNESCHUY8,67.4,54.0,73.0,2.3,28.54,0.26
175,2020-06-24,KNESCHUY8,68.6,52.0,72.0,1.2,28.51,0.01
176,2020-06-25,KNESCHUY8,76.5,58.0,72.0,5.9,28.44,0.0
177,2020-06-26,KNESCHUY8,78.4,67.0,75.0,3.3,28.43,0.0
178,2020-06-27,KNESCHUY8,77.0,67.0,79.0,3.9,28.4,0.0
179,2020-06-28,KNESCHUY8,76.7,65.0,84.0,6.9,28.24,0.07
180,2020-06-29,KNESCHUY8,79.7,73.0,84.0,8.9,28.21,0.07
181,2020-06-30,KNESCHUY8,79.4,62.0,87.0,8.3,28.36,0.24
182,2020-07-01,KNESCHUY8,76.2,63.0,78.0,2.2,28.49,0.31
183,2020-07-02,KNESCHUY8,76.9,67.0,86.0,3.6,28.57,0.0
184,2020-07-03,KNESCHUY8,76.8,67.0,86.0,3.2,28.6,0.07
185,2020-07-04,KNESCHUY8,73.1,66.0,89.0,0.9,28.6,0.07
186,2020-07-05,KNESCHUY8,74.7,65.0,86.0,2.8,28.55,0.0
187,2020-07-06,KNESCHUY8,77.5,63.0,79.0,3.8,28.57,0.13
188,2020-07-07,KNESCHUY8,78.6,64.0,79.0,4.9,28.57,0.13
189,2020-07-08,KNESCHUY8,81.5,68.0,75.0,7.4,28.41,0.0
190,2020-07-09,KNESCHUY8,74.6,63.0,79.0,2.9,28.51,0.16
191,2020-07-10,KNESCHUY8,73.0,62.0,85.0,3.5,28.56,0.16
192,2020-07-11,KNESCHUY8,75.8,60.0,73.0,3.0,28.65,0.11
193,2020-07-12,KNESCHUY8,71.2,57.0,78.0,1.6,28.58,0.01
194,2020-07-13,KNESCHUY8,67.7,63.0,89.0,3.1,28.46,0.0
195,2020-07-14,KNESCHUY8,73.8,61.0,76.0,8.0,28.53,0.0
196,2020-07-15,KNESCHUY8,68.0,59.0,84.0,5.1,28.61,0.15
197,2020-07-16,KNESCHUY8,65.6,58.0,95.0,4.2,28.58,0.16
198,2020-07-17,KNESCHUY8,80.8,69.0,86.0,6.7,28.55,0.01
199,2020-07-18,KNESCHUY8,82.7,72.0,79.0,7.0,28.41,0.0
200,2020-07-19,KNESCHUY8,76.8,65.0,76.0,2.9,28.54,0.0
201,2020-07-20,KNESCHUY8,72.1,63.0,85.0,3.4,28.59,0.45
202,2020-07-21,KNESCHUY8,73.1,68.0,90.0,2.0,28.53,0.51
203,2020-07-22,KNESCHUY8,77.6,68.0,77.0,3.0,28.58,0.01
204,2020-07-23,KNESCHUY8,77.8,66.0,85.0,5.3,28.56,0.01
205,2020-07-24,KNESCHUY8,81.4,73.0,85.0,7.0,28.55,0.01
206,2020-07-25,KNESCHUY8,82.5,73.0,81.0,8.7,28.51,0.0
207,2020-07-26,KNESCHUY8,76.1,69.0,88.0,4.1,28.59,0.01
208,2020-07-27,KNESCHUY8,75.7,62.0,74.0,3.6,28.64,0.01
209,2020-07-28,KNESCHUY8,75.1,61.0,82.0,6.0,28.56,0.0
210,2020-07-29,KNESCHUY8,73.0,65.0,93.0,1.6,28.46,0.0
211,2020-07-30,KNESCHUY8,68.5,60.0,89.0,5.7,28.58,0.0
212,2020-07-31,KNESCHUY8,69.3,56.0,77.0,2.4,28.59,0.0
213,2020-08-01,KNESCHUY8,70.0,54.0,82.0,3.1,28.55,0.0
214,2020-08-02,KNESCHUY8,67.2,55.0,78.0,4.2,28.64,0.0
215,2020-08-03,KNESCHUY8,65.0,53.0,76.0,2.3,28.71,0.0
216,2020-08-04,KNESCHUY8,64.2,45.0,75.0,3.3,28.68,0.0
217,2020-08-05,KNESCHUY8,68.4,58.0,81.0,6.4,28.62,0.22
218,2020-08-06,KNESCHUY8,72.7,60.0,85.0,4.1,28.5,0.01
219,2020-08-07,KNESCHUY8,74.9,68.0,90.0,6.1,28.47,0.01
220,2020-08-08,KNESCHUY8,77.9,69.0,89.0,6.2,28.46,0.0
221,2020-08-09,KNESCHUY8,80.2,68.0,83.0,5.3,28.47,0.04
222,2020-08-10,KNESCHUY8,73.1,59.0,81.0,5.0,28.55,0.04
223,2020-08-11,KNESCHUY8,72.5,55.0,84.0,3.7,28.53,0.0
224,2020-08-12,KNESCHUY8,77.5,69.0,85.0,6.6,28.5,0.0
225,2020-08-13,KNESCHUY8,78.1,67.0,85.0,5.4,28.52,0.0
226,2020-08-14,KNESCHUY8,76.6,65.0,87.0,4.4,28.52,0.01
227,2020-08-15,KNESCHUY8,70.3,55.0,74.0,2.4,28.62,0.01
228,2020-08-16,KNESCHUY8,69.3,56.0,80.0,4.5,28.64,0.0
229,2020-08-17,KNESCHUY8,71.1,57.0,80.0,2.1,28.72,0.0
230,2020-08-18,KNESCHUY8,67.6,54.0,86.0,2.1,28.69,0.01
231,2020-08-19,KNESCHUY8,69.8,54.0,81.0,4.1,28.61,0.01
232,2020-08-20,KNESCHUY8,72.6,59.0,80.0,6.8,28.49,0.0
233,2020-08-21,KNESCHUY8,76.9,61.0,78.0,5.3,28.39,0.0
234,2020-08-22,KNESCHUY8,76.3,63.0,83.0,4.2,28.42,0.0
235,2020-08-23,KNESCHUY8,79.0,65.0,80.0,2.6,28.49,0.0
