,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KNVFALLO33,33.9,17.0,71,2.0,30.26
61,2020-03-02,KNVFALLO33,34.2,9.3,50,0.8,30.41
62,2020-03-03,KNVFALLO33,41.3,16.9,58,0.3,30.42
63,2020-03-04,KNVFALLO33,47.2,23.0,56,0.4,30.32
64,2020-03-05,KNVFALLO33,50.1,21.6,46,0.6,30.31
65,2020-03-06,KNVFALLO33,52.6,23.2,40,0.8,30.06
66,2020-03-07,KNVFALLO33,47.7,21.5,43,3.2,29.97
67,2020-03-08,KNVFALLO33,41.9,19.3,55,0.6,30.06
68,2020-03-09,KNVFALLO33,47.5,26.0,50,1.1,30.11
69,2020-03-10,KNVFALLO33,48.5,22.4,47,0.6,30.28
70,2020-03-11,KNVFALLO33,51.0,25.6,48,0.3,30.1
71,2020-03-12,KNVFALLO33,48.1,14.6,43,2.0,30.17
72,2020-03-13,KNVFALLO33,57.3,13.2,29,4.1,29.9
73,2020-03-14,KNVFALLO33,51.5,16.0,41,6.1,29.8
74,2020-03-15,KNVFALLO33,42.3,20.7,59,2.7,29.95
75,2020-03-16,KNVFALLO33,44.1,23.3,58,1.1,29.95
76,2020-03-17,KNVFALLO33,38.5,15.3,63,3.1,29.91
77,2020-03-18,KNVFALLO33,35.0,20.4,69,0.8,29.95
78,2020-03-19,KNVFALLO33,35.7,24.2,78,0.7,30.22
79,2020-03-20,KNVFALLO33,39.2,21.9,70,0.3,30.31
80,2020-03-21,KNVFALLO33,42.2,24.3,66,0.8,30.31
81,2020-03-22,KNVFALLO33,44.5,22.9,61,0.4,30.29
82,2020-03-23,KNVFALLO33,45.9,25.2,55,3.1,30.01
83,2020-03-24,KNVFALLO33,42.8,20.3,54,3.7,30.07
84,2020-03-25,KNVFALLO33,37.0,18.0,62,1.7,30.05
85,2020-03-26,KNVFALLO33,36.2,10.6,49,1.7,30.05
86,2020-03-27,KNVFALLO33,38.2,11.8,47,2.2,30.19
87,2020-03-28,KNVFALLO33,43.2,18.2,51,1.3,30.25
88,2020-03-29,KNVFALLO33,44.5,27.4,68,1.1,30.1
89,2020-03-30,KNVFALLO33,47.2,23.8,56,2.2,30.25
90,2020-03-31,KNVFALLO33,54.3,30.2,46,3.5,30.15
91,2020-04-01,KNVFALLO33,44.7,12.1,48,2.2,30.05
92,2020-04-02,KNVFALLO33,38.2,8.5,37,0.7,30.21
93,2020-04-03,KNVFALLO33,42.3,9.3,37,0.8,30.18
94,2020-04-04,KNVFALLO33,46.9,16.3,42,1.7,29.95
95,2020-04-05,KNVFALLO33,45.0,19.3,51,2.0,29.69
96,2020-04-06,KNVFALLO33,43.3,32.1,75,1.1,29.95
97,2020-04-07,KNVFALLO33,47.7,32.2,69,0.5,30.07
98,2020-04-08,KNVFALLO33,51.8,29.0,58,0.8,30.09
99,2020-04-09,KNVFALLO33,48.5,36.8,73,1.3,30.09
100,2020-04-10,KNVFALLO33,48.1,30.9,67,0.3,30.16
101,2020-04-11,KNVFALLO33,54.6,28.9,51,2.1,30.04
102,2020-04-12,KNVFALLO33,51.0,17.0,33,2.0,30.06
103,2020-04-13,KNVFALLO33,44.1,5.4,34,2.1,30.38
104,2020-04-14,KNVFALLO33,45.8,9.9,33,0.4,30.52
105,2020-04-15,KNVFALLO33,55.1,16.1,35,2.5,30.24
106,2020-04-16,KNVFALLO33,51.6,11.8,35,2.2,30.05
107,2020-04-17,KNVFALLO33,51.3,12.6,36,0.8,30.14
108,2020-04-18,KNVFALLO33,56.6,28.5,47,2.5,29.95
109,2020-04-19,KNVFALLO33,53.2,27.0,45,1.8,30.02
110,2020-04-20,KNVFALLO33,53.8,24.1,45,1.0,30.11
111,2020-04-21,KNVFALLO33,59.6,26.1,41,2.6,30.07
112,2020-04-22,KNVFALLO33,62.3,33.3,44,3.7,30.26
113,2020-04-23,KNVFALLO33,62.7,20.9,38,3.3,30.14
114,2020-04-24,KNVFALLO33,59.8,25.0,38,1.2,30.24
115,2020-04-25,KNVFALLO33,64.3,34.5,41,0.5,30.14
116,2020-04-26,KNVFALLO33,67.2,25.6,34,1.5,30.05
117,2020-04-27,KNVFALLO33,66.3,27.7,35,0.7,30.04
118,2020-04-28,KNVFALLO33,68.0,37.9,43,0.5,30.17
119,2020-04-29,KNVFALLO33,69.0,38.4,42,1.3,30.01
120,2020-04-30,KNVFALLO33,68.3,27.1,34,3.8,29.91
121,2020-05-01,KNVFALLO33,62.8,29.2,36,1.0,30.02
122,2020-05-02,KNVFALLO33,61.5,27.0,36,3.5,29.99
123,2020-05-03,KNVFALLO33,59.4,18.7,33,1.5,30.11
124,2020-05-04,KNVFALLO33,57.2,18.9,32,0.4,30.28
125,2020-05-05,KNVFALLO33,62.7,10.9,28,1.6,30.18
126,2020-05-06,KNVFALLO33,62.6,16.3,25,1.3,30.15
127,2020-05-07,KNVFALLO33,60.4,12.9,23,0.5,30.28
128,2020-05-08,KNVFALLO33,63.4,17.2,25,0.5,30.13
129,2020-05-09,KNVFALLO33,67.6,21.9,28,0.4,30.07
130,2020-05-10,KNVFALLO33,71.7,32.0,31,1.1,29.84
131,2020-05-11,KNVFALLO33,64.1,23.4,34,3.4,29.86
132,2020-05-12,KNVFALLO33,58.1,24.2,36,3.6,29.84
133,2020-05-13,KNVFALLO33,56.5,22.9,38,2.7,29.91
134,2020-05-14,KNVFALLO33,55.8,32.2,47,2.1,30.01
135,2020-05-15,KNVFALLO33,56.8,32.0,50,0.7,30.11
136,2020-05-16,KNVFALLO33,65.7,29.4,38,1.6,29.99
137,2020-05-17,KNVFALLO33,69.0,26.6,31,3.5,29.63
138,2020-05-18,KNVFALLO33,56.8,26.0,44,3.1,29.82
139,2020-05-19,KNVFALLO33,49.3,27.8,68,1.6,29.92
140,2020-05-20,KNVFALLO33,56.0,32.0,51,3.1,30.01
141,2020-05-21,KNVFALLO33,60.8,26.0,44,2.5,30.09
142,2020-05-22,KNVFALLO33,55.3,17.4,41,1.4,30.05
143,2020-05-23,KNVFALLO33,52.8,20.7,41,0.4,30.18
144,2020-05-24,KNVFALLO33,60.8,27.0,40,0.3,30.15
145,2020-05-25,KNVFALLO33,67.6,31.2,38,0.3,30.1
146,2020-05-26,KNVFALLO33,76.0,35.3,36,1.2,29.95
147,2020-05-27,KNVFALLO33,79.6,42.1,36,0.7,29.95
148,2020-05-28,KNVFALLO33,81.1,28.7,25,0.4,29.95
149,2020-05-29,KNVFALLO33,80.0,31.6,25,0.3,29.92
150,2020-05-30,KNVFALLO33,69.9,31.3,34,3.7,29.88
151,2020-05-31,KNVFALLO33,63.0,33.7,46,1.0,30.0
152,2020-06-01,KNVFALLO33,68.2,39.9,42,0.7,29.95
153,2020-06-02,KNVFALLO33,74.0,39.3,37,0.5,30.04
154,2020-06-03,KNVFALLO33,78.0,35.3,30,2.0,29.99
155,2020-06-04,KNVFALLO33,77.2,25.7,27,1.6,29.92
156,2020-06-05,KNVFALLO33,74.8,32.6,30,2.4,29.68
157,2020-06-06,KNVFALLO33,63.5,21.6,35,4.9,29.78
158,2020-06-07,KNVFALLO33,48.5,15.8,44,4.4,30.1
159,2020-06-08,KNVFALLO33,53.3,26.0,45,0.7,30.28
160,2020-06-09,KNVFALLO33,60.6,23.4,39,0.4,30.28
161,2020-06-10,KNVFALLO33,72.1,32.8,34,1.0,30.11
162,2020-06-11,KNVFALLO33,75.1,35.2,32,1.4,30.03
163,2020-06-12,KNVFALLO33,68.0,32.3,39,3.3,29.91
164,2020-06-13,KNVFALLO33,59.3,14.1,35,3.4,29.94
165,2020-06-14,KNVFALLO33,62.2,32.8,43,0.3,30.05
166,2020-06-15,KNVFALLO33,66.8,32.9,41,3.3,29.95
167,2020-06-16,KNVFALLO33,65.0,26.3,38,3.0,29.97
168,2020-06-17,KNVFALLO33,59.7,26.0,38,0.7,30.18
169,2020-06-18,KNVFALLO33,65.7,26.4,34,0.5,30.13
170,2020-06-19,KNVFALLO33,70.0,31.0,34,0.4,30.04
171,2020-06-20,KNVFALLO33,76.3,33.7,32,1.2,29.94
172,2020-06-21,KNVFALLO33,78.7,35.8,30,0.7,29.92
173,2020-06-22,KNVFALLO33,81.7,40.3,31,0.4,29.91
174,2020-06-23,KNVFALLO33,83.1,38.2,29,1.1,29.91
175,2020-06-24,KNVFALLO33,83.4,42.4,31,1.8,29.76
176,2020-06-25,KNVFALLO33,78.4,46.6,42,1.1,29.78
177,2020-06-26,KNVFALLO33,79.0,31.0,38,0.3,29.96
178,2020-06-27,KNVFALLO33,82.0,28.9,28,3.5,29.74
179,2020-06-28,KNVFALLO33,69.6,26.2,30,3.6,29.71
180,2020-06-29,KNVFALLO33,60.4,28.7,40,1.1,29.9
181,2020-06-30,KNVFALLO33,69.4,31.7,35,1.8,29.96
182,2020-07-01,KNVFALLO33,71.2,35.2,36,1.4,29.78
183,2020-07-02,KNVFALLO33,74.7,29.0,30,0.8,29.86
184,2020-07-03,KNVFALLO33,77.1,25.5,31,1.4,29.89
185,2020-07-04,KNVFALLO33,75.0,25.7,27,1.3,30.02
186,2020-07-05,KNVFALLO33,76.1,19.2,28,1.2,30.02
187,2020-07-06,KNVFALLO33,76.1,18.8,27,2.0,29.92
188,2020-07-07,KNVFALLO33,74.1,22.2,24,0.7,29.94
189,2020-07-08,KNVFALLO33,76.6,31.0,26,1.0,29.86
190,2020-07-09,KNVFALLO33,77.9,25.6,27,1.9,29.85
191,2020-07-10,KNVFALLO33,76.9,34.6,32,0.2,30.05
192,2020-07-11,KNVFALLO33,83.9,28.5,22,1.8,29.96
193,2020-07-12,KNVFALLO33,81.3,29.6,27,1.5,29.99
194,2020-07-13,KNVFALLO33,79.9,30.0,26,1.1,29.86
195,2020-07-14,KNVFALLO33,81.0,36.1,27,0.4,29.87
