,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,Precipin
60,2020-03-01,KNYSTATE8,33.1,10.0,50,3.0,30.17,0.0
61,2020-03-02,KNYSTATE8,46.8,20.0,56,2.7,30.16,0.0
62,2020-03-03,KNYSTATE8,51.0,39.0,84,2.4,29.78,0.31
63,2020-03-04,KNYSTATE8,49.2,25.0,53,6.2,29.87,0.0
64,2020-03-05,KNYSTATE8,43.2,21.0,57,2.0,30.15,0.0
65,2020-03-06,KNYSTATE8,38.3,30.0,88,1.2,30.07,0.38
66,2020-03-07,KNYSTATE8,39.5,9.0,57,2.9,30.42,0.0
67,2020-03-08,KNYSTATE8,44.1,17.0,42,2.7,30.48,0.0
68,2020-03-09,KNYSTATE8,55.0,23.0,39,3.0,30.38,0.0
69,2020-03-10,KNYSTATE8,57.2,34.0,61,4.5,30.25,0.0
70,2020-03-11,KNYSTATE8,49.0,26.0,55,1.5,30.14,0.0
71,2020-03-12,KNYSTATE8,42.2,30.0,84,1.9,30.18,0.0
72,2020-03-13,KNYSTATE8,58.0,21.0,58,5.3,30.1,0.27
73,2020-03-14,KNYSTATE8,48.7,21.0,38,3.0,30.37,0.27
74,2020-03-15,KNYSTATE8,45.7,18.0,47,1.0,30.51,0.0
75,2020-03-16,KNYSTATE8,39.1,11.0,53,3.3,30.62,0.0
76,2020-03-17,KNYSTATE8,46.1,34.0,82,2.4,30.4,0.15
77,2020-03-18,KNYSTATE8,44.7,27.0,61,2.0,30.5,0.15
78,2020-03-19,KNYSTATE8,46.2,35.0,90,1.0,30.39,1.25
79,2020-03-20,KNYSTATE8,58.1,44.0,80,2.4,30.2,1.25
80,2020-03-21,KNYSTATE8,48.8,15.0,47,2.4,30.43,0.0
81,2020-03-22,KNYSTATE8,37.9,11.0,49,3.5,30.69,0.0
82,2020-03-23,KNYSTATE8,38.1,26.0,88,4.4,30.67,1.04
83,2020-03-24,KNYSTATE8,44.3,32.0,73,1.4,30.17,1.04
84,2020-03-25,KNYSTATE8,42.7,31.0,75,3.0,30.16,0.01
85,2020-03-26,KNYSTATE8,45.2,29.0,71,1.4,30.08,0.01
86,2020-03-27,KNYSTATE8,56.3,25.0,57,1.9,30.05,0.0
87,2020-03-28,KNYSTATE8,47.4,25.0,75,1.7,30.14,0.24
88,2020-03-29,KNYSTATE8,45.9,44.0,98,1.8,30.01,0.24
89,2020-03-30,KNYSTATE8,45.5,42.0,93,0.8,29.98,0.05
90,2020-03-31,KNYSTATE8,42.4,36.0,86,1.2,30.06,0.05
91,2020-04-01,KNYSTATE8,45.4,28.0,61,1.9,29.92,0.03
92,2020-04-02,KNYSTATE8,47.9,27.0,51,4.3,29.76,0.0
93,2020-04-03,KNYSTATE8,49.7,30.0,70,3.4,29.85,0.04
94,2020-04-04,KNYSTATE8,50.6,42.0,78,1.6,30.03,0.04
95,2020-04-05,KNYSTATE8,50.8,39.0,81,1.0,30.05,0.02
96,2020-04-06,KNYSTATE8,55.2,23.0,58,1.1,30.05,0.04
97,2020-04-07,KNYSTATE8,54.1,28.0,50,1.4,29.98,0.04
98,2020-04-08,KNYSTATE8,57.0,42.0,77,1.5,29.67,0.28
99,2020-04-09,KNYSTATE8,50.2,25.0,74,2.5,29.65,0.28
100,2020-04-10,KNYSTATE8,43.1,24.0,58,7.0,29.75,0.01
101,2020-04-11,KNYSTATE8,45.9,19.0,42,4.3,30.05,0.0
102,2020-04-12,KNYSTATE8,50.8,27.0,64,2.6,30.19,0.0
103,2020-04-13,KNYSTATE8,59.8,43.0,88,6.5,30.03,1.29
104,2020-04-14,KNYSTATE8,51.6,27.0,51,2.6,30.1,0.0
105,2020-04-15,KNYSTATE8,46.8,17.0,48,2.8,30.0,0.0
106,2020-04-16,KNYSTATE8,44.0,15.0,46,4.1,30.25,0.0
107,2020-04-17,KNYSTATE8,41.6,18.0,59,2.0,30.33,0.02
108,2020-04-18,KNYSTATE8,42.7,28.0,86,0.6,29.93,0.17
109,2020-04-19,KNYSTATE8,49.3,27.0,55,3.6,29.95,0.0
110,2020-04-20,KNYSTATE8,50.8,24.0,55,0.9,29.71,0.0
111,2020-04-21,KNYSTATE8,48.2,24.0,71,3.4,29.73,0.25
112,2020-04-22,KNYSTATE8,43.3,14.0,40,4.0,30.01,0.0
113,2020-04-23,KNYSTATE8,42.9,21.0,55,0.8,30.1,0.06
114,2020-04-24,KNYSTATE8,45.1,39.0,97,1.2,29.93,0.57
115,2020-04-25,KNYSTATE8,50.5,28.0,73,1.3,30.08,0.0
116,2020-04-26,KNYSTATE8,47.0,39.0,87,2.2,30.07,0.09
117,2020-04-27,KNYSTATE8,44.1,37.0,83,1.3,30.07,0.0
118,2020-04-28,KNYSTATE8,52.9,30.0,58,1.3,30.15,0.01
119,2020-04-29,KNYSTATE8,49.5,40.0,82,2.7,30.23,0.0
120,2020-04-30,KNYSTATE8,53.2,45.0,94,5.7,30.17,0.26
121,2020-05-01,KNYSTATE8,57.8,48.0,89,0.9,29.77,0.11
122,2020-05-02,KNYSTATE8,62.4,38.0,51,1.8,30.0,0.0
123,2020-05-03,KNYSTATE8,66.1,42.0,63,1.9,29.89,0.08
124,2020-05-04,KNYSTATE8,62.2,34.0,54,1.8,29.89,0.0
125,2020-05-05,KNYSTATE8,53.5,22.0,44,1.3,29.93,0.0
126,2020-05-06,KNYSTATE8,47.5,35.0,78,1.0,29.88,0.1
127,2020-05-07,KNYSTATE8,55.4,25.0,55,1.5,29.79,0.0
128,2020-05-08,KNYSTATE8,48.5,27.0,67,0.3,29.87,0.48
129,2020-05-09,KNYSTATE8,40.1,20.0,59,3.1,30.08,0.01
130,2020-05-10,KNYSTATE8,51.3,23.0,43,3.9,30.12,0.0
131,2020-05-11,KNYSTATE8,51.2,33.0,68,2.4,29.96,0.07
132,2020-05-12,KNYSTATE8,51.3,23.0,48,1.6,30.15,0.01
133,2020-05-13,KNYSTATE8,52.4,24.0,48,1.1,30.32,0.0
