,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KOHKENTO9,35.4,10.0,63,7.7,30.27
61,2020-03-02,KOHKENTO9,48.8,34.0,76,8.0,29.88
62,2020-03-03,KOHKENTO9,45.4,28.0,82,8.9,29.86
63,2020-03-04,KOHKENTO9,39.9,24.0,73,8.1,30.16
64,2020-03-05,KOHKENTO9,38.1,19.0,63,4.8,30.21
65,2020-03-06,KOHKENTO9,34.5,20.0,72,10.8,30.49
66,2020-03-07,KOHKENTO9,33.6,15.0,58,4.2,30.64
67,2020-03-08,KOHKENTO9,45.2,18.0,44,7.3,30.5
68,2020-03-09,KOHKENTO9,56.1,23.0,39,12.6,30.3
69,2020-03-10,KOHKENTO9,48.3,31.0,73,11.3,30.26
70,2020-03-11,KOHKENTO9,42.1,29.0,85,2.4,30.25
71,2020-03-12,KOHKENTO9,49.5,38.0,82,4.5,30.05
72,2020-03-13,KOHKENTO9,45.5,20.0,65,10.7,30.43
73,2020-03-14,KOHKENTO9,34.7,20.0,66,3.6,30.54
74,2020-03-15,KOHKENTO9,34.2,20.0,71,7.9,30.65
75,2020-03-16,KOHKENTO9,37.3,19.0,68,2.6,30.57
76,2020-03-17,KOHKENTO9,39.8,23.0,77,5.7,30.4
77,2020-03-18,KOHKENTO9,38.1,25.0,84,5.0,30.41
78,2020-03-19,KOHKENTO9,47.7,36.0,90,7.5,30.24
79,2020-03-20,KOHKENTO9,53.9,26.0,82,14.3,30.39
80,2020-03-21,KOHKENTO9,29.6,20.0,78,8.2,30.64
81,2020-03-22,KOHKENTO9,31.4,19.0,79,6.0,30.63
82,2020-03-23,KOHKENTO9,37.4,30.0,87,4.2,30.28
83,2020-03-24,KOHKENTO9,40.1,33.0,83,5.1,30.25
84,2020-03-25,KOHKENTO9,41.8,30.0,82,3.7,30.05
85,2020-03-26,KOHKENTO9,53.0,34.0,76,6.2,29.97
86,2020-03-27,KOHKENTO9,46.6,41.0,89,7.1,29.99
87,2020-03-28,KOHKENTO9,54.8,42.0,90,4.8,29.91
88,2020-03-29,KOHKENTO9,59.3,37.0,72,15.3,29.91
89,2020-03-30,KOHKENTO9,44.3,32.0,72,12.3,30.14
90,2020-03-31,KOHKENTO9,39.0,29.0,82,3.8,30.12
91,2020-04-01,KOHKENTO9,42.7,33.0,80,6.1,30.13
92,2020-04-02,KOHKENTO9,46.2,29.0,67,5.4,30.22
93,2020-04-03,KOHKENTO9,49.4,23.0,52,3.2,30.14
94,2020-04-04,KOHKENTO9,52.2,27.0,54,4.2,30.1
95,2020-04-05,KOHKENTO9,44.5,28.0,81,6.0,30.22
96,2020-04-06,KOHKENTO9,46.4,20.0,61,2.6,30.24
97,2020-04-07,KOHKENTO9,60.3,38.0,77,6.5,30.02
