,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KOHOBERL3,33.7,11.0,64,4.7,30.03
61,2020-03-02,KOHOBERL3,47.9,33.0,82,6.0,29.67
62,2020-03-03,KOHOBERL3,46.0,33.0,85,4.4,29.59
63,2020-03-04,KOHOBERL3,38.8,25.0,74,4.1,29.91
64,2020-03-05,KOHOBERL3,38.1,22.0,70,3.3,29.98
65,2020-03-06,KOHOBERL3,34.5,24.0,86,4.2,30.22
66,2020-03-07,KOHOBERL3,33.6,20.0,72,2.5,30.4
67,2020-03-08,KOHOBERL3,46.2,24.0,55,5.6,30.27
68,2020-03-09,KOHOBERL3,57.0,32.0,52,9.1,30.08
69,2020-03-10,KOHOBERL3,47.2,29.0,85,6.5,30.05
70,2020-03-11,KOHOBERL3,36.3,27.0,89,1.2,30.05
71,2020-03-12,KOHOBERL3,46.7,32.0,82,2.5,29.84
72,2020-03-13,KOHOBERL3,47.1,23.0,62,6.7,30.17
73,2020-03-14,KOHOBERL3,35.1,22.0,72,1.5,30.32
74,2020-03-15,KOHOBERL3,34.6,18.0,74,4.1,30.41
75,2020-03-16,KOHOBERL3,36.8,20.0,72,1.1,30.35
76,2020-03-17,KOHOBERL3,40.1,30.0,82,2.3,30.17
77,2020-03-18,KOHOBERL3,39.1,27.0,86,2.0,30.19
78,2020-03-19,KOHOBERL3,46.5,35.0,91,4.0,30.04
79,2020-03-20,KOHOBERL3,55.8,28.0,79,8.9,30.16
80,2020-03-21,KOHOBERL3,29.1,17.0,77,3.5,30.41
81,2020-03-22,KOHOBERL3,31.4,18.0,77,2.0,30.42
82,2020-03-23,KOHOBERL3,38.9,34.0,89,0.9,30.09
83,2020-03-24,KOHOBERL3,38.2,32.0,84,2.1,30.05
84,2020-03-25,KOHOBERL3,42.6,31.0,85,1.6,29.82
85,2020-03-26,KOHOBERL3,51.2,37.0,79,4.1,29.77
86,2020-03-27,KOHOBERL3,43.3,37.0,88,1.9,29.81
87,2020-03-28,KOHOBERL3,51.6,43.0,93,1.0,29.75
88,2020-03-29,KOHOBERL3,60.0,41.0,75,10.6,29.66
89,2020-03-30,KOHOBERL3,44.7,35.0,76,6.2,29.9
90,2020-03-31,KOHOBERL3,40.0,35.0,86,1.9,29.88
91,2020-04-01,KOHOBERL3,42.5,31.0,77,3.6,29.89
92,2020-04-02,KOHOBERL3,45.6,31.0,70,1.6,29.95
93,2020-04-03,KOHOBERL3,44.2,26.0,64,1.5,29.91
94,2020-04-04,KOHOBERL3,48.7,28.0,67,1.0,29.89
95,2020-04-05,KOHOBERL3,41.8,31.0,82,2.6,29.99
96,2020-04-06,KOHOBERL3,44.1,18.0,66,1.0,30.02
97,2020-04-07,KOHOBERL3,57.8,35.0,78,3.2,29.82
98,2020-04-08,KOHOBERL3,58.1,45.0,75,2.9,29.56
99,2020-04-09,KOHOBERL3,44.1,22.0,72,6.2,29.51
100,2020-04-10,KOHOBERL3,38.7,24.0,64,6.5,29.79
101,2020-04-11,KOHOBERL3,43.3,25.0,62,4.2,29.86
102,2020-04-12,KOHOBERL3,53.6,33.0,67,6.8,29.74
103,2020-04-13,KOHOBERL3,48.7,28.0,81,6.9,29.91
104,2020-04-14,KOHOBERL3,37.7,18.0,57,4.1,30.0
105,2020-04-15,KOHOBERL3,34.2,21.0,74,3.3,29.95
106,2020-04-16,KOHOBERL3,34.4,18.0,61,4.2,30.12
107,2020-04-17,KOHOBERL3,32.6,21.0,83,1.6,30.13
108,2020-04-18,KOHOBERL3,41.0,29.0,75,4.5,29.89
109,2020-04-19,KOHOBERL3,48.1,33.0,69,7.6,29.7
110,2020-04-20,KOHOBERL3,45.6,21.0,56,2.6,29.64
111,2020-04-21,KOHOBERL3,42.8,19.0,59,7.4,29.81
112,2020-04-22,KOHOBERL3,35.5,18.0,63,2.5,29.94
113,2020-04-23,KOHOBERL3,47.1,31.0,76,3.0,29.8
114,2020-04-24,KOHOBERL3,46.2,39.0,84,2.5,29.76
115,2020-04-25,KOHOBERL3,49.2,32.0,69,4.5,29.82
116,2020-04-26,KOHOBERL3,44.6,36.0,85,9.1,29.92
117,2020-04-27,KOHOBERL3,48.0,31.0,71,2.0,30.03
118,2020-04-28,KOHOBERL3,56.6,42.0,76,4.9,29.9
119,2020-04-29,KOHOBERL3,60.4,49.0,74,7.9,29.64
120,2020-04-30,KOHOBERL3,49.7,40.0,85,5.2,29.54
121,2020-05-01,KOHOBERL3,48.5,40.0,81,1.5,29.88
122,2020-05-02,KOHOBERL3,60.8,40.0,68,5.3,29.88
123,2020-05-03,KOHOBERL3,66.1,39.0,57,2.2,29.67
124,2020-05-04,KOHOBERL3,46.3,34.0,71,1.4,29.94
125,2020-05-05,KOHOBERL3,43.4,25.0,62,3.4,29.91
126,2020-05-06,KOHOBERL3,46.7,25.0,62,1.8,29.8
127,2020-05-07,KOHOBERL3,51.0,25.0,55,4.9,29.79
128,2020-05-08,KOHOBERL3,40.2,24.0,69,4.3,29.87
129,2020-05-09,KOHOBERL3,38.3,19.0,59,4.1,30.0
130,2020-05-10,KOHOBERL3,46.8,24.0,65,5.9,29.97
131,2020-05-11,KOHOBERL3,39.7,31.0,80,4.0,29.98
132,2020-05-12,KOHOBERL3,45.3,27.0,64,2.9,30.04
133,2020-05-13,KOHOBERL3,46.7,29.0,63,1.9,30.18
134,2020-05-14,KOHOBERL3,57.1,33.0,77,4.7,30.04
135,2020-05-15,KOHOBERL3,65.1,56.0,85,5.9,29.8
136,2020-05-16,KOHOBERL3,62.8,49.0,80,2.1,29.93
137,2020-05-17,KOHOBERL3,62.7,49.0,79,2.4,29.89
138,2020-05-18,KOHOBERL3,63.2,54.0,90,4.7,29.68
139,2020-05-19,KOHOBERL3,61.2,51.0,82,4.6,29.91
140,2020-05-20,KOHOBERL3,58.3,39.0,59,3.6,30.03
141,2020-05-21,KOHOBERL3,60.1,41.0,71,4.3,30.01
142,2020-05-22,KOHOBERL3,59.7,55.0,92,1.0,29.93
143,2020-05-23,KOHOBERL3,64.3,55.0,83,1.1,29.88
144,2020-05-24,KOHOBERL3,73.6,58.0,74,3.0,29.84
145,2020-05-25,KOHOBERL3,73.0,59.0,80,1.6,29.87
146,2020-05-26,KOHOBERL3,76.6,62.0,72,1.7,29.89
147,2020-05-27,KOHOBERL3,74.3,61.0,73,2.4,29.84
148,2020-05-28,KOHOBERL3,71.4,63.0,80,3.7,29.78
149,2020-05-29,KOHOBERL3,65.1,54.0,87,2.6,29.81
150,2020-05-30,KOHOBERL3,61.0,46.0,74,2.1,29.96
151,2020-05-31,KOHOBERL3,52.9,39.0,71,1.8,30.13
152,2020-06-01,KOHOBERL3,59.1,35.0,59,2.3,30.14
153,2020-06-02,KOHOBERL3,73.0,48.0,61,5.3,29.94
154,2020-06-03,KOHOBERL3,77.3,59.0,61,4.6,29.61
155,2020-06-04,KOHOBERL3,70.2,58.0,80,2.8,29.64
156,2020-06-05,KOHOBERL3,74.7,62.0,76,1.3,29.68
157,2020-06-06,KOHOBERL3,73.0,53.0,67,2.3,29.82
158,2020-06-07,KOHOBERL3,64.8,48.0,67,2.2,29.92
159,2020-06-08,KOHOBERL3,66.4,45.0,65,1.6,29.91
160,2020-06-09,KOHOBERL3,76.0,52.0,64,4.0,29.77
161,2020-06-10,KOHOBERL3,80.7,59.0,71,8.1,29.55
162,2020-06-11,KOHOBERL3,68.9,51.0,66,4.8,29.94
163,2020-06-12,KOHOBERL3,67.0,49.0,63,2.0,30.06
164,2020-06-13,KOHOBERL3,59.0,36.0,67,4.2,30.1
165,2020-06-14,KOHOBERL3,58.9,38.0,59,4.8,30.14
166,2020-06-15,KOHOBERL3,63.2,47.0,71,3.1,30.16
167,2020-06-16,KOHOBERL3,66.7,51.0,69,2.1,30.18
168,2020-06-17,KOHOBERL3,68.6,49.0,65,2.3,30.04
169,2020-06-18,KOHOBERL3,71.6,55.0,69,2.4,29.92
170,2020-06-19,KOHOBERL3,71.3,61.0,78,1.7,29.85
171,2020-06-20,KOHOBERL3,74.6,58.0,70,1.4,29.85
172,2020-06-21,KOHOBERL3,74.6,61.0,73,2.4,29.75
173,2020-06-22,KOHOBERL3,71.2,65.0,87,1.1,29.73
174,2020-06-23,KOHOBERL3,70.8,56.0,80,4.4,29.61
175,2020-06-24,KOHOBERL3,66.8,52.0,68,2.4,29.69
176,2020-06-25,KOHOBERL3,68.7,52.0,68,2.5,29.79
177,2020-06-26,KOHOBERL3,73.3,56.0,68,2.6,29.83
178,2020-06-27,KOHOBERL3,75.3,65.0,79,5.2,29.64
179,2020-06-28,KOHOBERL3,74.3,60.0,77,1.8,29.68
180,2020-06-29,KOHOBERL3,71.9,56.0,71,1.1,29.78
181,2020-06-30,KOHOBERL3,73.7,57.0,69,2.2,29.78
182,2020-07-01,KOHOBERL3,73.5,57.0,69,2.5,29.78
183,2020-07-02,KOHOBERL3,74.9,58.0,70,1.4,29.82
184,2020-07-03,KOHOBERL3,78.0,59.0,67,1.3,29.81
185,2020-07-04,KOHOBERL3,77.4,57.0,68,2.2,29.8
186,2020-07-05,KOHOBERL3,74.5,55.0,62,1.1,29.81
187,2020-07-06,KOHOBERL3,78.3,56.0,59,1.5,29.83
188,2020-07-07,KOHOBERL3,79.5,63.0,69,2.5,29.79
189,2020-07-08,KOHOBERL3,77.9,65.0,75,2.0,29.78
190,2020-07-09,KOHOBERL3,79.5,66.0,77,1.4,29.74
191,2020-07-10,KOHOBERL3,78.1,66.0,77,3.4,29.67
192,2020-07-11,KOHOBERL3,74.4,63.0,76,3.7,29.6
193,2020-07-12,KOHOBERL3,74.0,60.0,71,1.1,29.64
194,2020-07-13,KOHOBERL3,71.5,58.0,73,2.0,29.8
195,2020-07-14,KOHOBERL3,71.2,55.0,71,1.6,29.9
196,2020-07-15,KOHOBERL3,76.0,58.0,66,2.4,29.91
