,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,Precipin
60,2020-03-01,KOHWINTE1,32.6,13.0,61,1.3,30.26,0.0
61,2020-03-02,KOHWINTE1,47.7,23.0,73,2.5,29.98,0.04
62,2020-03-03,KOHWINTE1,48.3,33.8,89,3.5,29.77,0.84
63,2020-03-04,KOHWINTE1,41.2,28.3,74,2.9,30.08,0.0
64,2020-03-05,KOHWINTE1,38.1,22.2,70,0.5,30.17,0.0
65,2020-03-06,KOHWINTE1,34.2,24.6,87,3.0,30.3,0.03
66,2020-03-07,KOHWINTE1,33.0,21.8,74,2.0,30.58,0.0
67,2020-03-08,KOHWINTE1,41.7,19.4,57,1.0,30.55,0.0
68,2020-03-09,KOHWINTE1,54.5,22.7,43,2.3,30.38,0.0
69,2020-03-10,KOHWINTE1,50.7,34.3,81,4.1,30.22,0.13
70,2020-03-11,KOHWINTE1,42.0,34.8,91,0.0,30.2,0.0
71,2020-03-12,KOHWINTE1,52.7,37.7,78,0.6,30.02,0.0
72,2020-03-13,KOHWINTE1,50.6,22.0,56,5.5,30.32,0.16
73,2020-03-14,KOHWINTE1,37.1,21.5,67,0.3,30.47,0.14
74,2020-03-15,KOHWINTE1,37.7,25.1,78,1.9,30.54,0.04
75,2020-03-16,KOHWINTE1,39.0,21.8,78,0.8,30.49,0.05
76,2020-03-17,KOHWINTE1,42.1,32.7,90,1.2,30.37,0.05
77,2020-03-18,KOHWINTE1,43.2,27.1,85,1.0,30.4,0.77
78,2020-03-19,KOHWINTE1,55.2,47.2,93,1.5,30.17,173.76
79,2020-03-20,KOHWINTE1,59.2,35.0,87,5.6,30.22,1.02
80,2020-03-21,KOHWINTE1,32.5,23.4,76,4.3,30.55,2.87
81,2020-03-22,KOHWINTE1,38.1,20.7,67,1.7,30.58,0.03
82,2020-03-23,KOHWINTE1,43.5,33.2,85,0.7,30.28,0.11
83,2020-03-24,KOHWINTE1,40.5,33.3,83,1.4,30.22,0.0
84,2020-03-25,KOHWINTE1,46.8,37.6,84,1.4,30.0,0.16
85,2020-03-26,KOHWINTE1,51.8,35.3,74,1.5,30.0,0.11
86,2020-03-27,KOHWINTE1,52.4,45.6,89,0.7,29.98,0.22
87,2020-03-28,KOHWINTE1,60.6,49.3,94,1.3,29.93,0.93
88,2020-03-29,KOHWINTE1,65.4,41.4,69,6.6,29.87,0.06
89,2020-03-30,KOHWINTE1,47.4,32.6,69,5.6,30.06,0.0
90,2020-03-31,KOHWINTE1,41.7,35.7,85,0.6,30.05,0.01
91,2020-04-01,KOHWINTE1,43.9,25.5,80,1.6,30.03,0.05
92,2020-04-02,KOHWINTE1,43.7,26.0,61,2.5,30.11,0.0
93,2020-04-03,KOHWINTE1,45.4,22.1,55,2.5,30.05,0.0
94,2020-04-04,KOHWINTE1,48.5,27.1,67,0.3,30.07,0.0
95,2020-04-05,KOHWINTE1,52.1,37.3,76,0.9,30.11,0.0
96,2020-04-06,KOHWINTE1,49.2,29.6,63,0.5,30.17,0.0
97,2020-04-07,KOHWINTE1,53.8,38.9,86,0.5,29.99,0.26
98,2020-04-08,KOHWINTE1,59.7,40.7,75,1.7,29.7,0.5
99,2020-04-09,KOHWINTE1,46.4,22.1,74,6.0,29.66,0.2
100,2020-04-10,KOHWINTE1,37.1,24.0,65,5.8,29.98,0.0
101,2020-04-11,KOHWINTE1,41.9,25.1,63,1.8,30.07,0.0
102,2020-04-12,KOHWINTE1,52.0,29.4,67,1.3,29.98,0.29
103,2020-04-13,KOHWINTE1,51.8,33.2,87,4.6,30.09,0.59
104,2020-04-14,KOHWINTE1,38.2,20.7,68,2.7,30.17,0.0
105,2020-04-15,KOHWINTE1,34.8,19.8,73,3.2,30.13,0.02
106,2020-04-16,KOHWINTE1,34.7,17.3,63,4.0,30.31,0.01
107,2020-04-17,KOHWINTE1,38.6,22.1,76,1.0,30.31,0.54
108,2020-04-18,KOHWINTE1,40.6,29.4,75,3.1,30.05,0.1
109,2020-04-19,KOHWINTE1,46.0,30.1,69,3.4,29.96,0.0
110,2020-04-20,KOHWINTE1,47.1,21.1,56,2.3,29.76,0.0
111,2020-04-21,KOHWINTE1,44.2,18.9,57,5.2,29.96,0.06
112,2020-04-22,KOHWINTE1,37.0,17.6,56,2.0,30.12,0.0
113,2020-04-23,KOHWINTE1,48.9,31.0,78,0.5,30.03,0.1
114,2020-04-24,KOHWINTE1,53.5,42.8,82,2.7,29.91,0.02
115,2020-04-25,KOHWINTE1,54.3,34.3,73,0.6,29.98,0.25
116,2020-04-26,KOHWINTE1,48.7,39.4,97,3.5,29.97,1.29
117,2020-04-27,KOHWINTE1,48.4,33.3,68,2.6,30.17,0.0
118,2020-04-28,KOHWINTE1,53.0,35.3,77,0.7,30.14,0.06
119,2020-04-29,KOHWINTE1,61.9,48.0,72,1.6,29.92,0.88
120,2020-04-30,KOHWINTE1,50.0,42.8,92,2.0,29.74,0.23
121,2020-05-01,KOHWINTE1,46.5,37.7,89,0.9,30.08,0.0
122,2020-05-02,KOHWINTE1,54.3,34.7,74,1.9,30.15,0.0
123,2020-05-03,KOHWINTE1,66.6,46.4,70,1.6,29.86,0.0
124,2020-05-04,KOHWINTE1,51.9,36.0,63,2.3,30.06,0.0
125,2020-05-05,KOHWINTE1,42.9,29.1,72,1.9,30.07,0.16
126,2020-05-06,KOHWINTE1,43.5,25.3,73,2.2,29.98,0.1
127,2020-05-07,KOHWINTE1,48.0,25.4,58,2.9,29.98,0.0
128,2020-05-08,KOHWINTE1,41.7,25.7,78,1.9,30.01,0.18
129,2020-05-09,KOHWINTE1,34.6,19.7,68,3.2,30.21,0.0
130,2020-05-10,KOHWINTE1,46.1,24.8,64,3.5,30.21,0.09
131,2020-05-11,KOHWINTE1,39.5,32.3,85,3.7,30.17,0.05
