,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KOKTULSA151,63.9,33.8,61,3.1,29.82
61,2020-03-02,KOKTULSA151,52.1,37.2,71,2.0,29.78
62,2020-03-03,KOKTULSA151,52.3,23.9,58,0.7,29.89
63,2020-03-04,KOKTULSA151,51.4,27.1,50,1.6,30.02
64,2020-03-05,KOKTULSA151,53.2,14.0,44,2.4,30.34
65,2020-03-06,KOKTULSA151,49.4,17.1,35,1.3,30.46
66,2020-03-07,KOKTULSA151,54.5,18.7,35,2.6,30.31
67,2020-03-08,KOKTULSA151,55.0,27.9,57,3.6,30.16
68,2020-03-09,KOKTULSA151,58.1,37.0,76,4.1,30.14
69,2020-03-10,KOKTULSA151,51.7,37.4,70,1.9,30.23
70,2020-03-11,KOKTULSA151,65.5,47.1,68,1.6,29.97
71,2020-03-12,KOKTULSA151,69.6,41.4,62,3.5,29.96
72,2020-03-13,KOKTULSA151,49.0,30.0,65,4.1,30.17
73,2020-03-14,KOKTULSA151,44.2,38.3,92,2.4,30.27
74,2020-03-15,KOKTULSA151,44.0,39.6,91,2.6,30.37
75,2020-03-16,KOKTULSA151,46.6,41.7,98,1.0,30.18
76,2020-03-17,KOKTULSA151,52.4,45.5,91,2.0,30.18
77,2020-03-18,KOKTULSA151,63.4,52.2,88,2.4,29.93
78,2020-03-19,KOKTULSA151,67.7,45.1,82,2.9,29.83
79,2020-03-20,KOKTULSA151,47.6,25.2,65,4.5,30.37
80,2020-03-21,KOKTULSA151,43.5,25.0,59,1.8,30.41
81,2020-03-22,KOKTULSA151,48.0,39.9,93,1.7,30.16
82,2020-03-23,KOKTULSA151,54.8,50.0,91,1.7,30.05
83,2020-03-24,KOKTULSA151,60.4,50.2,81,2.0,29.86
84,2020-03-25,KOKTULSA151,65.5,47.3,67,2.0,29.86
85,2020-03-26,KOKTULSA151,77.9,50.7,57,2.3,29.66
86,2020-03-27,KOKTULSA151,72.9,64.8,81,2.7,29.64
87,2020-03-28,KOKTULSA151,68.1,24.4,55,4.9,29.89
88,2020-03-29,KOKTULSA151,58.6,30.6,49,1.8,30.09
89,2020-03-30,KOKTULSA151,56.2,33.6,68,1.2,30.07
90,2020-03-31,KOKTULSA151,56.8,42.1,74,1.5,30.02
91,2020-04-01,KOKTULSA151,61.0,43.5,61,2.0,29.93
