,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,Precipin
60,2020-03-01,KPAHAWLE14,26.8,12.0,67,0.4,30.4,0.0
61,2020-03-02,KPAHAWLE14,42.7,20.1,62,0.0,30.38,0.0
62,2020-03-03,KPAHAWLE14,46.2,36.0,88,0.2,30.07,0.24
63,2020-03-04,KPAHAWLE14,40.4,22.8,72,1.4,30.21,0.1
64,2020-03-05,KPAHAWLE14,36.3,22.3,68,0.1,30.44,0.0
65,2020-03-06,KPAHAWLE14,33.4,23.7,84,0.0,30.31,0.0
66,2020-03-07,KPAHAWLE14,32.2,6.4,60,0.9,30.67,0.0
67,2020-03-08,KPAHAWLE14,37.4,15.1,58,0.4,30.71,0.0
68,2020-03-09,KPAHAWLE14,47.2,21.2,52,0.6,30.61,0.0
69,2020-03-10,KPAHAWLE14,49.4,29.8,75,0.2,30.51,0.05
70,2020-03-11,KPAHAWLE14,39.7,23.5,69,0.1,30.45,0.0
71,2020-03-12,KPAHAWLE14,41.0,22.1,68,0.0,30.43,0.0
72,2020-03-13,KPAHAWLE14,50.4,17.8,64,1.9,30.42,0.23
73,2020-03-14,KPAHAWLE14,39.0,21.2,57,0.6,30.66,0.0
74,2020-03-15,KPAHAWLE14,37.8,7.3,53,0.3,30.8,0.0
75,2020-03-16,KPAHAWLE14,32.7,11.1,59,0.1,30.83,0.0
76,2020-03-17,KPAHAWLE14,39.3,27.9,86,0.2,30.62,0.02
77,2020-03-18,KPAHAWLE14,40.8,24.4,64,0.0,30.74,0.02
78,2020-03-19,KPAHAWLE14,40.4,35.2,98,0.0,30.6,0.78
79,2020-03-20,KPAHAWLE14,53.9,40.6,88,1.0,30.42,0.08
80,2020-03-21,KPAHAWLE14,36.7,9.0,58,1.3,30.73,0.0
81,2020-03-22,KPAHAWLE14,32.0,12.9,55,0.2,30.88,0.0
82,2020-03-23,KPAHAWLE14,31.4,24.4,92,0.0,30.85,0.07
83,2020-03-24,KPAHAWLE14,35.2,16.2,91,0.2,30.46,0.52
84,2020-03-25,KPAHAWLE14,34.2,28.0,92,0.0,30.42,0.02
85,2020-03-26,KPAHAWLE14,40.3,25.0,83,0.1,30.34,0.0
86,2020-03-27,KPAHAWLE14,48.3,22.1,63,0.6,30.37,0.0
87,2020-03-28,KPAHAWLE14,38.0,28.9,91,0.0,30.41,0.45
88,2020-03-29,KPAHAWLE14,43.4,39.2,99,0.1,30.36,0.33
89,2020-03-30,KPAHAWLE14,46.0,41.4,94,0.1,30.26,0.06
90,2020-03-31,KPAHAWLE14,40.0,36.9,95,0.0,30.31,0.12
91,2020-04-01,KPAHAWLE14,41.1,25.9,71,0.5,30.18,0.0
92,2020-04-02,KPAHAWLE14,41.1,25.5,63,2.3,30.12,0.0
93,2020-04-03,KPAHAWLE14,42.9,29.3,83,1.1,30.2,0.09
94,2020-04-04,KPAHAWLE14,48.0,42.3,87,0.1,30.31,0.0
95,2020-04-05,KPAHAWLE14,52.1,43.7,79,0.4,30.32,0.0
96,2020-04-06,KPAHAWLE14,46.6,12.2,62,1.1,30.38,0.05
97,2020-04-07,KPAHAWLE14,51.7,26.1,55,1.0,30.28,0.0
98,2020-04-08,KPAHAWLE14,50.2,37.4,84,0.6,29.97,0.13
99,2020-04-09,KPAHAWLE14,42.5,27.0,86,1.1,29.92,0.27
100,2020-04-10,KPAHAWLE14,35.8,25.9,79,4.3,30.03,0.01
101,2020-04-11,KPAHAWLE14,38.6,19.2,54,2.9,30.33,0.0
102,2020-04-12,KPAHAWLE14,46.1,22.1,62,0.3,30.44,0.0
103,2020-04-13,KPAHAWLE14,56.8,35.2,91,1.5,30.34,0.41
104,2020-04-14,KPAHAWLE14,42.9,21.6,62,1.5,30.5,0.0
105,2020-04-15,KPAHAWLE14,37.8,14.4,58,1.6,30.41,0.0
106,2020-04-16,KPAHAWLE14,34.0,12.2,70,2.3,30.6,0.01
107,2020-04-17,KPAHAWLE14,31.8,20.5,83,1.3,30.66,0.04
108,2020-04-18,KPAHAWLE14,34.9,25.2,88,0.8,30.33,0.47
