,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,Precipin
60,2020-03-01,KPALANSD37,34.0,12.6,53,1.8,29.77,0.0
61,2020-03-02,KPALANSD37,48.4,20.7,56,2.4,29.71,0.0
62,2020-03-03,KPALANSD37,50.5,36.7,88,1.4,29.38,0.51
63,2020-03-04,KPALANSD37,49.3,27.0,57,2.6,29.48,0.0
64,2020-03-05,KPALANSD37,43.8,23.5,55,1.7,29.74,0.0
65,2020-03-06,KPALANSD37,37.2,28.8,89,1.5,29.61,0.35
66,2020-03-07,KPALANSD37,38.0,14.2,58,4.0,29.99,0.0
67,2020-03-08,KPALANSD37,42.5,17.1,51,1.4,30.08,0.0
68,2020-03-09,KPALANSD37,53.6,23.7,45,1.6,29.96,0.0
69,2020-03-10,KPALANSD37,56.6,32.7,67,2.4,29.82,0.07
70,2020-03-11,KPALANSD37,48.7,27.7,59,1.5,29.71,0.0
71,2020-03-12,KPALANSD37,44.9,30.0,75,1.2,29.72,0.01
72,2020-03-13,KPALANSD37,58.6,20.1,61,3.0,29.7,0.27
73,2020-03-14,KPALANSD37,48.7,21.6,41,2.5,29.95,0.0
74,2020-03-15,KPALANSD37,44.9,13.8,60,1.7,30.07,0.05
75,2020-03-16,KPALANSD37,40.6,12.4,53,2.6,30.14,0.0
76,2020-03-17,KPALANSD37,44.2,33.1,83,0.9,29.94,0.13
77,2020-03-18,KPALANSD37,44.8,26.8,66,1.5,30.06,0.07
78,2020-03-19,KPALANSD37,43.1,37.9,97,1.4,29.9,0.88
79,2020-03-20,KPALANSD37,54.1,48.2,94,1.5,29.73,0.03
80,2020-03-21,KPALANSD37,42.7,17.4,44,1.9,29.99,0.0
81,2020-03-22,KPALANSD37,38.9,14.0,52,3.0,30.19,0.0
82,2020-03-23,KPALANSD37,37.9,28.8,92,2.7,30.18,0.71
83,2020-03-24,KPALANSD37,49.9,36.5,66,1.9,29.73,0.0
84,2020-03-25,KPALANSD37,42.4,34.2,82,2.2,29.68,0.05
85,2020-03-26,KPALANSD37,45.8,28.9,76,1.8,29.66,0.01
86,2020-03-27,KPALANSD37,61.4,31.3,49,2.7,29.6,0.0
87,2020-03-28,KPALANSD37,49.8,27.7,70,1.4,29.7,1.06
88,2020-03-29,KPALANSD37,48.8,45.7,98,1.6,29.58,0.0
