,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
59,2020-03-01,KPAPOTTS60,31.9,16.5,62.0,1.0,30.33
60,2020-03-02,KPAPOTTS60,43.2,17.8,60.0,2.4,30.26
61,2020-03-03,KPAPOTTS60,47.3,34.7,94.0,2.9,29.96
62,2020-03-04,KPAPOTTS60,48.2,27.1,54.0,4.9,30.13
63,2020-03-05,KPAPOTTS60,40.5,19.9,57.0,2.1,30.32
64,2020-03-06,KPAPOTTS60,31.7,22.3,90.0,0.5,30.18
65,2020-03-07,KPAPOTTS60,34.4,12.4,59.0,3.7,30.59
66,2020-03-08,KPAPOTTS60,50.1,20.7,39.0,3.7,30.65
67,2020-03-09,KPAPOTTS60,60.4,25.5,35.0,3.0,30.54
68,2020-03-10,KPAPOTTS60,49.4,30.4,78.0,1.8,30.41
69,2020-03-11,KPAPOTTS60,40.7,26.6,76.0,1.2,30.32
70,2020-03-12,KPAPOTTS60,37.9,28.0,87.0,1.6,30.3
71,2020-03-13,KPAPOTTS60,55.9,18.0,47.0,4.7,30.35
72,2020-03-14,KPAPOTTS60,43.0,20.1,46.0,2.4,30.55
73,2020-03-15,KPAPOTTS60,44.8,11.1,52.0,3.0,30.67
74,2020-03-16,KPAPOTTS60,43.4,12.6,47.0,5.0,30.71
75,2020-03-17,KPAPOTTS60,45.8,31.6,75.0,2.9,30.49
76,2020-03-18,KPAPOTTS60,44.3,24.8,59.0,2.4,30.64
77,2020-03-19,KPAPOTTS60,41.5,37.9,96.0,2.0,30.47
78,2020-03-20,KPAPOTTS60,46.4,46.0,99.0,0.0,30.3
79,2020-03-21,KPAPOTTS60,39.4,17.2,57.0,2.2,30.61
80,2020-03-22,KPAPOTTS60,33.9,13.1,55.0,2.9,30.76
81,2020-03-23,KPAPOTTS60,34.0,28.2,89.0,5.1,30.7
82,2020-03-24,KPAPOTTS60,45.1,33.3,72.0,2.0,30.34
83,2020-03-25,KPAPOTTS60,38.8,31.1,83.0,2.5,30.27
84,2020-03-26,KPAPOTTS60,46.1,32.2,81.0,1.8,30.25
85,2020-03-27,KPAPOTTS60,52.3,36.0,68.0,1.8,30.24
86,2020-03-28,KPAPOTTS60,41.7,36.0,87.0,1.1,30.26
87,2020-03-29,KPAPOTTS60,47.9,47.3,99.0,0.2,30.19
88,2020-03-30,KPAPOTTS60,50.4,36.9,82.0,2.0,30.15
89,2020-03-31,KPAPOTTS60,42.6,37.8,86.0,2.6,30.17
90,2020-04-01,KPAPOTTS60,47.2,22.1,54.0,3.3,30.05
91,2020-04-02,KPAPOTTS60,49.3,25.0,47.0,4.2,30.04
92,2020-04-03,KPAPOTTS60,45.0,24.8,66.0,3.0,30.11
93,2020-04-04,KPAPOTTS60,49.1,39.0,80.0,0.8,30.21
94,2020-04-05,KPAPOTTS60,52.8,39.4,75.0,0.9,30.23
95,2020-04-06,KPAPOTTS60,50.4,23.0,59.0,1.5,30.27
96,2020-04-07,KPAPOTTS60,50.9,29.5,59.0,1.4,30.18
97,2020-04-08,KPAPOTTS60,59.6,36.5,62.0,1.8,29.83
98,2020-04-09,KPAPOTTS60,44.4,36.0,90.0,1.4,29.78
99,2020-04-10,KPAPOTTS60,39.0,20.3,60.0,5.8,30.01
100,2020-04-11,KPAPOTTS60,44.5,20.3,49.0,4.3,30.22
101,2020-04-12,KPAPOTTS60,53.4,23.5,57.0,3.4,30.32
102,2020-04-13,KPAPOTTS60,58.7,36.0,76.0,7.8,30.15
103,2020-04-14,KPAPOTTS60,46.7,27.9,52.0,3.2,30.28
104,2020-04-15,KPAPOTTS60,45.3,17.2,41.0,3.2,30.21
105,2020-04-16,KPAPOTTS60,38.1,14.5,51.0,3.1,30.41
106,2020-04-17,KPAPOTTS60,32.2,19.2,69.0,1.7,30.47
107,2020-04-18,KPAPOTTS60,37.3,25.9,74.0,1.7,30.12
108,2020-04-19,KPAPOTTS60,41.7,23.0,70.0,2.3,30.14
109,2020-04-20,KPAPOTTS60,46.4,18.3,56.0,1.7,29.9
110,2020-04-21,KPAPOTTS60,37.0,20.3,71.0,2.2,29.99
111,2020-04-22,KPAPOTTS60,39.2,13.1,46.0,3.8,30.19
112,2020-04-23,KPAPOTTS60,47.2,15.8,45.0,3.0,30.23
113,2020-04-24,KPAPOTTS60,46.6,43.9,97.0,2.7,30.07
114,2020-04-25,KPAPOTTS60,60.1,47.3,66.0,3.9,30.22
115,2020-04-26,KPAPOTTS60,46.3,23.5,64.0,5.2,30.2
116,2020-04-27,KPAPOTTS60,44.4,32.0,75.0,2.3,30.29
117,2020-04-28,KPAPOTTS60,42.8,29.1,74.0,1.9,30.33
118,2020-04-29,KPAPOTTS60,58.1,42.4,66.0,9.5,30.29
