,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KPASOMER7,24.8,12.9,75,0.4,30.19
61,2020-03-02,KPASOMER7,43.4,21.8,85,0.3,30.03
62,2020-03-03,KPASOMER7,44.9,35.7,98,1.9,29.83
63,2020-03-04,KPASOMER7,40.8,30.2,81,3.0,30.07
64,2020-03-05,KPASOMER7,37.7,23.9,72,1.4,30.17
65,2020-03-06,KPASOMER7,32.8,24.3,89,2.7,30.14
66,2020-03-07,KPASOMER7,31.2,23.5,79,4.9,30.48
67,2020-03-08,KPASOMER7,40.5,16.8,59,0.0,30.53
68,2020-03-09,KPASOMER7,51.3,19.8,44,0.2,30.47
69,2020-03-10,KPASOMER7,48.2,29.5,88,2.6,30.3
70,2020-03-11,KPASOMER7,39.2,33.7,99,0.1,30.22
71,2020-03-12,KPASOMER7,50.2,38.9,89,2.2,30.07
72,2020-03-13,KPASOMER7,49.4,23.6,54,9.3,30.29
73,2020-03-14,KPASOMER7,35.8,21.4,67,5.0,30.44
74,2020-03-15,KPASOMER7,34.6,29.6,95,1.4,30.5
75,2020-03-16,KPASOMER7,34.4,18.6,82,4.0,30.48
76,2020-03-17,KPASOMER7,39.9,36.4,99,2.0,30.37
77,2020-03-18,KPASOMER7,40.1,30.9,94,3.7,30.43
78,2020-03-19,KPASOMER7,55.3,42.7,98,0.8,30.25
79,2020-03-20,KPASOMER7,59.6,41.1,96,5.0,30.2
80,2020-03-21,KPASOMER7,32.7,23.2,89,6.9,30.47
81,2020-03-22,KPASOMER7,34.8,22.2,73,4.8,30.55
82,2020-03-23,KPASOMER7,36.5,32.4,98,3.2,30.42
83,2020-03-24,KPASOMER7,38.0,33.0,97,2.7,30.21
84,2020-03-25,KPASOMER7,38.3,32.5,99,3.0,30.07
85,2020-03-26,KPASOMER7,49.6,31.8,74,0.1,30.08
86,2020-03-27,KPASOMER7,51.5,44.7,94,0.9,30.06
87,2020-03-28,KPASOMER7,55.5,49.5,98,2.8,30.06
88,2020-03-29,KPASOMER7,62.8,40.8,75,1.9,30.04
89,2020-03-30,KPASOMER7,47.8,29.3,71,5.9,30.06
90,2020-03-31,KPASOMER7,38.3,34.2,97,2.5,30.04
91,2020-04-01,KPASOMER7,39.4,25.5,93,5.5,29.98
92,2020-04-02,KPASOMER7,40.8,25.4,67,13.3,30.03
93,2020-04-03,KPASOMER7,44.6,22.1,57,13.3,30.01
94,2020-04-04,KPASOMER7,42.2,33.9,90,0.9,30.09
95,2020-04-05,KPASOMER7,49.1,34.8,86,1.0,30.13
96,2020-04-06,KPASOMER7,51.9,27.8,58,1.2,30.16
97,2020-04-07,KPASOMER7,51.5,32.4,84,0.1,30.06
98,2020-04-08,KPASOMER7,54.7,43.0,86,4.2,29.75
99,2020-04-09,KPASOMER7,42.1,25.7,92,6.4,29.66
100,2020-04-10,KPASOMER7,31.9,22.5,79,9.8,29.93
101,2020-04-11,KPASOMER7,39.0,26.1,71,4.7,30.07
102,2020-04-12,KPASOMER7,49.9,28.2,68,1.4,30.08
103,2020-04-13,KPASOMER7,52.3,32.6,96,5.2,30.1
