,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,Precipin
13,2020-03-01,KPATANNE10,29.0,8.1,55,1.0,29.79,0.0
14,2020-03-02,KPATANNE10,43.3,14.7,49,1.1,29.77,0.0
15,2020-03-03,KPATANNE10,47.2,34.5,90,0.9,29.47,0.38
16,2020-03-04,KPATANNE10,41.6,21.9,67,1.3,29.59,0.02
17,2020-03-05,KPATANNE10,38.7,18.3,53,1.0,29.81,0.0
18,2020-03-06,KPATANNE10,35.0,20.1,77,0.6,29.7,0.02
19,2020-03-07,KPATANNE10,33.3,7.9,54,2.0,30.06,0.0
20,2020-03-08,KPATANNE10,41.5,10.6,39,0.9,30.11,0.0
21,2020-03-09,KPATANNE10,52.5,13.5,31,0.9,30.02,0.0
22,2020-03-10,KPATANNE10,52.4,25.5,62,0.7,29.92,0.02
23,2020-03-11,KPATANNE10,43.0,17.6,54,0.9,29.81,0.0
24,2020-03-12,KPATANNE10,41.6,19.6,64,1.0,29.82,0.07
25,2020-03-13,KPATANNE10,51.4,14.7,54,1.3,29.82,0.58
26,2020-03-14,KPATANNE10,40.7,17.8,45,1.0,30.04,0.0
27,2020-03-15,KPATANNE10,39.7,3.9,45,0.6,30.18,0.0
28,2020-03-16,KPATANNE10,33.9,6.4,52,1.6,30.22,0.0
29,2020-03-17,KPATANNE10,40.0,27.5,81,1.1,30.02,0.0
30,2020-03-18,KPATANNE10,41.9,21.6,57,1.1,30.14,0.02
31,2020-03-19,KPATANNE10,40.1,34.7,97,0.3,30.0,0.99
32,2020-03-20,KPATANNE10,54.0,42.3,87,1.1,29.83,0.11
33,2020-03-21,KPATANNE10,39.0,6.8,51,1.5,30.1,0.0
34,2020-03-22,KPATANNE10,32.7,8.2,50,1.6,30.28,0.0
35,2020-03-23,KPATANNE10,32.2,23.5,91,1.2,30.25,0.77
36,2020-03-24,KPATANNE10,38.7,29.5,80,1.0,29.84,0.0
37,2020-03-25,KPATANNE10,36.7,28.4,82,1.0,29.81,0.0
38,2020-03-26,KPATANNE10,42.1,28.2,78,1.0,29.74,0.0
39,2020-03-27,KPATANNE10,52.1,16.7,53,0.9,29.76,0.0
40,2020-03-28,KPATANNE10,41.3,21.2,80,0.3,29.8,0.74
41,2020-03-29,KPATANNE10,43.5,39.7,99,0.4,29.78,0.1
42,2020-03-30,KPATANNE10,47.2,37.2,88,0.4,29.65,0.02
43,2020-03-31,KPATANNE10,40.1,37.2,95,0.1,29.7,0.12
44,2020-04-01,KPATANNE10,41.7,20.3,68,0.9,29.57,0.02
45,2020-04-02,KPATANNE10,41.6,22.5,54,2.6,29.5,0.0
46,2020-04-03,KPATANNE10,43.9,25.2,69,2.3,29.59,0.0
47,2020-04-04,KPATANNE10,49.3,40.1,77,0.5,29.71,0.0
48,2020-04-05,KPATANNE10,55.2,41.2,65,0.3,29.73,0.01
49,2020-04-06,KPATANNE10,50.0,12.9,51,0.9,29.76,0.1
50,2020-04-07,KPATANNE10,54.0,19.4,42,0.6,29.69,0.0
51,2020-04-08,KPATANNE10,54.9,37.0,72,0.8,29.37,0.26
52,2020-04-09,KPATANNE10,45.3,19.2,77,1.7,29.33,0.3
53,2020-04-10,KPATANNE10,37.0,19.9,67,2.6,29.45,0.01
54,2020-04-11,KPATANNE10,39.6,15.3,45,1.4,29.73,0.0
55,2020-04-12,KPATANNE10,49.7,17.2,48,1.8,29.84,0.0
56,2020-04-13,KPATANNE10,56.3,34.5,90,3.1,29.69,2.59
57,2020-04-14,KPATANNE10,43.9,21.9,54,1.2,29.78,0.0
58,2020-04-15,KPATANNE10,39.2,11.3,52,1.1,29.69,0.0
59,2020-04-16,KPATANNE10,35.7,8.6,58,1.3,29.89,0.0
60,2020-04-17,KPATANNE10,33.5,16.5,72,0.7,29.96,0.07
61,2020-04-18,KPATANNE10,36.9,22.6,81,0.9,29.61,0.39
62,2020-04-19,KPATANNE10,45.5,23.4,54,1.0,29.62,0.0
63,2020-04-20,KPATANNE10,46.3,12.9,47,1.0,29.43,0.0
64,2020-04-21,KPATANNE10,41.2,18.1,65,1.3,29.44,0.14
65,2020-04-22,KPATANNE10,36.9,8.6,41,2.0,29.69,0.0
66,2020-04-23,KPATANNE10,40.5,14.4,50,0.3,29.75,0.02
67,2020-04-24,KPATANNE10,43.0,37.0,97,0.0,29.58,0.59
68,2020-04-25,KPATANNE10,51.9,27.5,76,0.4,29.75,0.01
69,2020-04-26,KPATANNE10,40.8,21.4,84,0.6,29.74,1.2
70,2020-04-27,KPATANNE10,40.7,33.4,84,1.1,29.77,0.03
71,2020-04-28,KPATANNE10,49.3,20.8,57,0.9,29.83,0.01
72,2020-04-29,KPATANNE10,48.9,37.4,74,2.2,29.86,0.01
73,2020-04-30,KPATANNE10,53.3,42.8,95,4.0,29.8,1.22
74,2020-05-01,KPATANNE10,55.0,44.4,85,0.5,29.55,0.22
75,2020-05-02,KPATANNE10,57.3,32.4,54,1.0,29.74,0.0
76,2020-05-03,KPATANNE10,64.6,37.6,54,1.0,29.59,0.0
77,2020-05-04,KPATANNE10,54.2,30.6,51,1.7,29.63,0.0
78,2020-05-05,KPATANNE10,47.3,11.7,39,0.8,29.64,0.0
79,2020-05-06,KPATANNE10,44.6,18.9,66,0.2,29.58,0.08
80,2020-05-07,KPATANNE10,50.4,14.5,50,1.0,29.53,0.05
81,2020-05-08,KPATANNE10,39.8,26.1,86,0.6,29.56,0.74
82,2020-05-09,KPATANNE10,34.2,14.2,56,2.3,29.74,0.0
83,2020-05-10,KPATANNE10,46.0,19.8,47,0.9,29.77,0.0
84,2020-05-11,KPATANNE10,45.0,30.0,70,1.0,29.65,0.11
85,2020-05-12,KPATANNE10,45.3,11.8,46,1.5,29.87,0.0
86,2020-05-13,KPATANNE10,46.2,16.9,46,0.9,29.99,0.0
87,2020-05-14,KPATANNE10,55.8,20.5,44,1.2,30.01,0.0
88,2020-05-15,KPATANNE10,67.4,50.4,73,0.6,29.73,0.24
89,2020-05-16,KPATANNE10,63.7,42.8,64,0.9,29.87,0.01
