,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KTNBRIGH2,56.6,32.0,59,5.8,29.8
61,2020-03-02,KTNBRIGH2,62.2,48.0,84,6.6,29.57
62,2020-03-03,KTNBRIGH2,57.8,40.0,76,4.1,29.63
63,2020-03-04,KTNBRIGH2,55.1,38.0,72,2.0,29.72
64,2020-03-05,KTNBRIGH2,54.8,26.0,54,4.1,29.89
65,2020-03-06,KTNBRIGH2,46.5,24.0,51,5.8,30.14
66,2020-03-07,KTNBRIGH2,43.1,21.0,59,2.4,30.24
67,2020-03-08,KTNBRIGH2,55.1,26.0,42,3.9,30.12
68,2020-03-09,KTNBRIGH2,59.9,37.0,74,6.0,30.0
69,2020-03-10,KTNBRIGH2,56.3,43.0,88,5.3,29.94
70,2020-03-11,KTNBRIGH2,52.3,41.0,94,2.1,29.88
71,2020-03-12,KTNBRIGH2,65.9,57.0,88,6.3,29.63
72,2020-03-13,KTNBRIGH2,53.6,33.0,63,7.7,29.98
73,2020-03-14,KTNBRIGH2,48.1,36.0,86,4.9,30.03
74,2020-03-15,KTNBRIGH2,43.6,38.0,90,6.8,30.13
75,2020-03-16,KTNBRIGH2,45.0,38.0,93,2.9,30.05
76,2020-03-17,KTNBRIGH2,50.6,47.0,93,4.4,29.97
77,2020-03-18,KTNBRIGH2,61.6,48.0,93,4.2,29.86
78,2020-03-19,KTNBRIGH2,70.6,62.0,86,5.5,29.76
79,2020-03-20,KTNBRIGH2,64.9,41.0,83,8.7,30.06
80,2020-03-21,KTNBRIGH2,45.9,37.0,78,5.8,30.16
81,2020-03-22,KTNBRIGH2,45.2,36.0,89,3.6,30.07
82,2020-03-23,KTNBRIGH2,53.3,47.0,88,3.0,29.86
83,2020-03-24,KTNBRIGH2,56.9,49.0,95,5.4,29.74
84,2020-03-25,KTNBRIGH2,52.0,46.0,92,3.1,29.71
85,2020-03-26,KTNBRIGH2,68.3,47.0,71,5.6,29.61
86,2020-03-27,KTNBRIGH2,75.3,62.0,70,7.0,29.52
87,2020-03-28,KTNBRIGH2,73.7,61.0,79,6.7,29.5
88,2020-03-29,KTNBRIGH2,60.9,38.0,61,6.2,29.85
