,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KTNCLEVE58,46.9,18.1,51,1.2,30.0
61,2020-03-02,KTNCLEVE58,51.6,35.1,85,2.8,29.83
62,2020-03-03,KTNCLEVE58,60.5,43.0,79,1.7,29.67
63,2020-03-04,KTNCLEVE58,54.5,37.9,65,0.4,29.77
64,2020-03-05,KTNCLEVE58,49.4,42.4,89,0.4,29.8
65,2020-03-06,KTNCLEVE58,44.3,25.9,66,2.8,30.12
66,2020-03-07,KTNCLEVE58,41.7,23.9,57,1.2,30.24
67,2020-03-08,KTNCLEVE58,49.9,26.2,50,1.3,30.28
68,2020-03-09,KTNCLEVE58,56.1,29.8,57,2.0,30.24
69,2020-03-10,KTNCLEVE58,57.7,47.3,87,2.5,30.06
70,2020-03-11,KTNCLEVE58,61.1,52.2,87,1.0,29.92
71,2020-03-12,KTNCLEVE58,61.8,52.3,92,1.8,29.75
72,2020-03-13,KTNCLEVE58,62.2,40.8,72,0.9,30.01
73,2020-03-14,KTNCLEVE58,55.0,37.4,74,0.5,30.04
74,2020-03-15,KTNCLEVE58,52.9,43.5,95,0.8,30.09
75,2020-03-16,KTNCLEVE58,49.4,43.2,94,0.3,30.07
76,2020-03-17,KTNCLEVE58,55.9,50.4,95,0.9,29.99
77,2020-03-18,KTNCLEVE58,60.6,52.9,92,1.0,29.99
78,2020-03-19,KTNCLEVE58,68.8,58.6,79,2.3,29.95
79,2020-03-20,KTNCLEVE58,64.9,58.8,90,2.0,29.99
80,2020-03-21,KTNCLEVE58,54.7,40.6,87,1.3,30.11
81,2020-03-22,KTNCLEVE58,51.6,39.0,80,1.3,30.08
82,2020-03-23,KTNCLEVE58,54.7,50.0,95,1.2,29.94
83,2020-03-24,KTNCLEVE58,57.5,54.7,99,0.4,29.83
84,2020-03-25,KTNCLEVE58,58.8,48.7,82,0.8,29.71
85,2020-03-26,KTNCLEVE58,61.6,43.9,73,1.6,29.78
86,2020-03-27,KTNCLEVE58,72.7,54.7,66,1.8,29.7
87,2020-03-28,KTNCLEVE58,73.0,60.4,73,1.8,29.72
88,2020-03-29,KTNCLEVE58,70.4,37.2,59,1.5,29.86
89,2020-03-30,KTNCLEVE58,61.8,36.7,47,0.7,29.95
90,2020-03-31,KTNCLEVE58,49.7,37.9,83,0.9,29.72
91,2020-04-01,KTNCLEVE58,47.0,35.2,73,1.0,29.79
92,2020-04-02,KTNCLEVE58,50.7,35.6,67,0.9,29.88
93,2020-04-03,KTNCLEVE58,58.0,37.2,56,0.9,29.83
94,2020-04-04,KTNCLEVE58,65.0,41.0,49,0.8,29.78
95,2020-04-05,KTNCLEVE58,67.6,44.1,53,0.6,29.79
96,2020-04-06,KTNCLEVE58,69.1,50.0,59,0.4,29.86
97,2020-04-07,KTNCLEVE58,69.1,52.7,70,1.1,29.8
98,2020-04-08,KTNCLEVE58,69.9,56.3,78,0.9,29.68
99,2020-04-09,KTNCLEVE58,63.5,32.9,65,1.8,29.59
100,2020-04-10,KTNCLEVE58,50.8,22.3,43,2.0,29.82
101,2020-04-11,KTNCLEVE58,53.3,27.1,49,0.8,29.85
102,2020-04-12,KTNCLEVE58,59.7,34.0,74,1.2,29.75
103,2020-04-13,KTNCLEVE58,57.8,41.0,79,2.2,29.87
104,2020-04-14,KTNCLEVE58,49.1,31.8,68,1.5,29.86
105,2020-04-15,KTNCLEVE58,46.0,20.3,52,1.3,29.89
106,2020-04-16,KTNCLEVE58,50.2,23.7,55,0.7,30.06
107,2020-04-17,KTNCLEVE58,58.6,32.5,59,1.8,29.98
108,2020-04-18,KTNCLEVE58,54.9,32.9,69,1.3,29.84
109,2020-04-19,KTNCLEVE58,51.2,37.6,83,0.5,29.74
110,2020-04-20,KTNCLEVE58,59.0,39.6,74,1.0,29.6
111,2020-04-21,KTNCLEVE58,62.0,35.8,57,1.8,29.77
112,2020-04-22,KTNCLEVE58,58.5,30.2,51,0.3,29.88
113,2020-04-23,KTNCLEVE58,58.3,49.8,87,2.9,29.81
114,2020-04-24,KTNCLEVE58,61.3,52.5,85,0.6,29.6
115,2020-04-25,KTNCLEVE58,60.8,50.4,83,1.0,29.63
116,2020-04-26,KTNCLEVE58,52.3,42.6,79,1.2,29.89
117,2020-04-27,KTNCLEVE58,54.2,39.6,70,0.5,29.97
118,2020-04-28,KTNCLEVE58,63.1,41.7,59,1.1,29.94
119,2020-04-29,KTNCLEVE58,62.3,46.8,74,2.7,29.7
120,2020-04-30,KTNCLEVE58,54.4,45.9,85,0.5,29.66
121,2020-05-01,KTNCLEVE58,60.9,38.3,58,1.1,29.84
122,2020-05-02,KTNCLEVE58,66.2,41.4,58,0.7,29.93
123,2020-05-03,KTNCLEVE58,71.1,52.7,64,1.1,29.84
124,2020-05-04,KTNCLEVE58,69.8,57.2,79,0.3,29.75
125,2020-05-05,KTNCLEVE58,66.5,49.3,89,1.6,29.75
126,2020-05-06,KTNCLEVE58,53.2,39.0,74,1.5,29.83
127,2020-05-07,KTNCLEVE58,53.1,36.1,67,0.7,29.9
128,2020-05-08,KTNCLEVE58,51.6,41.2,85,1.0,29.8
129,2020-05-09,KTNCLEVE58,48.9,28.4,62,0.9,30.0
130,2020-05-10,KTNCLEVE58,54.8,32.7,60,0.6,29.99
131,2020-05-11,KTNCLEVE58,54.6,31.3,52,1.7,29.97
132,2020-05-12,KTNCLEVE58,52.7,35.6,67,0.3,30.04
133,2020-05-13,KTNCLEVE58,59.6,46.6,79,0.4,30.02
134,2020-05-14,KTNCLEVE58,67.8,54.9,76,1.2,30.01
135,2020-05-15,KTNCLEVE58,71.7,57.4,67,1.7,29.89
136,2020-05-16,KTNCLEVE58,72.8,56.3,68,0.5,29.82
137,2020-05-17,KTNCLEVE58,73.3,58.1,73,1.2,29.76
138,2020-05-18,KTNCLEVE58,69.4,63.7,92,0.7,29.66
139,2020-05-19,KTNCLEVE58,64.5,55.9,85,0.7,29.59
140,2020-05-20,KTNCLEVE58,60.7,55.2,95,0.2,29.71
141,2020-05-21,KTNCLEVE58,63.0,56.1,88,0.2,29.8
142,2020-05-22,KTNCLEVE58,64.6,56.3,94,0.3,29.85
143,2020-05-23,KTNCLEVE58,72.2,62.8,87,0.6,29.86
144,2020-05-24,KTNCLEVE58,75.7,63.3,76,0.5,29.85
145,2020-05-25,KTNCLEVE58,75.3,63.7,79,0.5,29.83
146,2020-05-26,KTNCLEVE58,72.6,62.2,81,0.7,29.83
147,2020-05-27,KTNCLEVE58,71.5,60.8,83,0.4,29.76
148,2020-05-28,KTNCLEVE58,69.6,62.6,89,0.5,29.79
149,2020-05-29,KTNCLEVE58,73.8,60.3,77,0.5,29.79
150,2020-05-30,KTNCLEVE58,72.5,56.8,73,0.8,29.82
151,2020-05-31,KTNCLEVE58,69.1,51.3,66,0.8,29.92
152,2020-06-01,KTNCLEVE58,69.8,48.7,65,0.6,29.99
153,2020-06-02,KTNCLEVE58,74.5,59.7,73,0.8,29.96
154,2020-06-03,KTNCLEVE58,77.8,64.6,76,0.6,29.83
155,2020-06-04,KTNCLEVE58,77.7,66.0,76,1.2,29.73
156,2020-06-05,KTNCLEVE58,76.7,67.3,81,0.9,29.73
157,2020-06-06,KTNCLEVE58,76.9,65.5,79,0.2,29.79
158,2020-06-07,KTNCLEVE58,79.5,67.6,76,0.4,29.73
159,2020-06-08,KTNCLEVE58,78.9,67.8,78,0.9,29.7
160,2020-06-09,KTNCLEVE58,77.8,69.6,83,2.2,29.71
161,2020-06-10,KTNCLEVE58,77.3,66.0,89,2.1,29.72
162,2020-06-11,KTNCLEVE58,72.3,57.6,71,1.0,29.93
163,2020-06-12,KTNCLEVE58,72.2,54.1,61,0.9,29.97
164,2020-06-13,KTNCLEVE58,73.6,53.4,59,0.5,29.9
165,2020-06-14,KTNCLEVE58,71.1,54.1,71,0.7,29.94
166,2020-06-15,KTNCLEVE58,66.9,56.7,81,0.4,29.96
167,2020-06-16,KTNCLEVE58,64.6,55.2,82,0.6,29.98
168,2020-06-17,KTNCLEVE58,65.2,54.7,81,0.4,29.89
169,2020-06-18,KTNCLEVE58,68.5,58.6,84,0.3,29.84
170,2020-06-19,KTNCLEVE58,73.1,60.1,77,0.6,29.87
171,2020-06-20,KTNCLEVE58,75.7,61.3,74,0.3,29.86
172,2020-06-21,KTNCLEVE58,74.8,64.0,80,1.0,29.78
173,2020-06-22,KTNCLEVE58,74.3,65.5,85,1.1,29.79
174,2020-06-23,KTNCLEVE58,75.1,66.4,85,1.3,29.72
175,2020-06-24,KTNCLEVE58,74.0,65.1,85,0.8,29.71
176,2020-06-25,KTNCLEVE58,74.1,66.4,85,0.6,29.86
177,2020-06-26,KTNCLEVE58,71.6,64.4,91,0.8,29.94
178,2020-06-27,KTNCLEVE58,71.5,64.9,89,1.1,29.88
179,2020-06-28,KTNCLEVE58,76.3,66.0,84,0.9,29.76
180,2020-06-29,KTNCLEVE58,76.0,66.6,87,0.4,29.8
181,2020-06-30,KTNCLEVE58,73.4,67.8,91,0.5,29.78
182,2020-07-01,KTNCLEVE58,73.6,67.5,88,0.6,29.73
183,2020-07-02,KTNCLEVE58,77.9,66.6,80,0.5,29.72
184,2020-07-03,KTNCLEVE58,79.8,64.2,72,0.5,29.76
185,2020-07-04,KTNCLEVE58,79.6,65.3,76,0.4,29.74
186,2020-07-05,KTNCLEVE58,79.5,67.3,80,0.5,29.74
187,2020-07-06,KTNCLEVE58,78.7,68.0,79,0.5,29.79
188,2020-07-07,KTNCLEVE58,78.2,68.7,81,0.5,29.78
189,2020-07-08,KTNCLEVE58,77.4,67.6,84,0.6,29.75
190,2020-07-09,KTNCLEVE58,79.3,68.9,81,0.6,29.73
191,2020-07-10,KTNCLEVE58,81.8,68.9,77,0.9,29.72
192,2020-07-11,KTNCLEVE58,79.9,62.4,66,1.3,29.73
193,2020-07-12,KTNCLEVE58,73.9,62.2,78,0.7,29.71
194,2020-07-13,KTNCLEVE58,77.9,64.6,75,0.6,29.71
195,2020-07-14,KTNCLEVE58,79.9,63.7,65,0.5,29.79
196,2020-07-15,KTNCLEVE58,81.7,63.0,68,0.8,29.84
197,2020-07-16,KTNCLEVE58,84.1,70.5,72,1.2,29.9
198,2020-07-17,KTNCLEVE58,84.6,69.6,70,0.7,29.96
199,2020-07-18,KTNCLEVE58,82.6,70.9,75,0.6,29.91
200,2020-07-19,KTNCLEVE58,82.3,70.9,78,0.6,29.86
201,2020-07-20,KTNCLEVE58,84.4,69.4,70,0.5,29.83
202,2020-07-21,KTNCLEVE58,79.9,67.3,75,1.0,29.87
203,2020-07-22,KTNCLEVE58,80.0,68.2,77,0.9,29.89
204,2020-07-23,KTNCLEVE58,79.8,68.9,78,0.9,29.92
205,2020-07-24,KTNCLEVE58,78.9,69.1,80,0.7,29.95
206,2020-07-25,KTNCLEVE58,76.1,67.8,86,0.5,29.94
207,2020-07-26,KTNCLEVE58,78.8,66.2,76,0.7,29.95
208,2020-07-27,KTNCLEVE58,78.5,68.4,81,0.4,29.86
209,2020-07-28,KTNCLEVE58,76.8,68.4,88,0.4,29.81
210,2020-07-29,KTNCLEVE58,78.9,70.2,83,0.6,29.8
211,2020-07-30,KTNCLEVE58,77.1,70.7,92,0.7,29.75
212,2020-07-31,KTNCLEVE58,79.3,71.2,86,1.1,29.68
213,2020-08-01,KTNCLEVE58,79.3,66.2,77,1.5,29.7
214,2020-08-02,KTNCLEVE58,76.8,65.5,74,0.6,29.77
215,2020-08-03,KTNCLEVE58,74.3,62.1,83,0.4,29.79
216,2020-08-04,KTNCLEVE58,72.0,63.1,89,0.5,29.77
217,2020-08-05,KTNCLEVE58,74.3,66.6,88,0.4,29.79
218,2020-08-06,KTNCLEVE58,74.1,68.2,90,0.4,29.8
219,2020-08-07,KTNCLEVE58,77.7,66.9,81,0.5,29.86
220,2020-08-08,KTNCLEVE58,79.5,66.0,75,0.4,29.91
221,2020-08-09,KTNCLEVE58,80.2,65.1,73,0.4,29.92
222,2020-08-10,KTNCLEVE58,75.6,68.7,88,0.3,29.88
223,2020-08-11,KTNCLEVE58,79.5,69.3,81,0.5,29.81
224,2020-08-12,KTNCLEVE58,79.1,68.0,81,0.4,29.79
225,2020-08-13,KTNCLEVE58,76.4,66.0,89,0.5,29.81
226,2020-08-14,KTNCLEVE58,74.7,70.7,93,0.5,29.75
227,2020-08-15,KTNCLEVE58,75.4,71.1,92,0.3,29.68
228,2020-08-16,KTNCLEVE58,77.5,67.5,81,0.4,29.73
229,2020-08-17,KTNCLEVE58,76.7,61.7,75,0.5,29.8
230,2020-08-18,KTNCLEVE58,76.4,61.7,72,0.5,29.75
231,2020-08-19,KTNCLEVE58,73.0,64.9,85,0.4,29.68
232,2020-08-20,KTNCLEVE58,72.5,65.1,86,0.5,29.73
233,2020-08-21,KTNCLEVE58,70.4,65.8,95,0.2,29.72
