,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,Precipin
60,2020-03-01,KTNLEWIS8,50.9,25.0,57,3.1,30.22,0.08
61,2020-03-02,KTNLEWIS8,55.5,45.0,89,3.3,30.06,0.79
62,2020-03-03,KTNLEWIS8,61.7,45.0,74,2.6,29.94,0.31
63,2020-03-04,KTNLEWIS8,53.2,36.0,72,0.2,30.07,0.0
64,2020-03-05,KTNLEWIS8,53.0,36.0,64,0.3,30.09,0.0
65,2020-03-06,KTNLEWIS8,47.4,23.0,49,3.9,30.48,0.0
66,2020-03-07,KTNLEWIS8,39.5,23.0,65,2.0,30.58,0.0
67,2020-03-08,KTNLEWIS8,49.8,26.0,53,2.4,30.53,0.0
68,2020-03-09,KTNLEWIS8,59.3,31.0,57,3.9,30.44,0.0
69,2020-03-10,KTNLEWIS8,60.5,49.0,82,3.7,30.21,0.11
70,2020-03-11,KTNLEWIS8,56.6,43.0,86,0.9,30.18,0.0
71,2020-03-12,KTNLEWIS8,65.8,54.0,80,3.1,29.97,0.02
72,2020-03-13,KTNLEWIS8,57.0,35.0,64,5.1,30.31,0.35
73,2020-03-14,KTNLEWIS8,56.0,36.0,71,2.1,30.32,0.34
74,2020-03-15,KTNLEWIS8,44.4,39.0,89,5.1,30.41,0.4
75,2020-03-16,KTNLEWIS8,48.5,39.0,88,0.9,30.38,0.09
76,2020-03-17,KTNLEWIS8,55.0,50.0,91,1.2,30.26,0.14
77,2020-03-18,KTNLEWIS8,63.4,47.0,82,2.2,30.22,0.05
78,2020-03-19,KTNLEWIS8,69.2,61.0,81,2.7,30.14,0.07
79,2020-03-20,KTNLEWIS8,65.8,50.0,85,3.2,30.26,0.56
80,2020-03-21,KTNLEWIS8,46.2,36.0,85,3.6,30.42,0.01
81,2020-03-22,KTNLEWIS8,50.0,36.0,80,1.2,30.37,0.04
82,2020-03-23,KTNLEWIS8,56.9,51.0,89,1.1,30.13,0.87
83,2020-03-24,KTNLEWIS8,59.4,51.0,89,1.0,30.07,1.01
84,2020-03-25,KTNLEWIS8,53.2,42.0,85,1.6,30.0,0.34
85,2020-03-26,KTNLEWIS8,62.9,39.0,69,2.8,29.98,0.01
86,2020-03-27,KTNLEWIS8,74.7,58.0,66,2.9,29.86,0.0
87,2020-03-28,KTNLEWIS8,74.2,63.0,72,2.8,29.88,0.0
88,2020-03-29,KTNLEWIS8,65.9,35.0,62,3.1,30.15,0.79
89,2020-03-30,KTNLEWIS8,56.9,41.0,67,0.2,30.21,0.0
90,2020-03-31,KTNLEWIS8,49.1,40.0,85,3.9,30.01,0.74
91,2020-04-01,KTNLEWIS8,47.8,35.0,71,2.2,30.1,0.0
92,2020-04-02,KTNLEWIS8,50.2,32.0,69,1.3,30.19,0.0
93,2020-04-03,KTNLEWIS8,58.4,37.0,60,0.7,30.1,0.0
94,2020-04-04,KTNLEWIS8,63.9,48.0,63,1.0,30.04,0.0
95,2020-04-05,KTNLEWIS8,63.2,46.0,69,0.6,30.06,0.0
96,2020-04-06,KTNLEWIS8,65.5,46.0,68,0.9,30.1,0.0
97,2020-04-07,KTNLEWIS8,67.3,56.0,78,2.0,30.0,0.0
98,2020-04-08,KTNLEWIS8,69.7,59.0,80,1.8,29.88,0.01
99,2020-04-09,KTNLEWIS8,62.3,32.0,57,2.4,29.91,0.02
100,2020-04-10,KTNLEWIS8,48.4,22.0,48,3.7,30.15,0.0
101,2020-04-11,KTNLEWIS8,51.9,25.0,57,1.0,30.11,0.0
102,2020-04-12,KTNLEWIS8,58.9,38.0,82,3.4,29.93,2.55
103,2020-04-13,KTNLEWIS8,51.8,38.0,82,2.9,30.17,0.06
104,2020-04-14,KTNLEWIS8,42.6,31.0,73,4.0,30.23,0.0
105,2020-04-15,KTNLEWIS8,43.9,23.0,63,0.8,30.2,0.0
106,2020-04-16,KTNLEWIS8,48.7,30.0,64,0.8,30.34,0.0
107,2020-04-17,KTNLEWIS8,61.9,36.0,55,3.6,30.21,0.01
108,2020-04-18,KTNLEWIS8,47.8,36.0,77,2.8,30.17,0.46
109,2020-04-19,KTNLEWIS8,52.9,36.0,85,0.9,29.99,0.23
110,2020-04-20,KTNLEWIS8,59.1,45.0,71,1.3,29.85,0.49
111,2020-04-21,KTNLEWIS8,62.6,36.0,59,1.3,30.04,0.0
112,2020-04-22,KTNLEWIS8,55.4,34.0,66,1.0,30.12,0.33
113,2020-04-23,KTNLEWIS8,60.3,50.0,85,4.0,29.91,0.45
114,2020-04-24,KTNLEWIS8,61.4,50.0,78,0.7,29.87,0.01
115,2020-04-25,KTNLEWIS8,57.9,48.0,84,2.4,29.91,0.27
116,2020-04-26,KTNLEWIS8,50.6,37.0,77,1.7,30.2,0.0
117,2020-04-27,KTNLEWIS8,54.3,33.0,66,0.3,30.28,0.0
