,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KTXHALLE18,64.7,54.7,90,1.2,29.87
61,2020-03-02,KTXHALLE18,70.2,64.0,90,1.1,29.69
62,2020-03-03,KTXHALLE18,71.9,66.6,88,1.0,29.63
63,2020-03-04,KTXHALLE18,66.8,52.5,90,1.8,29.82
64,2020-03-05,KTXHALLE18,60.2,39.7,65,1.9,30.16
65,2020-03-06,KTXHALLE18,57.3,28.2,53,1.1,30.31
66,2020-03-07,KTXHALLE18,53.4,37.6,76,0.9,30.25
67,2020-03-08,KTXHALLE18,60.8,47.7,80,2.1,30.1
68,2020-03-09,KTXHALLE18,67.6,61.3,89,1.2,30.05
69,2020-03-10,KTXHALLE18,70.2,61.9,87,0.7,30.09
70,2020-03-11,KTXHALLE18,72.0,63.7,82,1.2,29.99
71,2020-03-12,KTXHALLE18,73.8,64.4,79,1.8,29.77
72,2020-03-13,KTXHALLE18,74.9,66.9,81,2.1,29.84
73,2020-03-14,KTXHALLE18,75.7,66.7,82,1.7,29.94
74,2020-03-15,KTXHALLE18,73.8,66.0,87,1.2,30.04
75,2020-03-16,KTXHALLE18,68.8,63.3,94,0.8,30.01
76,2020-03-17,KTXHALLE18,73.1,68.2,90,1.6,29.92
77,2020-03-18,KTXHALLE18,74.1,67.3,87,1.7,29.86
78,2020-03-19,KTXHALLE18,75.6,68.5,84,1.8,29.86
79,2020-03-20,KTXHALLE18,53.2,50.2,97,2.1,30.11
80,2020-03-21,KTXHALLE18,53.4,49.1,97,1.3,30.12
81,2020-03-22,KTXHALLE18,65.2,57.0,97,0.4,29.98
82,2020-03-23,KTXHALLE18,75.0,68.9,87,1.3,29.89
83,2020-03-24,KTXHALLE18,76.6,65.8,82,0.7,29.75
84,2020-03-25,KTXHALLE18,75.7,68.9,87,0.8,29.75
85,2020-03-26,KTXHALLE18,75.8,66.0,84,1.4,29.71
86,2020-03-27,KTXHALLE18,78.0,64.9,80,1.8,29.62
87,2020-03-28,KTXHALLE18,70.8,50.5,83,0.9,29.79
88,2020-03-29,KTXHALLE18,63.1,40.6,64,0.6,29.94
89,2020-03-30,KTXHALLE18,72.0,53.8,81,0.7,29.88
90,2020-03-31,KTXHALLE18,66.8,52.5,81,1.3,29.86
91,2020-04-01,KTXHALLE18,62.2,49.3,73,0.9,29.84
92,2020-04-02,KTXHALLE18,67.9,56.5,87,1.1,29.74
93,2020-04-03,KTXHALLE18,65.4,52.9,95,1.0,29.81
94,2020-04-04,KTXHALLE18,49.4,46.4,99,1.9,29.84
95,2020-04-05,KTXHALLE18,61.0,50.9,91,1.0,29.86
96,2020-04-06,KTXHALLE18,70.1,61.5,94,0.3,29.81
97,2020-04-07,KTXHALLE18,77.0,71.4,90,0.3,29.82
98,2020-04-08,KTXHALLE18,79.1,71.1,86,0.4,29.76
99,2020-04-09,KTXHALLE18,76.2,64.8,88,0.7,29.77
100,2020-04-10,KTXHALLE18,67.0,59.9,85,1.0,29.84
101,2020-04-11,KTXHALLE18,43.7,59.2,85,1.7,29.76
102,2020-04-12,KTXHALLE18,77.8,33.8,66,1.7,29.6
103,2020-04-13,KTXHALLE18,57.8,38.7,66,2.1,29.94
104,2020-04-14,KTXHALLE18,56.6,45.0,74,1.7,29.99
105,2020-04-15,KTXHALLE18,57.4,41.5,67,0.9,30.03
106,2020-04-16,KTXHALLE18,63.3,44.2,72,1.0,29.96
107,2020-04-17,KTXHALLE18,68.3,55.8,92,0.6,29.87
108,2020-04-18,KTXHALLE18,60.1,53.1,95,0.9,29.87
109,2020-04-19,KTXHALLE18,74.8,62.6,91,0.6,29.64
110,2020-04-20,KTXHALLE18,71.8,52.7,86,0.7,29.7
111,2020-04-21,KTXHALLE18,75.0,59.7,79,1.1,29.79
112,2020-04-22,KTXHALLE18,77.7,67.5,90,1.0,29.71
113,2020-04-23,KTXHALLE18,77.1,51.3,67,1.2,29.62
114,2020-04-24,KTXHALLE18,76.1,54.9,69,0.7,29.67
115,2020-04-25,KTXHALLE18,68.4,48.6,58,1.2,29.94
116,2020-04-26,KTXHALLE18,71.0,50.9,64,0.6,30.02
117,2020-04-27,KTXHALLE18,72.4,57.2,78,1.3,29.93
118,2020-04-28,KTXHALLE18,80.1,70.3,82,1.4,29.83
119,2020-04-29,KTXHALLE18,72.2,47.1,78,1.4,29.9
120,2020-04-30,KTXHALLE18,65.7,47.7,65,0.3,29.96
121,2020-05-01,KTXHALLE18,70.9,54.1,72,0.9,29.88
122,2020-05-02,KTXHALLE18,74.1,61.0,83,0.9,29.85
123,2020-05-03,KTXHALLE18,77.6,65.5,79,0.9,29.81
124,2020-05-04,KTXHALLE18,79.6,70.5,82,1.0,29.73
125,2020-05-05,KTXHALLE18,79.6,62.8,78,1.1,29.86
