,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,Precipin
60,2020-03-01,KTXHAMIL13,63.0,48.7,72,5.8,29.95,0.0
61,2020-03-02,KTXHAMIL13,63.5,49.8,85,2.3,29.83,0.0
62,2020-03-03,KTXHAMIL13,63.7,45.9,72,1.9,29.87,0.0
63,2020-03-04,KTXHAMIL13,53.6,46.0,91,6.6,30.1,1.65
64,2020-03-05,KTXHAMIL13,56.5,38.5,67,2.1,30.37,0.0
65,2020-03-06,KTXHAMIL13,53.5,20.5,45,2.4,30.52,0.0
66,2020-03-07,KTXHAMIL13,50.7,29.1,59,3.2,30.38,0.0
67,2020-03-08,KTXHAMIL13,57.3,39.4,79,6.1,30.25,0.0
68,2020-03-09,KTXHAMIL13,65.1,54.7,81,6.1,30.18,0.0
69,2020-03-10,KTXHAMIL13,65.3,51.8,85,2.8,30.25,0.0
70,2020-03-11,KTXHAMIL13,71.6,60.1,76,2.8,30.11,0.0
71,2020-03-12,KTXHAMIL13,72.0,61.5,76,3.8,29.89,0.0
72,2020-03-13,KTXHAMIL13,71.9,59.9,75,3.6,29.98,0.0
73,2020-03-14,KTXHAMIL13,65.1,55.8,89,4.2,30.21,0.0
74,2020-03-15,KTXHAMIL13,54.5,50.4,97,3.5,30.3,0.23
75,2020-03-16,KTXHAMIL13,61.4,52.9,92,2.5,30.27,0.49
76,2020-03-17,KTXHAMIL13,68.2,61.3,88,3.9,30.08,0.01
77,2020-03-18,KTXHAMIL13,71.2,63.7,83,5.7,30.01,0.0
78,2020-03-19,KTXHAMIL13,69.7,62.6,87,5.9,30.02,0.95
79,2020-03-20,KTXHAMIL13,53.1,38.3,87,3.5,30.37,1.07
80,2020-03-21,KTXHAMIL13,47.1,37.4,88,3.2,30.37,1.28
81,2020-03-22,KTXHAMIL13,56.2,50.4,98,1.1,30.15,0.02
82,2020-03-23,KTXHAMIL13,66.1,57.4,92,2.5,30.05,0.0
83,2020-03-24,KTXHAMIL13,72.9,31.6,58,3.0,29.91,0.0
84,2020-03-25,KTXHAMIL13,71.5,36.3,55,3.3,29.91,0.0
85,2020-03-26,KTXHAMIL13,73.7,61.5,78,4.8,29.84,0.0
86,2020-03-27,KTXHAMIL13,72.5,61.9,80,4.2,29.77,0.0
87,2020-03-28,KTXHAMIL13,68.2,23.4,52,3.5,29.99,0.12
88,2020-03-29,KTXHAMIL13,59.8,26.4,52,1.9,30.17,0.0
89,2020-03-30,KTXHAMIL13,60.6,51.1,86,2.5,30.07,0.03
90,2020-03-31,KTXHAMIL13,58.7,47.8,80,3.4,30.09,0.01
91,2020-04-01,KTXHAMIL13,60.7,47.3,72,4.2,30.01,0.0
92,2020-04-02,KTXHAMIL13,63.2,53.1,89,5.6,29.91,0.11
93,2020-04-03,KTXHAMIL13,55.2,39.0,96,4.5,30.02,0.05
94,2020-04-04,KTXHAMIL13,44.5,37.9,95,2.8,30.09,0.2
95,2020-04-05,KTXHAMIL13,54.1,43.9,93,2.4,30.08,0.0
96,2020-04-06,KTXHAMIL13,63.6,58.1,94,2.8,30.02,0.0
97,2020-04-07,KTXHAMIL13,75.3,63.0,77,3.3,29.97,0.0
98,2020-04-08,KTXHAMIL13,79.5,51.6,65,2.2,29.92,0.0
99,2020-04-09,KTXHAMIL13,68.3,54.5,78,1.4,29.96,0.05
