,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KTXMALAK6,63.6,45.9,74,6.0,29.71
61,2020-03-02,KTXMALAK6,67.4,58.1,80,3.2,29.51
62,2020-03-03,KTXMALAK6,65.8,57.4,86,1.2,29.53
63,2020-03-04,KTXMALAK6,57.6,47.3,84,6.4,29.73
64,2020-03-05,KTXMALAK6,57.5,40.5,67,3.1,30.02
65,2020-03-06,KTXMALAK6,55.5,19.2,45,2.3,30.21
66,2020-03-07,KTXMALAK6,52.2,31.1,54,1.3,30.13
67,2020-03-08,KTXMALAK6,58.3,33.6,66,3.4,30.0
68,2020-03-09,KTXMALAK6,63.2,52.5,83,5.1,29.87
69,2020-03-10,KTXMALAK6,69.8,59.2,79,2.3,29.94
70,2020-03-11,KTXMALAK6,70.4,57.7,77,4.0,29.8
71,2020-03-12,KTXMALAK6,73.1,60.3,74,5.2,29.58
72,2020-03-13,KTXMALAK6,73.4,61.0,72,2.7,29.71
73,2020-03-14,KTXMALAK6,69.0,45.7,83,2.4,29.86
74,2020-03-15,KTXMALAK6,59.0,49.5,84,3.2,29.99
75,2020-03-16,KTXMALAK6,58.3,49.5,87,1.5,29.93
76,2020-03-17,KTXMALAK6,67.4,57.0,85,1.2,29.81
77,2020-03-18,KTXMALAK6,72.1,63.5,83,3.8,29.72
78,2020-03-19,KTXMALAK6,72.9,62.6,81,4.4,29.73
79,2020-03-20,KTXMALAK6,58.6,41.0,84,2.6,30.07
80,2020-03-21,KTXMALAK6,50.2,39.2,84,3.0,30.09
81,2020-03-22,KTXMALAK6,57.4,50.0,91,0.8,29.85
82,2020-03-23,KTXMALAK6,65.3,57.9,91,1.5,29.77
83,2020-03-24,KTXMALAK6,72.5,45.5,73,4.1,29.57
84,2020-03-25,KTXMALAK6,68.7,46.2,65,1.7,29.6
85,2020-03-26,KTXMALAK6,73.7,58.8,74,3.9,29.54
86,2020-03-27,KTXMALAK6,76.2,63.1,73,4.6,29.46
87,2020-03-28,KTXMALAK6,67.6,52.3,80,2.2,29.67
88,2020-03-29,KTXMALAK6,61.2,45.0,71,0.7,29.85
89,2020-03-30,KTXMALAK6,59.3,50.5,81,2.3,29.79
90,2020-03-31,KTXMALAK6,58.9,46.6,77,3.1,29.74
91,2020-04-01,KTXMALAK6,60.2,43.3,69,1.8,29.72
92,2020-04-02,KTXMALAK6,64.0,49.8,77,2.8,29.64
93,2020-04-03,KTXMALAK6,59.9,42.1,86,3.7,29.73
94,2020-04-04,KTXMALAK6,46.8,40.6,89,2.6,29.77
95,2020-04-05,KTXMALAK6,56.9,46.8,88,1.0,29.79
96,2020-04-06,KTXMALAK6,65.6,54.7,86,0.7,29.72
97,2020-04-07,KTXMALAK6,75.6,64.8,81,3.0,29.65
98,2020-04-08,KTXMALAK6,78.7,66.9,78,2.8,29.56
99,2020-04-09,KTXMALAK6,73.2,60.1,80,1.1,29.64
100,2020-04-10,KTXMALAK6,64.4,42.6,60,2.0,29.8
101,2020-04-11,KTXMALAK6,63.0,45.9,77,1.8,29.66
102,2020-04-12,KTXMALAK6,70.9,43.5,75,4.5,29.59
103,2020-04-13,KTXMALAK6,51.2,33.6,63,4.4,29.87
104,2020-04-14,KTXMALAK6,52.1,35.2,62,3.6,29.94
105,2020-04-15,KTXMALAK6,53.8,35.6,64,1.5,29.92
106,2020-04-16,KTXMALAK6,60.6,39.4,59,2.6,29.87
107,2020-04-17,KTXMALAK6,60.3,44.8,77,3.0,29.8
108,2020-04-18,KTXMALAK6,58.7,42.3,74,1.9,29.8
109,2020-04-19,KTXMALAK6,66.1,57.4,88,1.3,29.53
110,2020-04-20,KTXMALAK6,67.9,57.4,79,1.2,29.62
111,2020-04-21,KTXMALAK6,73.1,58.1,74,1.5,29.68
112,2020-04-22,KTXMALAK6,70.5,58.5,85,2.9,29.57
113,2020-04-23,KTXMALAK6,70.6,56.3,71,2.1,29.49
114,2020-04-24,KTXMALAK6,72.0,53.2,68,2.9,29.52
115,2020-04-25,KTXMALAK6,66.4,49.6,65,2.0,29.8
116,2020-04-26,KTXMALAK6,67.0,45.7,62,0.6,29.9
117,2020-04-27,KTXMALAK6,71.7,49.8,63,3.7,29.79
118,2020-04-28,KTXMALAK6,76.2,60.8,74,5.5,29.68
119,2020-04-29,KTXMALAK6,69.7,43.0,61,3.3,29.76
120,2020-04-30,KTXMALAK6,67.2,45.9,61,1.2,29.82
121,2020-05-01,KTXMALAK6,71.5,49.1,64,3.3,29.73
122,2020-05-02,KTXMALAK6,75.8,56.8,69,4.7,29.7
123,2020-05-03,KTXMALAK6,79.0,63.3,69,4.6,29.64
124,2020-05-04,KTXMALAK6,79.3,63.7,70,4.5,29.57
125,2020-05-05,KTXMALAK6,73.3,51.3,67,3.4,29.79
126,2020-05-06,KTXMALAK6,70.0,47.3,57,1.4,29.89
127,2020-05-07,KTXMALAK6,72.8,49.8,60,3.6,29.83
128,2020-05-08,KTXMALAK6,69.4,51.3,71,5.1,29.83
129,2020-05-09,KTXMALAK6,64.0,47.5,64,1.9,29.9
130,2020-05-10,KTXMALAK6,65.7,45.7,62,1.1,29.94
