,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,Precipin
23,2020-03-01,KTXSHALL8,55.7,14.9,29,12.1,29.84,0.0
24,2020-03-02,KTXSHALL8,52.8,24.4,41,7.6,29.9,0.0
25,2020-03-03,KTXSHALL8,49.4,23.3,58,7.6,29.91,0.07
26,2020-03-04,KTXSHALL8,45.8,28.0,81,7.7,30.15,0.29
27,2020-03-05,KTXSHALL8,47.4,27.1,61,12.2,30.42,0.0
28,2020-03-06,KTXSHALL8,46.7,23.0,56,7.4,30.48,0.0
29,2020-03-07,KTXSHALL8,52.6,28.4,53,12.9,30.29,0.0
30,2020-03-08,KTXSHALL8,52.8,34.5,77,12.5,30.07,0.29
31,2020-03-09,KTXSHALL8,56.1,40.5,72,9.4,30.18,0.06
32,2020-03-10,KTXSHALL8,59.1,36.0,61,7.4,30.2,0.0
33,2020-03-11,KTXSHALL8,61.6,34.6,57,5.9,30.1,0.0
34,2020-03-12,KTXSHALL8,63.4,37.4,58,10.4,29.95,0.06
35,2020-03-13,KTXSHALL8,45.8,40.9,96,10.8,30.06,0.5
36,2020-03-14,KTXSHALL8,51.8,38.2,80,6.5,30.2,0.0
37,2020-03-15,KTXSHALL8,43.2,38.3,94,10.9,30.3,0.07
38,2020-03-16,KTXSHALL8,50.5,40.0,91,4.9,30.18,0.0
39,2020-03-17,KTXSHALL8,55.2,50.4,95,9.3,30.07,0.96
40,2020-03-18,KTXSHALL8,57.9,45.9,80,7.4,29.96,0.01
41,2020-03-19,KTXSHALL8,57.0,23.3,57,15.3,30.07,0.0
42,2020-03-20,KTXSHALL8,41.0,26.0,68,14.3,30.36,0.0
43,2020-03-21,KTXSHALL8,37.6,30.0,86,7.4,30.33,0.0
44,2020-03-22,KTXSHALL8,51.7,25.6,68,8.1,30.15,0.0
45,2020-03-23,KTXSHALL8,61.9,16.8,45,6.2,30.03,0.0
46,2020-03-24,KTXSHALL8,60.8,24.1,33,10.0,29.99,0.0
47,2020-03-25,KTXSHALL8,64.3,17.0,34,7.8,29.93,0.0
48,2020-03-26,KTXSHALL8,72.9,28.4,29,12.4,29.84,0.0
49,2020-03-27,KTXSHALL8,65.2,17.0,42,9.9,29.8,0.0
50,2020-03-28,KTXSHALL8,53.6,6.1,26,18.8,30.02,0.0
51,2020-03-29,KTXSHALL8,52.5,13.1,41,8.6,30.16,0.0
52,2020-03-30,KTXSHALL8,57.7,11.1,45,11.8,30.03,0.0
53,2020-03-31,KTXSHALL8,56.5,24.9,54,8.6,30.1,0.0
54,2020-04-01,KTXSHALL8,63.0,28.0,48,13.9,29.94,0.0
55,2020-04-02,KTXSHALL8,66.9,19.8,40,9.4,29.82,0.0
56,2020-04-03,KTXSHALL8,41.2,24.4,65,16.4,30.13,0.0
57,2020-04-04,KTXSHALL8,43.9,25.2,64,6.8,30.09,0.0
58,2020-04-05,KTXSHALL8,52.6,41.2,84,10.5,30.0,0.0
59,2020-04-06,KTXSHALL8,63.8,42.4,71,10.4,30.0,0.0
60,2020-04-07,KTXSHALL8,67.1,17.3,36,8.2,29.97,0.0
61,2020-04-08,KTXSHALL8,68.6,20.1,27,6.7,30.0,0.0
62,2020-04-09,KTXSHALL8,61.8,27.7,48,8.9,30.05,0.0
63,2020-04-10,KTXSHALL8,54.3,28.4,54,10.8,30.13,0.0
