,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,Precipin
60,2020-03-01,KVABUCHA1,42.1,13.0,39,2.8,30.3,0.0
61,2020-03-02,KVABUCHA1,50.5,21.0,51,2.9,30.13,0.0
62,2020-03-03,KVABUCHA1,55.7,30.0,69,4.8,29.85,0.09
63,2020-03-04,KVABUCHA1,54.2,23.0,37,3.0,29.96,0.0
64,2020-03-05,KVABUCHA1,49.4,28.0,53,2.3,30.12,0.0
65,2020-03-06,KVABUCHA1,41.4,26.0,69,4.1,30.12,0.0
66,2020-03-07,KVABUCHA1,40.5,21.0,53,3.9,30.51,0.0
67,2020-03-08,KVABUCHA1,45.4,21.0,46,2.7,30.6,0.0
68,2020-03-09,KVABUCHA1,51.7,25.0,44,1.8,30.49,0.0
69,2020-03-10,KVABUCHA1,59.5,41.0,63,5.3,30.32,0.03
70,2020-03-11,KVABUCHA1,60.0,43.0,65,1.4,30.09,0.0
71,2020-03-12,KVABUCHA1,56.3,41.0,68,3.1,30.02,0.02
72,2020-03-13,KVABUCHA1,63.2,20.0,48,5.3,30.2,0.28
73,2020-03-14,KVABUCHA1,49.7,13.0,41,1.3,30.37,0.12
74,2020-03-15,KVABUCHA1,41.8,37.0,90,0.4,30.46,0.1
75,2020-03-16,KVABUCHA1,43.3,33.0,76,0.6,30.46,0.0
76,2020-03-17,KVABUCHA1,51.6,35.0,75,1.7,30.28,0.03
77,2020-03-18,KVABUCHA1,48.6,39.0,77,1.4,30.42,0.18
78,2020-03-19,KVABUCHA1,61.6,46.0,78,2.2,30.25,0.06
79,2020-03-20,KVABUCHA1,70.0,56.0,65,2.8,30.09,0.0
80,2020-03-21,KVABUCHA1,56.3,37.0,63,2.4,30.34,0.01
81,2020-03-22,KVABUCHA1,46.9,31.0,62,1.2,30.46,0.0
82,2020-03-23,KVABUCHA1,44.3,34.0,88,0.3,30.39,0.18
83,2020-03-24,KVABUCHA1,51.0,40.0,78,1.3,30.13,0.18
84,2020-03-25,KVABUCHA1,50.1,43.0,85,0.9,30.02,0.43
85,2020-03-26,KVABUCHA1,51.5,41.0,79,3.9,30.08,0.0
86,2020-03-27,KVABUCHA1,67.0,48.0,66,1.5,29.92,0.02
87,2020-03-28,KVABUCHA1,69.1,54.0,70,3.8,29.93,0.0
88,2020-03-29,KVABUCHA1,72.8,36.0,56,3.7,29.92,0.0
89,2020-03-30,KVABUCHA1,65.0,21.0,29,4.8,29.99,0.0
90,2020-03-31,KVABUCHA1,47.7,30.0,72,0.6,29.95,0.6
91,2020-04-01,KVABUCHA1,45.0,37.0,84,1.0,29.95,0.12
92,2020-04-02,KVABUCHA1,50.6,27.0,55,3.5,30.01,0.0
93,2020-04-03,KVABUCHA1,57.1,16.0,31,3.3,29.94,0.0
94,2020-04-04,KVABUCHA1,60.2,20.0,32,1.3,30.0,0.0
95,2020-04-05,KVABUCHA1,60.6,42.0,59,1.5,30.06,0.0
96,2020-04-06,KVABUCHA1,63.3,45.0,62,0.8,30.03,0.01
97,2020-04-07,KVABUCHA1,66.0,47.0,63,0.9,29.97,0.0
98,2020-04-08,KVABUCHA1,66.5,48.0,64,2.6,29.72,0.07
99,2020-04-09,KVABUCHA1,59.6,23.0,54,4.4,29.6,0.08
100,2020-04-10,KVABUCHA1,44.2,20.0,45,4.8,29.95,0.0
101,2020-04-11,KVABUCHA1,49.8,21.0,40,2.2,30.08,0.0
102,2020-04-12,KVABUCHA1,57.9,25.0,61,2.7,30.08,0.78
103,2020-04-13,KVABUCHA1,63.4,37.0,75,5.0,30.0,2.43
104,2020-04-14,KVABUCHA1,49.3,34.0,64,1.8,30.11,0.06
105,2020-04-15,KVABUCHA1,44.0,18.0,57,1.6,30.08,0.08
106,2020-04-16,KVABUCHA1,48.3,19.0,39,2.7,30.25,0.0
107,2020-04-17,KVABUCHA1,55.1,23.0,44,2.9,30.27,0.0
108,2020-04-18,KVABUCHA1,50.9,30.0,64,2.3,30.0,0.1
109,2020-04-19,KVABUCHA1,49.1,28.0,61,2.3,30.0,0.0
110,2020-04-20,KVABUCHA1,55.8,36.0,66,0.6,29.7,0.19
111,2020-04-21,KVABUCHA1,60.2,18.0,42,4.2,29.84,0.0
112,2020-04-22,KVABUCHA1,54.1,16.0,33,2.6,30.04,0.0
113,2020-04-23,KVABUCHA1,53.5,36.0,78,1.9,30.0,0.24
114,2020-04-24,KVABUCHA1,61.6,49.0,78,1.4,29.82,0.1
115,2020-04-25,KVABUCHA1,55.0,49.0,85,0.5,29.95,0.19
116,2020-04-26,KVABUCHA1,54.8,43.0,83,1.7,29.85,0.19
117,2020-04-27,KVABUCHA1,53.9,34.0,56,2.8,30.14,0.0
118,2020-04-28,KVABUCHA1,56.4,34.0,60,1.1,30.18,0.0
119,2020-04-29,KVABUCHA1,64.4,46.0,66,2.9,30.0,0.01
120,2020-04-30,KVABUCHA1,55.7,44.0,84,1.2,29.73,1.62
121,2020-05-01,KVABUCHA1,53.2,42.0,71,2.0,30.03,0.0
122,2020-05-02,KVABUCHA1,61.1,30.0,57,1.2,30.16,0.0
123,2020-05-03,KVABUCHA1,73.3,49.0,55,1.6,29.95,0.04
124,2020-05-04,KVABUCHA1,66.7,36.0,56,1.8,29.91,0.11
125,2020-05-05,KVABUCHA1,53.1,37.0,71,1.0,29.96,0.18
