,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,Precipin
60,2020-03-01,KVACOLON27,39.7,12.6,46,1.1,30.27,0.0
61,2020-03-02,KVACOLON27,54.5,22.6,49,3.4,30.14,0.0
62,2020-03-03,KVACOLON27,58.0,46.0,81,3.1,29.85,0.0
63,2020-03-04,KVACOLON27,55.5,24.6,46,1.5,29.94,0.0
64,2020-03-05,KVACOLON27,48.7,27.1,56,1.3,30.17,0.0
65,2020-03-06,KVACOLON27,47.6,24.6,63,2.0,29.97,0.02
66,2020-03-07,KVACOLON27,45.2,17.8,46,3.6,30.46,0.0
67,2020-03-08,KVACOLON27,46.1,21.0,49,1.3,30.58,0.0
68,2020-03-09,KVACOLON27,57.4,27.3,43,2.7,30.47,0.0
69,2020-03-10,KVACOLON27,63.0,45.3,71,4.2,30.35,0.0
70,2020-03-11,KVACOLON27,60.3,46.0,73,1.2,30.11,0.0
71,2020-03-12,KVACOLON27,55.2,45.7,85,1.0,30.04,0.0
72,2020-03-13,KVACOLON27,69.4,35.6,62,2.3,30.12,0.15
73,2020-03-14,KVACOLON27,56.2,21.2,35,1.3,30.38,0.0
74,2020-03-15,KVACOLON27,48.4,31.5,71,2.3,30.44,0.0
75,2020-03-16,KVACOLON27,49.3,34.9,69,1.9,30.46,0.0
76,2020-03-17,KVACOLON27,55.1,41.9,78,1.4,30.28,0.0
77,2020-03-18,KVACOLON27,54.3,39.7,71,1.8,30.46,0.01
78,2020-03-19,KVACOLON27,65.0,47.8,81,1.8,30.28,0.26
79,2020-03-20,KVACOLON27,76.8,60.3,66,3.8,30.13,0.02
80,2020-03-21,KVACOLON27,55.9,39.7,86,1.7,30.36,0.2
81,2020-03-22,KVACOLON27,50.0,34.2,66,1.9,30.48,0.0
82,2020-03-23,KVACOLON27,45.6,39.0,95,1.5,30.42,1.22
83,2020-03-24,KVACOLON27,51.2,43.7,85,0.9,30.16,0.03
84,2020-03-25,KVACOLON27,47.2,40.6,98,2.3,30.03,1.52
85,2020-03-26,KVACOLON27,49.5,41.2,85,1.5,30.12,0.0
86,2020-03-27,KVACOLON27,62.2,48.2,78,1.3,30.03,0.61
87,2020-03-28,KVACOLON27,64.0,53.2,86,0.8,30.0,0.0
88,2020-03-29,KVACOLON27,69.9,38.3,75,1.9,29.95,0.0
89,2020-03-30,KVACOLON27,66.0,36.1,44,1.1,29.98,0.0
90,2020-03-31,KVACOLON27,50.9,41.0,80,1.2,29.96,0.72
