,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KVAORANG17,39.5,8.8,39,1.5,30.29
61,2020-03-02,KVAORANG17,50.7,17.6,46,4.3,30.13
62,2020-03-03,KVAORANG17,54.2,28.4,73,3.2,29.88
63,2020-03-04,KVAORANG17,55.0,22.1,36,2.2,29.99
64,2020-03-05,KVAORANG17,47.3,19.0,47,1.2,30.23
65,2020-03-06,KVAORANG17,43.6,22.5,58,1.3,30.06
66,2020-03-07,KVAORANG17,43.6,14.4,43,1.8,30.5
67,2020-03-08,KVAORANG17,48.8,12.2,33,1.9,30.59
68,2020-03-09,KVAORANG17,57.4,19.4,35,2.5,30.47
69,2020-03-10,KVAORANG17,61.0,37.2,64,4.2,30.35
70,2020-03-11,KVAORANG17,53.7,39.6,70,1.3,30.18
71,2020-03-12,KVAORANG17,53.0,39.0,76,0.9,30.13
72,2020-03-13,KVAORANG17,63.9,22.6,52,1.4,30.22
73,2020-03-14,KVAORANG17,50.8,15.8,35,0.9,30.44
74,2020-03-15,KVAORANG17,41.0,37.8,92,1.2,30.5
75,2020-03-16,KVAORANG17,44.1,25.9,70,1.2,30.53
76,2020-03-17,KVAORANG17,52.0,37.2,75,1.5,30.33
77,2020-03-18,KVAORANG17,50.3,35.4,68,1.7,30.51
78,2020-03-19,KVAORANG17,62.7,47.1,81,1.9,30.31
79,2020-03-20,KVAORANG17,71.3,51.8,69,4.1,30.15
80,2020-03-21,KVAORANG17,51.3,32.0,73,2.4,30.43
81,2020-03-22,KVAORANG17,44.7,24.4,56,2.0,30.58
82,2020-03-23,KVAORANG17,42.6,37.2,95,1.0,30.51
83,2020-03-24,KVAORANG17,48.0,39.7,85,0.9,30.21
84,2020-03-25,KVAORANG17,44.3,41.0,97,1.8,30.11
85,2020-03-26,KVAORANG17,48.5,39.7,85,1.8,30.14
86,2020-03-27,KVAORANG17,58.8,47.3,80,1.3,30.08
87,2020-03-28,KVAORANG17,57.4,53.2,95,0.8,30.05
88,2020-03-29,KVAORANG17,65.2,30.9,73,1.8,30.02
89,2020-03-30,KVAORANG17,66.7,20.3,30,2.0,30.04
90,2020-03-31,KVAORANG17,48.4,34.9,73,1.1,30.03
91,2020-04-01,KVAORANG17,46.8,36.1,76,1.7,29.92
92,2020-04-02,KVAORANG17,52.5,23.9,42,1.6,30.02
93,2020-04-03,KVAORANG17,57.5,9.1,28,1.3,29.94
94,2020-04-04,KVAORANG17,53.7,30.0,63,1.6,30.1
95,2020-04-05,KVAORANG17,58.1,40.6,68,1.0,30.12
96,2020-04-06,KVAORANG17,61.7,36.5,66,1.3,30.11
97,2020-04-07,KVAORANG17,62.4,37.6,78,1.1,30.05
98,2020-04-08,KVAORANG17,65.8,46.6,72,1.5,29.76
99,2020-04-09,KVAORANG17,61.3,24.4,55,2.5,29.66
100,2020-04-10,KVAORANG17,45.7,18.7,43,2.1,29.96
101,2020-04-11,KVAORANG17,51.1,20.8,40,1.4,30.09
102,2020-04-12,KVAORANG17,58.3,28.6,61,1.5,30.16
103,2020-04-13,KVAORANG17,65.3,37.8,77,2.9,30.04
104,2020-04-14,KVAORANG17,50.1,32.0,62,1.0,30.18
105,2020-04-15,KVAORANG17,43.5,19.8,65,1.1,30.12
106,2020-04-16,KVAORANG17,47.7,13.5,43,1.4,30.3
107,2020-04-17,KVAORANG17,50.7,18.5,51,1.3,30.37
108,2020-04-18,KVAORANG17,50.3,27.1,67,1.2,30.05
109,2020-04-19,KVAORANG17,52.2,28.0,56,1.7,30.06
110,2020-04-20,KVAORANG17,55.4,38.3,65,1.1,29.76
111,2020-04-21,KVAORANG17,56.2,17.8,58,2.4,29.87
112,2020-04-22,KVAORANG17,53.9,8.2,30,1.4,30.08
113,2020-04-23,KVAORANG17,52.6,32.5,73,1.0,30.07
114,2020-04-24,KVAORANG17,56.4,51.1,92,1.1,29.92
115,2020-04-25,KVAORANG17,53.2,46.8,91,0.8,30.09
116,2020-04-26,KVAORANG17,53.6,48.6,96,0.8,29.97
117,2020-04-27,KVAORANG17,51.5,35.8,72,1.5,30.17
118,2020-04-28,KVAORANG17,52.1,36.3,75,0.9,30.25
119,2020-04-29,KVAORANG17,60.5,43.7,77,1.6,30.11
120,2020-04-30,KVAORANG17,59.0,54.9,95,1.8,29.89
121,2020-05-01,KVAORANG17,57.0,41.4,77,0.9,30.01
122,2020-05-02,KVAORANG17,58.4,36.3,61,0.8,30.21
123,2020-05-03,KVAORANG17,67.3,46.8,69,0.9,30.0
124,2020-05-04,KVAORANG17,66.8,35.8,57,1.2,29.99
125,2020-05-05,KVAORANG17,50.1,36.3,76,0.9,30.06
126,2020-05-06,KVAORANG17,52.4,34.5,76,1.1,29.92
127,2020-05-07,KVAORANG17,56.2,23.9,45,1.2,30.0
128,2020-05-08,KVAORANG17,55.3,28.6,61,2.6,29.95
129,2020-05-09,KVAORANG17,44.6,17.8,46,1.5,30.26
130,2020-05-10,KVAORANG17,51.0,22.5,48,1.8,30.3
131,2020-05-11,KVAORANG17,54.0,28.4,52,1.7,30.16
132,2020-05-12,KVAORANG17,52.3,27.3,47,1.0,30.25
133,2020-05-13,KVAORANG17,56.9,25.5,43,1.1,30.39
134,2020-05-14,KVAORANG17,61.8,40.3,73,1.1,30.33
135,2020-05-15,KVAORANG17,73.1,55.6,67,2.2,30.15
136,2020-05-16,KVAORANG17,72.3,58.1,68,1.2,30.17
137,2020-05-17,KVAORANG17,64.7,58.5,88,1.1,30.21
138,2020-05-18,KVAORANG17,58.5,55.8,97,1.4,30.12
139,2020-05-19,KVAORANG17,58.2,32.0,66,3.1,30.26
140,2020-05-20,KVAORANG17,53.7,31.8,68,3.3,30.34
141,2020-05-21,KVAORANG17,56.0,46.8,90,2.0,30.35
142,2020-05-22,KVAORANG17,65.9,59.2,91,0.8,30.19
143,2020-05-23,KVAORANG17,71.8,58.8,75,0.7,30.09
144,2020-05-24,KVAORANG17,64.1,59.4,93,1.0,30.24
145,2020-05-25,KVAORANG17,65.5,58.3,88,0.5,30.27
146,2020-05-26,KVAORANG17,68.9,59.4,84,0.6,30.26
147,2020-05-27,KVAORANG17,70.2,63.7,88,0.8,30.24
148,2020-05-28,KVAORANG17,74.5,67.6,90,1.7,30.15
149,2020-05-29,KVAORANG17,76.5,69.3,88,1.4,30.09
150,2020-05-30,KVAORANG17,73.8,55.4,72,1.0,30.05
151,2020-05-31,KVAORANG17,66.7,40.3,51,1.3,30.23
152,2020-06-01,KVAORANG17,63.1,36.0,48,0.9,30.38
153,2020-06-02,KVAORANG17,68.4,46.4,63,0.7,30.22
154,2020-06-03,KVAORANG17,80.1,59.7,60,1.6,29.92
155,2020-06-04,KVAORANG17,80.8,60.1,60,0.8,29.96
156,2020-06-05,KVAORANG17,75.9,66.2,82,1.0,29.98
157,2020-06-06,KVAORANG17,78.9,64.8,76,0.8,29.96
158,2020-06-07,KVAORANG17,75.6,51.3,52,1.0,30.06
159,2020-06-08,KVAORANG17,72.3,54.3,63,0.9,30.14
160,2020-06-09,KVAORANG17,76.9,60.6,74,1.0,30.08
161,2020-06-10,KVAORANG17,78.9,70.7,86,1.6,30.02
162,2020-06-11,KVAORANG17,79.1,64.4,77,1.6,30.17
163,2020-06-12,KVAORANG17,76.5,48.2,54,0.7,30.23
164,2020-06-13,KVAORANG17,69.5,48.0,59,1.3,30.25
165,2020-06-14,KVAORANG17,66.9,51.4,73,1.3,30.37
166,2020-06-15,KVAORANG17,65.0,53.1,73,1.3,30.4
167,2020-06-16,KVAORANG17,65.0,51.4,70,1.9,30.37
168,2020-06-17,KVAORANG17,62.9,56.8,96,2.0,30.26
169,2020-06-18,KVAORANG17,70.0,63.3,87,0.9,30.15
170,2020-06-19,KVAORANG17,71.0,64.8,89,0.8,30.17
171,2020-06-20,KVAORANG17,71.2,63.7,90,0.7,30.12
172,2020-06-21,KVAORANG17,73.7,66.7,87,0.6,30.09
173,2020-06-22,KVAORANG17,75.3,65.5,86,1.0,30.04
174,2020-06-23,KVAORANG17,76.1,64.8,84,0.9,29.94
175,2020-06-24,KVAORANG17,77.2,55.4,65,1.1,29.96
176,2020-06-25,KVAORANG17,73.3,60.6,74,1.1,30.09
177,2020-06-26,KVAORANG17,76.5,58.5,56,1.5,30.13
178,2020-06-27,KVAORANG17,79.6,65.3,69,1.5,30.01
179,2020-06-28,KVAORANG17,79.1,66.7,76,0.7,29.89
180,2020-06-29,KVAORANG17,80.4,63.3,67,1.0,29.98
181,2020-06-30,KVAORANG17,79.7,61.9,65,0.8,29.99
182,2020-07-01,KVAORANG17,75.4,65.5,83,1.1,29.96
183,2020-07-02,KVAORANG17,77.5,64.0,73,0.9,30.0
184,2020-07-03,KVAORANG17,82.5,63.9,63,0.8,30.0
185,2020-07-04,KVAORANG17,83.0,64.6,65,0.9,30.0
186,2020-07-05,KVAORANG17,77.4,66.7,87,0.7,30.07
187,2020-07-06,KVAORANG17,79.1,69.4,85,0.6,30.1
188,2020-07-07,KVAORANG17,80.7,68.9,78,0.8,30.11
189,2020-07-08,KVAORANG17,79.8,65.1,76,0.6,30.07
190,2020-07-09,KVAORANG17,80.1,67.5,76,1.0,30.04
191,2020-07-10,KVAORANG17,81.2,69.3,75,1.0,29.98
192,2020-07-11,KVAORANG17,81.2,60.6,67,0.9,29.87
193,2020-07-12,KVAORANG17,76.9,60.3,70,0.9,29.88
194,2020-07-13,KVAORANG17,77.1,61.5,74,0.7,29.98
195,2020-07-14,KVAORANG17,79.1,57.0,63,0.9,30.13
196,2020-07-15,KVAORANG17,80.4,60.8,64,1.1,30.2
197,2020-07-16,KVAORANG17,79.2,68.2,76,0.8,30.27
198,2020-07-17,KVAORANG17,82.0,69.8,76,0.8,30.2
199,2020-07-18,KVAORANG17,84.3,64.0,65,0.7,30.17
200,2020-07-19,KVAORANG17,83.1,69.8,78,0.6,30.07
201,2020-07-20,KVAORANG17,85.5,68.9,69,0.9,30.03
202,2020-07-21,KVAORANG17,82.2,68.2,75,1.0,30.12
203,2020-07-22,KVAORANG17,76.7,70.7,91,0.7,30.13
204,2020-07-23,KVAORANG17,79.2,67.5,82,0.9,30.16
205,2020-07-24,KVAORANG17,75.7,70.3,91,0.6,30.17
206,2020-07-25,KVAORANG17,79.5,68.4,82,0.6,30.19
207,2020-07-26,KVAORANG17,83.5,64.0,70,0.7,30.15
208,2020-07-27,KVAORANG17,85.2,68.5,67,1.3,30.06
209,2020-07-28,KVAORANG17,80.9,68.9,77,0.8,30.0
210,2020-07-29,KVAORANG17,80.9,63.9,74,0.7,30.06
211,2020-07-30,KVAORANG17,79.6,68.2,84,0.8,29.98
212,2020-07-31,KVAORANG17,72.6,70.3,99,0.4,29.95
213,2020-08-01,KVAORANG17,77.9,70.0,88,0.7,30.03
214,2020-08-02,KVAORANG17,81.2,70.7,82,1.5,30.01
215,2020-08-03,KVAORANG17,74.5,67.3,91,0.7,30.12
216,2020-08-04,KVAORANG17,76.5,66.4,84,1.3,30.04
217,2020-08-05,KVAORANG17,77.8,66.7,78,0.8,30.14
218,2020-08-06,KVAORANG17,74.4,67.5,89,1.1,30.14
219,2020-08-07,KVAORANG17,74.3,67.6,89,0.6,30.17
220,2020-08-08,KVAORANG17,75.4,69.6,90,0.8,30.23
221,2020-08-09,KVAORANG17,79.5,69.6,84,0.5,30.2
222,2020-08-10,KVAORANG17,80.3,69.3,83,0.6,30.14
223,2020-08-11,KVAORANG17,79.4,70.2,86,0.7,30.06
224,2020-08-12,KVAORANG17,77.5,70.7,90,0.6,30.12
225,2020-08-13,KVAORANG17,74.4,70.7,95,0.7,30.14
226,2020-08-14,KVAORANG17,76.3,71.2,91,1.2,30.07
227,2020-08-15,KVAORANG17,67.0,62.4,97,1.0,30.05
228,2020-08-16,KVAORANG17,68.3,62.6,92,0.9,30.01
229,2020-08-17,KVAORANG17,70.6,62.1,92,0.8,30.03
230,2020-08-18,KVAORANG17,74.8,61.5,78,0.7,29.99
231,2020-08-19,KVAORANG17,71.8,64.4,86,0.9,30.05
232,2020-08-20,KVAORANG17,71.4,59.5,83,0.8,30.14
233,2020-08-21,KVAORANG17,73.6,66.4,91,0.5,30.08
234,2020-08-22,KVAORANG17,74.2,70.0,93,0.5,30.08
235,2020-08-23,KVAORANG17,77.8,67.5,84,0.8,30.14
