,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,Precipin
4,2020-03-01,KVAPOWHA36,26.7,11.3,71,0.1,29.99,0.0
5,2020-03-02,KVAPOWHA36,47.6,22.8,57,0.6,29.86,0.0
6,2020-03-03,KVAPOWHA36,53.9,34.1,78,0.5,29.58,0.0
7,2020-03-04,KVAPOWHA36,49.3,23.8,55,0.4,29.67,0.0
8,2020-03-05,KVAPOWHA36,45.5,21.6,60,0.9,29.92,0.0
9,2020-03-06,KVAPOWHA36,44.1,23.0,65,1.2,29.72,0.0
10,2020-03-07,KVAPOWHA36,43.6,14.4,48,2.4,30.19,0.0
11,2020-03-08,KVAPOWHA36,39.7,18.1,56,0.5,30.3,0.0
12,2020-03-09,KVAPOWHA36,47.2,25.6,56,0.1,30.18,0.0
13,2020-03-10,KVAPOWHA36,60.1,41.7,70,0.7,30.06,0.0
14,2020-03-11,KVAPOWHA36,58.0,44.4,74,0.2,29.84,0.0
15,2020-03-12,KVAPOWHA36,55.5,45.7,81,0.5,29.77,0.0
16,2020-03-13,KVAPOWHA36,65.6,26.4,60,0.9,29.87,0.07
17,2020-03-14,KVAPOWHA36,52.9,18.9,37,0.5,30.11,0.0
18,2020-03-15,KVAPOWHA36,46.0,30.9,76,1.1,30.17,0.01
19,2020-03-16,KVAPOWHA36,48.8,25.7,65,0.5,30.19,0.0
20,2020-03-17,KVAPOWHA36,52.4,40.2,78,0.4,30.0,0.0
21,2020-03-18,KVAPOWHA36,54.2,37.3,67,0.9,30.18,0.02
22,2020-03-19,KVAPOWHA36,63.3,47.4,82,0.5,29.99,0.06
23,2020-03-20,KVAPOWHA36,74.1,54.5,67,1.4,29.84,0.01
24,2020-03-21,KVAPOWHA36,57.6,33.3,80,1.1,30.1,0.09
25,2020-03-22,KVAPOWHA36,48.4,28.4,56,1.2,30.22,0.0
26,2020-03-23,KVAPOWHA36,44.7,38.9,91,0.6,30.15,0.64
27,2020-03-24,KVAPOWHA36,47.4,37.1,87,0.2,29.89,0.02
28,2020-03-25,KVAPOWHA36,46.1,42.8,95,0.8,29.78,0.58
29,2020-03-26,KVAPOWHA36,48.5,38.9,85,0.4,29.84,0.0
30,2020-03-27,KVAPOWHA36,61.0,48.4,78,0.2,29.75,0.11
31,2020-03-28,KVAPOWHA36,62.5,53.5,85,0.3,29.71,0.0
32,2020-03-29,KVAPOWHA36,66.8,31.2,71,0.4,29.68,0.0
33,2020-03-30,KVAPOWHA36,62.6,19.4,49,0.6,29.72,0.0
34,2020-03-31,KVAPOWHA36,50.6,35.7,73,0.4,29.7,0.36
35,2020-04-01,KVAPOWHA36,46.0,35.4,79,1.7,29.59,0.02
36,2020-04-02,KVAPOWHA36,48.6,23.6,60,1.2,29.69,0.0
37,2020-04-03,KVAPOWHA36,49.5,17.8,57,0.9,29.59,0.0
38,2020-04-04,KVAPOWHA36,49.6,31.4,68,0.9,29.77,0.0
39,2020-04-05,KVAPOWHA36,55.4,37.6,72,0.4,29.82,0.0
40,2020-04-06,KVAPOWHA36,59.1,47.6,79,0.3,29.76,0.04
41,2020-04-07,KVAPOWHA36,59.2,48.9,84,0.4,29.73,0.0
42,2020-04-08,KVAPOWHA36,62.4,52.3,80,0.4,29.47,0.05
43,2020-04-09,KVAPOWHA36,60.7,24.6,67,1.3,29.3,0.07
44,2020-04-10,KVAPOWHA36,47.6,17.2,44,1.5,29.65,0.0
45,2020-04-11,KVAPOWHA36,46.3,25.0,56,0.7,29.79,0.0
46,2020-04-12,KVAPOWHA36,58.1,36.2,66,0.5,29.85,0.05
47,2020-04-13,KVAPOWHA36,68.4,47.4,75,1.6,29.68,0.4
48,2020-04-14,KVAPOWHA36,55.1,33.1,58,0.6,29.84,0.06
49,2020-04-15,KVAPOWHA36,43.1,24.9,73,1.1,29.81,0.17
50,2020-04-16,KVAPOWHA36,44.8,18.7,63,0.6,29.97,0.0
51,2020-04-17,KVAPOWHA36,50.7,29.5,63,0.5,30.03,0.0
52,2020-04-18,KVAPOWHA36,56.1,28.2,64,0.9,29.73,0.05
53,2020-04-19,KVAPOWHA36,48.4,28.9,75,0.3,29.74,0.0
54,2020-04-20,KVAPOWHA36,52.6,45.6,88,0.1,29.45,0.35
55,2020-04-21,KVAPOWHA36,55.7,18.7,68,0.9,29.53,0.0
56,2020-04-22,KVAPOWHA36,51.7,12.3,40,0.6,29.76,0.0
57,2020-04-23,KVAPOWHA36,52.5,39.3,86,0.1,29.74,0.26
58,2020-04-24,KVAPOWHA36,61.8,52.4,92,0.3,29.58,0.63
