,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KVARUSTB17,41.2,9.3,35,2.1,29.94
61,2020-03-02,KVARUSTB17,51.2,19.0,45,4.2,29.81
62,2020-03-03,KVARUSTB17,53.8,25.3,77,3.5,29.56
63,2020-03-04,KVARUSTB17,54.0,22.5,37,2.9,29.66
64,2020-03-05,KVARUSTB17,48.6,29.3,53,1.3,29.85
65,2020-03-06,KVARUSTB17,42.8,22.3,61,4.9,29.74
66,2020-03-07,KVARUSTB17,43.2,13.1,41,5.1,30.15
67,2020-03-08,KVARUSTB17,46.8,16.0,38,2.4,30.25
68,2020-03-09,KVARUSTB17,55.4,23.2,41,3.6,30.17
69,2020-03-10,KVARUSTB17,59.8,42.3,69,4.3,30.02
70,2020-03-11,KVARUSTB17,60.4,45.3,73,1.6,29.81
71,2020-03-12,KVARUSTB17,53.7,38.7,77,1.4,29.76
72,2020-03-13,KVARUSTB17,66.0,22.6,48,4.1,29.89
73,2020-03-14,KVARUSTB17,52.2,13.8,38,1.3,30.08
74,2020-03-15,KVARUSTB17,41.9,36.7,90,1.7,30.13
75,2020-03-16,KVARUSTB17,45.6,33.8,73,0.6,30.14
76,2020-03-17,KVARUSTB17,53.8,36.7,73,2.1,29.96
77,2020-03-18,KVARUSTB17,51.4,38.3,75,1.1,30.13
78,2020-03-19,KVARUSTB17,61.9,47.7,83,2.0,29.95
79,2020-03-20,KVARUSTB17,70.3,55.8,71,4.0,29.83
80,2020-03-21,KVARUSTB17,56.5,34.9,83,1.9,30.06
81,2020-03-22,KVARUSTB17,47.0,29.8,58,1.7,30.17
82,2020-03-23,KVARUSTB17,42.7,34.9,95,1.6,30.09
83,2020-03-24,KVARUSTB17,48.0,41.0,91,1.1,29.83
84,2020-03-25,KVARUSTB17,47.6,42.3,92,1.7,29.73
85,2020-03-26,KVARUSTB17,49.7,40.8,83,2.1,29.8
86,2020-03-27,KVARUSTB17,62.9,47.8,75,2.4,29.68
87,2020-03-28,KVARUSTB17,66.5,52.2,73,1.4,29.71
