,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,Precipin
60,2020-03-01,KVASALUD6,33.1,16.2,64,0.3,30.37,0.0
61,2020-03-02,KVASALUD6,60.8,27.6,50,1.2,30.23,0.0
62,2020-03-03,KVASALUD6,61.7,46.6,80,1.1,29.92,0.0
63,2020-03-04,KVASALUD6,52.4,32.0,76,0.4,30.0,0.0
64,2020-03-05,KVASALUD6,48.7,31.3,59,6.3,30.27,0.0
65,2020-03-06,KVASALUD6,43.5,34.7,90,2.3,30.02,0.49
66,2020-03-07,KVASALUD6,42.4,23.2,62,4.1,30.53,0.0
67,2020-03-08,KVASALUD6,43.6,23.9,61,0.6,30.65,0.0
68,2020-03-09,KVASALUD6,56.7,30.7,49,0.7,30.54,0.0
69,2020-03-10,KVASALUD6,63.7,47.0,74,1.6,30.42,0.0
70,2020-03-11,KVASALUD6,57.0,46.1,80,3.1,30.2,0.0
71,2020-03-12,KVASALUD6,51.5,46.3,93,2.2,30.14,0.0
72,2020-03-13,KVASALUD6,69.5,37.9,65,1.3,30.21,0.18
73,2020-03-14,KVASALUD6,54.5,22.1,43,3.9,30.46,0.0
74,2020-03-15,KVASALUD6,47.7,37.8,81,4.9,30.53,0.0
75,2020-03-16,KVASALUD6,46.5,38.4,83,3.0,30.56,0.0
76,2020-03-17,KVASALUD6,55.9,43.7,81,0.7,30.39,0.0
77,2020-03-18,KVASALUD6,53.3,39.4,75,4.7,30.55,0.0
78,2020-03-19,KVASALUD6,65.7,48.4,87,0.5,30.37,0.42
79,2020-03-20,KVASALUD6,76.7,64.9,75,1.3,30.21,0.0
80,2020-03-21,KVASALUD6,56.2,39.6,86,3.7,30.45,0.24
81,2020-03-22,KVASALUD6,48.9,36.5,77,4.6,30.6,0.0
82,2020-03-23,KVASALUD6,47.0,43.8,98,3.6,30.52,1.08
83,2020-03-24,KVASALUD6,49.5,42.0,88,1.9,30.25,0.0
84,2020-03-25,KVASALUD6,48.4,44.0,98,6.3,30.11,0.97
85,2020-03-26,KVASALUD6,48.5,37.1,89,0.5,30.19,0.07
86,2020-03-27,KVASALUD6,59.9,49.4,85,1.7,30.1,0.08
87,2020-03-28,KVASALUD6,59.2,54.2,95,2.3,30.12,0.03
88,2020-03-29,KVASALUD6,59.9,51.5,94,1.8,30.03,0.0
89,2020-03-30,KVASALUD6,65.6,42.1,61,2.1,30.07,0.03
90,2020-03-31,KVASALUD6,50.8,44.2,87,4.1,30.05,0.34
91,2020-04-01,KVASALUD6,46.9,36.0,81,6.6,29.91,0.04
92,2020-04-02,KVASALUD6,53.0,31.9,55,3.2,30.0,0.0
93,2020-04-03,KVASALUD6,56.7,26.9,47,4.7,29.94,0.0
94,2020-04-04,KVASALUD6,52.7,42.4,80,2.4,30.14,0.0
95,2020-04-05,KVASALUD6,55.9,43.6,78,0.4,30.18,0.0
96,2020-04-06,KVASALUD6,59.8,49.1,82,1.9,30.11,0.09
97,2020-04-07,KVASALUD6,66.3,48.8,78,1.1,30.08,0.01
98,2020-04-08,KVASALUD6,66.2,56.2,81,1.3,29.75,0.04
99,2020-04-09,KVASALUD6,66.5,36.4,62,3.3,29.61,0.05
100,2020-04-10,KVASALUD6,50.4,25.2,46,3.4,29.97,0.0
101,2020-04-11,KVASALUD6,49.8,29.9,58,0.9,30.13,0.0
102,2020-04-12,KVASALUD6,61.7,42.2,69,0.5,30.22,0.01
