,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
59,2020-03-01,KVAWARSA7,37.6,13.3,50,0.6,29.71
60,2020-03-02,KVAWARSA7,54.1,22.8,47,2.6,29.55
61,2020-03-03,KVAWARSA7,57.0,41.9,76,1.6,29.26
62,2020-03-04,KVAWARSA7,54.5,26.1,47,0.9,29.36
63,2020-03-05,KVAWARSA7,47.0,25.0,53,1.0,29.62
64,2020-03-06,KVAWARSA7,43.0,31.6,81,1.7,29.42
65,2020-03-07,KVAWARSA7,43.3,16.7,50,3.8,29.88
66,2020-03-08,KVAWARSA7,45.8,18.1,49,1.0,30.0
67,2020-03-09,KVAWARSA7,57.5,27.2,41,1.8,29.88
68,2020-03-10,KVAWARSA7,62.5,41.5,67,2.1,29.76
69,2020-03-11,KVAWARSA7,55.5,41.5,70,1.0,29.55
70,2020-03-12,KVAWARSA7,51.1,44.1,85,1.0,29.5
71,2020-03-13,KVAWARSA7,67.1,28.9,57,1.8,29.56
72,2020-03-14,KVAWARSA7,53.3,18.5,37,1.1,29.82
73,2020-03-15,KVAWARSA7,44.6,34.3,81,1.0,29.88
74,2020-03-16,KVAWARSA7,43.7,31.6,78,1.2,29.92
75,2020-03-17,KVAWARSA7,53.3,38.3,77,0.6,29.74
76,2020-03-18,KVAWARSA7,51.8,34.5,67,1.2,29.9
77,2020-03-19,KVAWARSA7,62.3,44.9,85,1.2,29.72
78,2020-03-20,KVAWARSA7,76.4,56.4,64,2.3,29.55
79,2020-03-21,KVAWARSA7,54.9,35.4,77,1.1,29.81
80,2020-03-22,KVAWARSA7,47.3,30.4,64,1.7,29.96
81,2020-03-23,KVAWARSA7,44.3,40.1,95,1.5,29.89
82,2020-03-24,KVAWARSA7,48.3,37.0,81,0.6,29.6
83,2020-03-25,KVAWARSA7,46.5,42.9,96,1.4,29.47
84,2020-03-26,KVAWARSA7,48.9,40.5,84,0.9,29.53
85,2020-03-27,KVAWARSA7,59.2,47.1,78,0.8,29.44
86,2020-03-28,KVAWARSA7,57.3,52.0,91,0.9,29.43
87,2020-03-29,KVAWARSA7,61.1,47.1,86,0.5,29.39
88,2020-03-30,KVAWARSA7,60.5,36.3,70,1.0,29.42
89,2020-03-31,KVAWARSA7,48.5,39.9,84,1.3,29.4
90,2020-04-01,KVAWARSA7,46.4,33.6,75,1.4,29.26
91,2020-04-02,KVAWARSA7,52.9,26.6,48,2.7,29.35
92,2020-04-03,KVAWARSA7,56.7,22.3,40,3.1,29.3
93,2020-04-04,KVAWARSA7,51.4,38.3,75,0.5,29.48
94,2020-04-05,KVAWARSA7,55.8,42.3,75,0.6,29.52
95,2020-04-06,KVAWARSA7,60.2,40.3,71,0.7,29.47
96,2020-04-07,KVAWARSA7,60.3,46.0,82,0.6,29.43
97,2020-04-08,KVAWARSA7,64.1,53.6,83,0.8,29.1
98,2020-04-09,KVAWARSA7,63.0,30.6,62,2.2,29.0
99,2020-04-10,KVAWARSA7,48.3,19.9,44,2.7,29.32
100,2020-04-11,KVAWARSA7,50.1,25.7,53,0.6,29.47
101,2020-04-12,KVAWARSA7,62.1,36.4,61,1.3,29.56
102,2020-04-13,KVAWARSA7,68.8,43.7,76,2.4,29.4
103,2020-04-14,KVAWARSA7,54.4,31.1,53,1.3,29.56
104,2020-04-15,KVAWARSA7,45.0,24.1,68,1.4,29.5
105,2020-04-16,KVAWARSA7,48.6,20.8,55,1.0,29.69
106,2020-04-17,KVAWARSA7,50.1,29.3,65,0.9,29.75
107,2020-04-18,KVAWARSA7,52.9,30.9,72,1.5,29.41
108,2020-04-19,KVAWARSA7,51.9,30.9,69,0.7,29.45
109,2020-04-20,KVAWARSA7,53.0,46.0,89,0.4,29.15
110,2020-04-21,KVAWARSA7,58.5,22.1,63,1.9,29.23
111,2020-04-22,KVAWARSA7,52.7,21.7,46,0.7,29.46
112,2020-04-23,KVAWARSA7,55.2,38.5,77,0.5,29.46
113,2020-04-24,KVAWARSA7,60.1,48.7,91,1.0,29.29
114,2020-04-25,KVAWARSA7,54.9,47.7,84,0.8,29.46
115,2020-04-26,KVAWARSA7,56.7,50.5,95,0.4,29.35
116,2020-04-27,KVAWARSA7,50.1,39.2,83,1.7,29.54
117,2020-04-28,KVAWARSA7,50.8,36.9,78,0.5,29.62
118,2020-04-29,KVAWARSA7,65.7,46.6,73,0.9,29.48
119,2020-04-30,KVAWARSA7,61.6,56.3,89,1.1,29.36
120,2020-05-01,KVAWARSA7,58.1,43.5,80,1.2,29.34
121,2020-05-02,KVAWARSA7,61.2,37.4,61,0.9,29.56
122,2020-05-03,KVAWARSA7,72.5,49.4,62,0.7,29.38
123,2020-05-04,KVAWARSA7,68.1,37.8,59,1.7,29.34
124,2020-05-05,KVAWARSA7,55.4,37.4,68,0.4,29.41
125,2020-05-06,KVAWARSA7,53.4,39.0,86,0.7,29.27
126,2020-05-07,KVAWARSA7,56.1,28.4,57,1.3,29.34
127,2020-05-08,KVAWARSA7,58.3,37.0,61,1.3,29.32
128,2020-05-09,KVAWARSA7,45.3,20.5,51,2.2,29.64
129,2020-05-10,KVAWARSA7,51.9,26.1,55,0.8,29.69
130,2020-05-11,KVAWARSA7,56.9,30.7,56,1.5,29.51
131,2020-05-12,KVAWARSA7,52.1,30.7,58,0.8,29.63
132,2020-05-13,KVAWARSA7,57.1,31.5,59,0.4,29.76
133,2020-05-14,KVAWARSA7,62.8,44.6,73,0.7,29.73
134,2020-05-15,KVAWARSA7,74.8,57.2,63,1.4,29.53
135,2020-05-16,KVAWARSA7,73.9,57.0,67,1.0,29.54
136,2020-05-17,KVAWARSA7,64.7,56.5,84,1.6,29.58
137,2020-05-18,KVAWARSA7,59.7,53.1,96,1.1,29.48
138,2020-05-19,KVAWARSA7,58.8,39.6,67,3.5,29.62
139,2020-05-20,KVAWARSA7,55.3,36.9,74,4.0,29.7
140,2020-05-21,KVAWARSA7,61.3,49.1,82,2.1,29.71
141,2020-05-22,KVAWARSA7,70.7,59.8,87,0.6,29.57
142,2020-05-23,KVAWARSA7,74.3,60.4,75,0.3,29.44
143,2020-05-24,KVAWARSA7,62.5,56.3,90,1.5,29.61
144,2020-05-25,KVAWARSA7,64.4,56.8,85,0.5,29.63
145,2020-05-26,KVAWARSA7,66.2,54.5,89,0.6,29.62
146,2020-05-27,KVAWARSA7,70.2,61.3,88,0.9,29.61
147,2020-05-28,KVAWARSA7,73.1,69.1,96,0.8,29.54
148,2020-05-29,KVAWARSA7,76.2,67.3,89,0.9,29.47
149,2020-05-30,KVAWARSA7,74.7,45.7,74,0.5,29.38
150,2020-05-31,KVAWARSA7,67.9,41.7,54,0.7,29.56
151,2020-06-01,KVAWARSA7,65.5,38.5,50,0.2,29.73
152,2020-06-02,KVAWARSA7,67.8,51.1,70,0.6,29.61
153,2020-06-03,KVAWARSA7,80.8,64.2,67,0.5,29.27
154,2020-06-04,KVAWARSA7,83.0,66.4,68,0.4,29.32
155,2020-06-05,KVAWARSA7,79.3,67.4,76,0.9,29.36
156,2020-06-06,KVAWARSA7,79.1,66.2,81,0.4,29.29
157,2020-06-07,KVAWARSA7,74.2,54.1,66,0.4,29.4
158,2020-06-08,KVAWARSA7,72.7,57.4,68,0.4,29.47
159,2020-06-09,KVAWARSA7,77.2,59.0,74,0.4,29.43
160,2020-06-10,KVAWARSA7,80.9,70.2,80,1.3,29.39
161,2020-06-11,KVAWARSA7,77.5,70.2,87,1.1,29.51
162,2020-06-12,KVAWARSA7,76.7,51.8,65,0.3,29.56
163,2020-06-13,KVAWARSA7,72.4,46.6,56,0.7,29.61
164,2020-06-14,KVAWARSA7,68.1,52.9,71,1.1,29.71
165,2020-06-15,KVAWARSA7,66.1,51.3,70,1.6,29.74
166,2020-06-16,KVAWARSA7,65.1,53.4,77,2.0,29.7
167,2020-06-17,KVAWARSA7,64.8,59.9,97,2.1,29.58
168,2020-06-18,KVAWARSA7,73.1,63.0,82,0.6,29.53
169,2020-06-19,KVAWARSA7,71.5,63.4,87,0.3,29.54
170,2020-06-20,KVAWARSA7,71.4,64.8,91,0.3,29.48
171,2020-06-21,KVAWARSA7,75.1,65.1,83,0.4,29.42
172,2020-06-22,KVAWARSA7,76.0,66.9,86,0.4,29.4
173,2020-06-23,KVAWARSA7,79.6,66.7,78,0.6,29.29
174,2020-06-24,KVAWARSA7,79.2,59.9,69,0.4,29.31
175,2020-06-25,KVAWARSA7,71.7,62.4,86,0.4,29.43
176,2020-06-26,KVAWARSA7,77.7,59.9,70,0.4,29.48
177,2020-06-27,KVAWARSA7,81.9,64.9,66,0.5,29.36
178,2020-06-28,KVAWARSA7,79.6,67.8,81,0.2,29.22
179,2020-06-29,KVAWARSA7,80.3,64.6,75,0.4,29.29
180,2020-06-30,KVAWARSA7,79.8,63.3,72,0.2,29.31
181,2020-07-01,KVAWARSA7,75.4,67.9,88,0.4,29.29
182,2020-07-02,KVAWARSA7,79.1,66.0,76,0.2,29.3
183,2020-07-03,KVAWARSA7,83.4,63.1,66,0.3,29.31
184,2020-07-04,KVAWARSA7,82.5,69.3,73,0.6,29.36
185,2020-07-05,KVAWARSA7,78.4,69.8,83,0.4,29.44
186,2020-07-06,KVAWARSA7,83.5,70.1,74,0.7,29.46
187,2020-07-07,KVAWARSA7,81.5,68.2,76,0.8,29.5
188,2020-07-08,KVAWARSA7,80.7,69.3,78,0.7,29.43
189,2020-07-09,KVAWARSA7,80.2,69.8,81,1.5,29.36
190,2020-07-10,KVAWARSA7,82.8,71.7,77,0.7,29.3
191,2020-07-11,KVAWARSA7,81.2,66.9,76,0.4,29.2
192,2020-07-12,KVAWARSA7,82.0,60.1,64,0.4,29.23
193,2020-07-13,KVAWARSA7,79.6,65.8,72,0.2,29.3
194,2020-07-14,KVAWARSA7,80.3,63.9,70,0.4,29.47
195,2020-07-15,KVAWARSA7,80.2,60.3,68,0.7,29.56
196,2020-07-16,KVAWARSA7,78.8,67.5,76,0.9,29.64
197,2020-07-17,KVAWARSA7,81.3,70.9,80,0.8,29.58
198,2020-07-18,KVAWARSA7,84.7,69.6,72,0.5,29.49
199,2020-07-19,KVAWARSA7,87.7,71.6,72,0.4,29.41
200,2020-07-20,KVAWARSA7,88.1,69.8,67,0.4,29.37
201,2020-07-21,KVAWARSA7,84.7,70.3,76,0.5,29.47
202,2020-07-22,KVAWARSA7,80.8,70.7,82,0.5,29.5
203,2020-07-23,KVAWARSA7,82.0,71.1,79,0.6,29.5
204,2020-07-24,KVAWARSA7,79.9,70.9,83,0.3,29.51
205,2020-07-25,KVAWARSA7,80.7,69.8,83,0.4,29.52
206,2020-07-26,KVAWARSA7,86.6,64.4,67,0.3,29.5
207,2020-07-27,KVAWARSA7,88.4,68.4,63,0.4,29.39
208,2020-07-28,KVAWARSA7,87.9,71.2,67,0.4,29.33
209,2020-07-29,KVAWARSA7,86.4,66.0,67,0.4,29.39
210,2020-07-30,KVAWARSA7,83.0,72.6,80,0.5,29.33
211,2020-07-31,KVAWARSA7,77.3,72.4,93,0.2,29.27
212,2020-08-01,KVAWARSA7,79.2,72.6,89,0.4,29.37
213,2020-08-02,KVAWARSA7,82.7,70.6,79,0.8,29.37
214,2020-08-03,KVAWARSA7,78.5,70.5,85,0.3,29.47
215,2020-08-04,KVAWARSA7,78.4,67.5,84,1.2,29.4
216,2020-08-05,KVAWARSA7,81.2,66.0,74,0.4,29.48
217,2020-08-06,KVAWARSA7,75.8,70.1,92,0.4,29.49
218,2020-08-07,KVAWARSA7,77.4,70.3,88,0.2,29.5
219,2020-08-08,KVAWARSA7,77.2,69.7,88,0.5,29.55
220,2020-08-09,KVAWARSA7,80.3,69.5,82,0.4,29.57
221,2020-08-10,KVAWARSA7,81.2,72.3,84,0.3,29.49
222,2020-08-11,KVAWARSA7,82.3,70.5,80,0.6,29.4
223,2020-08-12,KVAWARSA7,79.6,71.8,87,0.3,29.45
224,2020-08-13,KVAWARSA7,77.2,72.3,93,0.4,29.47
225,2020-08-14,KVAWARSA7,77.0,69.9,92,0.5,29.38
226,2020-08-15,KVAWARSA7,72.9,65.5,91,0.9,29.35
227,2020-08-16,KVAWARSA7,69.9,65.5,96,0.8,29.35
228,2020-08-17,KVAWARSA7,73.4,62.8,85,0.3,29.38
229,2020-08-18,KVAWARSA7,76.8,65.3,79,0.2,29.32
230,2020-08-19,KVAWARSA7,74.2,66.6,86,0.2,29.38
231,2020-08-20,KVAWARSA7,73.7,64.1,83,0.7,29.46
232,2020-08-21,KVAWARSA7,75.0,63.4,84,0.2,29.42
233,2020-08-22,KVAWARSA7,75.9,71.2,91,0.2,29.42
234,2020-08-23,KVAWARSA7,80.6,71.1,83,0.5,29.48
