,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KVTARLIN7,19.7,5.0,66,0.9,30.13
61,2020-03-02,KVTARLIN7,37.6,13.0,65,1.0,30.11
62,2020-03-03,KVTARLIN7,46.2,32.0,77,1.1,29.78
63,2020-03-04,KVTARLIN7,38.9,22.0,67,3.9,29.82
64,2020-03-05,KVTARLIN7,35.8,22.0,67,1.5,30.14
65,2020-03-06,KVTARLIN7,35.1,20.0,70,1.2,30.08
66,2020-03-07,KVTARLIN7,27.8,3.0,55,1.4,30.36
67,2020-03-08,KVTARLIN7,35.5,13.0,56,1.5,30.39
68,2020-03-09,KVTARLIN7,49.4,21.0,51,1.5,30.28
69,2020-03-10,KVTARLIN7,48.3,31.0,75,1.3,30.19
70,2020-03-11,KVTARLIN7,37.1,16.0,64,1.3,30.18
71,2020-03-12,KVTARLIN7,38.7,20.0,60,0.5,30.18
72,2020-03-13,KVTARLIN7,44.5,23.0,66,3.1,30.12
73,2020-03-14,KVTARLIN7,38.5,21.0,55,2.7,30.37
74,2020-03-15,KVTARLIN7,32.9,8.0,49,1.2,30.6
75,2020-03-16,KVTARLIN7,30.0,0.0,42,1.0,30.63
76,2020-03-17,KVTARLIN7,37.6,21.0,74,1.5,30.37
77,2020-03-18,KVTARLIN7,39.0,10.0,50,1.2,30.48
78,2020-03-19,KVTARLIN7,40.3,24.0,80,0.6,30.38
79,2020-03-20,KVTARLIN7,50.2,34.0,85,1.7,30.19
80,2020-03-21,KVTARLIN7,34.7,1.0,48,2.0,30.52
81,2020-03-22,KVTARLIN7,28.2,2.0,43,0.8,30.7
82,2020-03-23,KVTARLIN7,30.7,7.0,66,0.9,30.64
83,2020-03-24,KVTARLIN7,34.3,24.0,80,0.6,30.24
84,2020-03-25,KVTARLIN7,35.5,22.0,74,0.5,30.22
85,2020-03-26,KVTARLIN7,41.3,23.0,71,0.8,30.09
86,2020-03-27,KVTARLIN7,47.4,9.0,56,1.6,30.11
87,2020-03-28,KVTARLIN7,39.6,20.0,64,0.3,30.18
88,2020-03-29,KVTARLIN7,44.1,34.0,82,1.8,30.13
89,2020-03-30,KVTARLIN7,38.6,32.0,87,0.8,30.04
90,2020-03-31,KVTARLIN7,39.1,28.0,76,0.7,30.1
91,2020-04-01,KVTARLIN7,39.6,24.0,65,1.2,29.96
92,2020-04-02,KVTARLIN7,38.5,28.0,76,1.8,29.81
93,2020-04-03,KVTARLIN7,42.3,33.0,93,0.3,29.97
94,2020-04-04,KVTARLIN7,49.2,38.0,77,0.7,30.07
95,2020-04-05,KVTARLIN7,50.8,38.0,77,0.7,30.05
96,2020-04-06,KVTARLIN7,46.7,13.0,54,1.4,30.09
97,2020-04-07,KVTARLIN7,49.1,20.0,46,1.9,29.97
98,2020-04-08,KVTARLIN7,48.7,18.0,57,0.9,29.7
99,2020-04-09,KVTARLIN7,41.9,26.0,83,1.1,29.63
100,2020-04-10,KVTARLIN7,37.4,23.0,71,3.1,29.62
101,2020-04-11,KVTARLIN7,38.8,14.0,51,2.4,30.05
102,2020-04-12,KVTARLIN7,43.6,17.0,57,1.2,30.18
103,2020-04-13,KVTARLIN7,54.0,36.0,86,2.2,30.06
104,2020-04-14,KVTARLIN7,43.6,15.0,49,2.5,30.07
105,2020-04-15,KVTARLIN7,37.9,9.0,49,1.8,29.99
106,2020-04-16,KVTARLIN7,34.2,7.0,60,1.7,30.14
107,2020-04-17,KVTARLIN7,36.8,16.0,55,3.3,30.2
108,2020-04-18,KVTARLIN7,36.3,25.0,75,0.8,29.97
109,2020-04-19,KVTARLIN7,44.7,22.0,61,1.9,29.87
110,2020-04-20,KVTARLIN7,42.4,15.0,56,1.5,29.78
111,2020-04-21,KVTARLIN7,36.5,14.0,71,1.8,29.69
112,2020-04-22,KVTARLIN7,33.0,10.0,49,3.1,29.95
113,2020-04-23,KVTARLIN7,39.2,5.0,40,2.0,30.05
114,2020-04-24,KVTARLIN7,45.2,23.0,52,0.5,29.95
115,2020-04-25,KVTARLIN7,49.8,23.0,51,0.7,30.09
116,2020-04-26,KVTARLIN7,43.0,20.0,71,1.6,30.1
117,2020-04-27,KVTARLIN7,38.2,32.0,91,0.5,30.11
118,2020-04-28,KVTARLIN7,43.6,29.0,71,1.1,30.19
119,2020-04-29,KVTARLIN7,48.9,28.0,59,1.0,30.26
120,2020-04-30,KVTARLIN7,48.0,29.0,74,2.4,30.26
121,2020-05-01,KVTARLIN7,55.1,42.0,87,1.1,29.87
122,2020-05-02,KVTARLIN7,54.9,32.0,53,2.1,29.99
123,2020-05-03,KVTARLIN7,62.6,36.0,54,1.6,29.91
124,2020-05-04,KVTARLIN7,50.6,32.0,59,2.0,29.89
125,2020-05-05,KVTARLIN7,45.1,23.0,53,1.7,29.98
126,2020-05-06,KVTARLIN7,45.3,26.0,57,0.5,29.98
127,2020-05-07,KVTARLIN7,48.9,20.0,51,1.4,29.77
