,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KWISOLDI9,40.6,22.6,66,3.9,29.82
61,2020-03-02,KWISOLDI9,34.0,23.3,74,1.7,29.73
62,2020-03-03,KWISOLDI9,34.8,23.6,77,2.1,29.68
63,2020-03-04,KWISOLDI9,35.6,16.7,62,2.8,29.97
64,2020-03-05,KWISOLDI9,37.7,20.7,73,5.7,30.03
65,2020-03-06,KWISOLDI9,32.3,11.9,53,3.9,30.41
66,2020-03-07,KWISOLDI9,32.4,15.8,60,6.1,30.37
67,2020-03-08,KWISOLDI9,60.1,27.0,38,8.1,30.06
68,2020-03-09,KWISOLDI9,44.3,28.9,86,5.7,29.93
69,2020-03-10,KWISOLDI9,38.5,20.1,64,4.2,30.21
70,2020-03-11,KWISOLDI9,39.2,32.8,90,1.4,30.02
71,2020-03-12,KWISOLDI9,40.7,24.9,91,5.2,29.81
72,2020-03-13,KWISOLDI9,37.3,5.1,55,2.6,30.38
73,2020-03-14,KWISOLDI9,30.4,16.8,65,3.5,30.55
74,2020-03-15,KWISOLDI9,30.4,17.9,68,2.8,30.63
75,2020-03-16,KWISOLDI9,33.8,21.7,79,1.4,30.39
76,2020-03-17,KWISOLDI9,37.9,17.6,55,3.0,30.23
77,2020-03-18,KWISOLDI9,35.4,25.6,93,3.2,30.13
78,2020-03-19,KWISOLDI9,39.7,35.9,98,4.5,30.02
79,2020-03-20,KWISOLDI9,31.6,14.7,78,8.1,30.49
80,2020-03-21,KWISOLDI9,28.7,12.3,62,3.4,30.53
81,2020-03-22,KWISOLDI9,32.5,20.2,69,5.6,30.41
82,2020-03-23,KWISOLDI9,37.2,25.6,78,2.8,30.12
83,2020-03-24,KWISOLDI9,42.3,32.8,77,4.3,30.07
84,2020-03-25,KWISOLDI9,43.1,34.4,84,4.2,29.88
85,2020-03-26,KWISOLDI9,42.0,36.5,88,3.9,29.86
86,2020-03-27,KWISOLDI9,45.7,34.7,80,4.4,29.86
87,2020-03-28,KWISOLDI9,43.6,40.0,98,6.8,29.71
88,2020-03-29,KWISOLDI9,41.8,33.6,92,4.0,29.93
89,2020-03-30,KWISOLDI9,46.5,29.1,62,5.9,30.14
90,2020-03-31,KWISOLDI9,38.6,27.3,71,4.3,30.09
