,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,Precipin
60,2020-03-01,KWITOMAH6,39.6,21.7,73,4.8,28.88,0.0
61,2020-03-02,KWITOMAH6,33.8,21.8,76,4.9,28.8,0.0
62,2020-03-03,KWITOMAH6,33.8,22.1,81,6.0,28.73,0.06
63,2020-03-04,KWITOMAH6,33.2,19.9,70,3.9,29.03,0.0
64,2020-03-05,KWITOMAH6,35.6,21.6,81,8.6,29.18,0.04
65,2020-03-06,KWITOMAH6,29.3,16.5,69,4.4,29.47,0.0
66,2020-03-07,KWITOMAH6,38.1,16.1,64,4.1,29.43,0.0
67,2020-03-08,KWITOMAH6,51.1,30.2,56,5.4,29.09,0.0
68,2020-03-09,KWITOMAH6,42.7,30.0,84,4.2,29.02,0.13
69,2020-03-10,KWITOMAH6,35.9,18.9,69,3.2,29.28,0.03
70,2020-03-11,KWITOMAH6,35.8,31.3,93,0.8,29.11,0.24
71,2020-03-12,KWITOMAH6,40.0,24.1,92,5.6,28.88,0.64
72,2020-03-13,KWITOMAH6,35.7,16.9,57,8.4,29.45,0.0
73,2020-03-14,KWITOMAH6,29.1,17.5,69,2.4,29.64,0.0
74,2020-03-15,KWITOMAH6,28.9,16.8,74,2.5,29.71,0.0
75,2020-03-16,KWITOMAH6,33.6,22.9,84,3.6,29.43,0.0
76,2020-03-17,KWITOMAH6,35.5,18.7,63,5.2,29.28,0.0
77,2020-03-18,KWITOMAH6,36.9,27.0,90,3.7,29.21,0.02
78,2020-03-19,KWITOMAH6,37.6,34.3,98,3.2,29.11,0.89
79,2020-03-20,KWITOMAH6,30.5,14.2,79,7.1,29.57,0.04
80,2020-03-21,KWITOMAH6,26.4,11.1,65,3.4,29.61,0.0
81,2020-03-22,KWITOMAH6,32.7,20.5,73,5.2,29.48,0.0
82,2020-03-23,KWITOMAH6,36.0,25.2,87,1.7,29.18,0.0
83,2020-03-24,KWITOMAH6,41.9,32.7,83,2.7,29.14,0.0
84,2020-03-25,KWITOMAH6,44.3,36.0,91,3.4,28.94,0.44
85,2020-03-26,KWITOMAH6,39.8,32.6,94,1.6,28.95,0.0
86,2020-03-27,KWITOMAH6,44.4,31.8,83,4.1,28.95,0.13
87,2020-03-28,KWITOMAH6,42.2,39.6,97,7.1,28.84,0.65
88,2020-03-29,KWITOMAH6,41.1,35.3,95,6.2,28.99,0.27
89,2020-03-30,KWITOMAH6,45.7,31.2,68,6.1,29.2,0.0
90,2020-03-31,KWITOMAH6,37.0,26.4,79,2.8,29.19,0.0
