,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KALMONTG10,53.1,32.7,59,0.0,30.23,2020-03-01,126.36
1,2020-03-02,KALMONTG10,58.8,42.8,84,0.0,30.06,2020-03-02,119.55
2,2020-03-03,KALMONTG10,64.6,59.9,95,0.0,29.85,2020-03-03,118.32
3,2020-03-04,KALMONTG10,57.2,51.5,96,0.0,29.99,2020-03-04,113.28
4,2020-03-05,KALMONTG10,54.5,48.2,93,0.0,30.07,2020-03-05,129.51
5,2020-03-06,KALMONTG10,53.0,26.5,60,0.0,30.33,2020-03-06,172.2
6,2020-03-07,KALMONTG10,49.1,23.8,51,0.0,30.44,2020-03-07,195.95
7,2020-03-08,KALMONTG10,54.6,28.5,53,0.0,30.49,2020-03-08,127.64
8,2020-03-09,KALMONTG10,61.1,42.2,63,0.0,30.44,2020-03-09,136.71
9,2020-03-10,KALMONTG10,62.8,48.7,79,0.0,30.3,2020-03-10,127.8
10,2020-03-11,KALMONTG10,63.1,58.4,86,0.0,30.16,2020-03-11,128.5
11,2020-03-12,KALMONTG10,69.7,56.6,72,0.0,29.98,2020-03-12,132.85
12,2020-03-13,KALMONTG10,72.7,59.2,72,0.0,30.14,2020-03-13,156.51
13,2020-03-14,KALMONTG10,70.2,57.0,73,0.0,30.2,2020-03-14,180.67
14,2020-03-15,KALMONTG10,66.1,58.3,80,0.0,30.2,2020-03-15,115.12
15,2020-03-16,KALMONTG10,65.3,58.5,83,0.0,30.2,2020-03-16,120.21
16,2020-03-17,KALMONTG10,68.7,57.9,76,0.0,30.16,2020-03-17,109.99
17,2020-03-18,KALMONTG10,71.2,58.2,74,0.0,30.19,2020-03-18,116.37
18,2020-03-19,KALMONTG10,70.2,59.1,77,0.0,30.18,2020-03-19,115.15
19,2020-03-20,KALMONTG10,73.4,59.1,72,0.0,30.2,2020-03-20,134.87
20,2020-03-21,KALMONTG10,67.9,50.7,75,0.0,30.23,2020-03-21,123.73
21,2020-03-22,KALMONTG10,58.6,47.5,83,0.0,30.26,2020-03-22,76.3
22,2020-03-23,KALMONTG10,68.2,58.3,89,0.0,30.14,2020-03-23,93.39
23,2020-03-24,KALMONTG10,75.3,61.3,76,0.0,29.98,2020-03-24,92.68
24,2020-03-25,KALMONTG10,72.5,38.8,71,0.0,29.87,2020-03-25,106.71
25,2020-03-26,KALMONTG10,70.8,51.2,64,0.0,29.95,2020-03-26,106.96
26,2020-03-27,KALMONTG10,74.5,60.8,71,0.0,29.92,2020-03-27,115.93
27,2020-03-28,KALMONTG10,72.9,63.6,78,0.0,29.91,2020-03-28,118.07
28,2020-03-29,KALMONTG10,72.6,46.4,65,0.0,30.07,2020-03-29,84.12
29,2020-03-30,KALMONTG10,67.3,39.1,55,0.0,30.13,2020-03-30,90.59
30,2020-03-31,KALMONTG10,61.6,44.8,72,0.0,29.86,2020-03-31,76.96
31,2020-04-01,KALMONTG10,56.9,34.9,61,0.0,29.96,2020-04-01,92.68
32,2020-04-02,KALMONTG10,58.1,39.3,60,0.0,30.07,2020-04-02,95.35
33,2020-04-03,KALMONTG10,62.7,41.0,60,0.0,30.02,2020-04-03,109.11
34,2020-04-04,KALMONTG10,69.2,48.6,58,0.0,29.94,2020-04-04,100.66
35,2020-04-05,KALMONTG10,75.3,54.0,51,0.0,29.97,2020-04-05,69.36
36,2020-04-06,KALMONTG10,70.6,53.3,67,0.0,30.04,2020-04-06,88.62
37,2020-04-07,KALMONTG10,68.6,59.0,81,0.0,30.02,2020-04-07,83.24
38,2020-04-08,KALMONTG10,69.0,61.8,90,0.0,29.87,2020-04-08,81.65
39,2020-04-09,KALMONTG10,71.6,53.5,78,0.0,29.78,2020-04-09,100.56
40,2020-04-10,KALMONTG10,60.3,21.4,49,0.0,29.98,2020-04-10,112.1
41,2020-04-11,KALMONTG10,57.7,32.3,55,0.0,30.05,2020-04-11,99.13
42,2020-04-12,KALMONTG10,65.1,44.1,75,0.0,29.88,2020-04-12,49.29
43,2020-04-13,KALMONTG10,68.1,50.9,70,0.0,30.0,2020-04-13,96.59
44,2020-04-14,KALMONTG10,59.3,41.2,72,0.0,30.03,2020-04-14,99.46
