,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KARHEBER7,57.3,39.9,83,0.7,30.08,2020-03-01,122.35
1,2020-03-02,KARHEBER7,63.6,55.1,89,0.3,29.86,2020-03-02,118.5
2,2020-03-03,KARHEBER7,57.8,41.8,74,0.2,29.98,2020-03-03,161.82
3,2020-03-04,KARHEBER7,52.3,41.6,81,0.0,30.09,2020-03-04,149.1
4,2020-03-05,KARHEBER7,55.7,23.4,59,0.7,30.31,2020-03-05,157.42
5,2020-03-06,KARHEBER7,51.2,23.6,45,0.3,30.52,2020-03-06,197.21
6,2020-03-07,KARHEBER7,47.4,30.5,63,0.1,30.55,2020-03-07,242.64
7,2020-03-08,KARHEBER7,53.0,31.2,60,0.6,30.41,2020-03-08,135.26
8,2020-03-09,KARHEBER7,57.9,42.6,90,0.8,30.26,2020-03-09,128.0
9,2020-03-10,KARHEBER7,57.9,45.8,84,0.2,30.33,2020-03-10,133.83
10,2020-03-11,KARHEBER7,51.7,46.1,98,0.0,30.19,2020-03-11,127.44
11,2020-03-12,KARHEBER7,63.3,51.7,94,0.7,29.95,2020-03-12,127.31
12,2020-03-13,KARHEBER7,52.0,37.5,78,0.0,30.34,2020-03-13,125.7
13,2020-03-14,KARHEBER7,44.5,41.6,98,0.0,30.35,2020-03-14,148.17
14,2020-03-15,KARHEBER7,43.6,39.2,96,0.0,30.51,2020-03-15,117.88
15,2020-03-16,KARHEBER7,42.7,37.8,98,0.0,30.4,2020-03-16,88.45
16,2020-03-17,KARHEBER7,48.9,45.7,99,0.0,30.32,2020-03-17,104.72
17,2020-03-18,KARHEBER7,57.2,48.6,98,0.1,30.18,2020-03-18,106.21
18,2020-03-19,KARHEBER7,67.8,61.9,98,0.6,30.06,2020-03-19,93.17
19,2020-03-20,KARHEBER7,55.9,41.1,91,0.2,30.43,2020-03-20,127.75
20,2020-03-21,KARHEBER7,46.9,36.7,79,0.1,30.51,2020-03-21,138.42
21,2020-03-22,KARHEBER7,44.7,40.4,97,0.0,30.36,2020-03-22,77.59
22,2020-03-23,KARHEBER7,52.6,45.7,93,0.0,30.2,2020-03-23,115.02
23,2020-03-24,KARHEBER7,54.6,49.7,98,0.0,30.04,2020-03-24,103.29
24,2020-03-25,KARHEBER7,54.7,48.6,91,0.1,30.06,2020-03-25,129.55
25,2020-03-26,KARHEBER7,66.2,46.3,82,0.4,29.93,2020-03-26,153.32
26,2020-03-27,KARHEBER7,72.2,61.6,86,0.4,29.83,2020-03-27,143.02
27,2020-03-28,KARHEBER7,68.1,55.3,96,0.5,29.88,2020-03-28,134.39
28,2020-03-29,KARHEBER7,60.0,40.2,71,0.5,30.19,2020-03-29,130.54
29,2020-03-30,KARHEBER7,54.6,49.1,92,0.0,30.27,2020-03-30,94.35
30,2020-03-31,KARHEBER7,56.4,44.4,82,0.1,30.03,2020-03-31,95.22
31,2020-04-01,KARHEBER7,57.6,42.1,77,0.1,30.09,2020-04-01,113.78
32,2020-04-02,KARHEBER7,62.5,48.4,70,0.3,30.11,2020-04-02,101.37
33,2020-04-03,KARHEBER7,60.8,54.1,93,0.0,30.1,2020-04-03,113.72
34,2020-04-04,KARHEBER7,52.0,47.2,95,0.0,30.16,2020-04-04,124.58
35,2020-04-05,KARHEBER7,59.4,48.6,87,0.0,30.15,2020-04-05,110.8
36,2020-04-06,KARHEBER7,64.7,52.2,85,0.2,30.12,2020-04-06,103.79
37,2020-04-07,KARHEBER7,69.8,61.0,92,0.2,30.01,2020-04-07,105.77
38,2020-04-08,KARHEBER7,75.1,64.3,85,0.3,29.86,2020-04-08,123.09
39,2020-04-09,KARHEBER7,65.6,36.1,51,0.3,30.06,2020-04-09,115.64
40,2020-04-10,KARHEBER7,53.4,24.8,45,0.1,30.26,2020-04-10,139.79
41,2020-04-11,KARHEBER7,54.0,34.8,75,0.3,30.06,2020-04-11,138.8
42,2020-04-12,KARHEBER7,59.4,49.3,95,0.3,29.87,2020-04-12,72.19
43,2020-04-13,KARHEBER7,46.4,31.5,69,0.6,30.25,2020-04-13,115.83
44,2020-04-14,KARHEBER7,46.0,30.4,67,0.1,30.37,2020-04-14,112.73
