,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KAZSNOWF15,46.9,16.9,40,6.9,30.05,2020-03-01,155.17
1,2020-03-02,KAZSNOWF15,41.8,17.6,54,4.6,30.03,2020-03-02,118.16
2,2020-03-03,KAZSNOWF15,44.3,11.8,45,5.1,30.08,2020-03-03,117.81
3,2020-03-04,KAZSNOWF15,47.0,14.0,38,1.8,30.26,2020-03-04,127.34
4,2020-03-05,KAZSNOWF15,49.8,15.4,41,1.9,30.39,2020-03-05,134.98
5,2020-03-06,KAZSNOWF15,50.8,14.9,36,3.8,30.31,2020-03-06,163.16
6,2020-03-07,KAZSNOWF15,53.1,23.4,40,6.2,30.19,2020-03-07,170.75
7,2020-03-08,KAZSNOWF15,49.7,23.5,47,5.6,30.16,2020-03-08,192.97
8,2020-03-09,KAZSNOWF15,50.4,17.8,54,4.3,30.27,2020-03-09,158.19
9,2020-03-10,KAZSNOWF15,52.3,32.4,67,4.4,30.32,2020-03-10,152.42
10,2020-03-11,KAZSNOWF15,53.0,48.0,94,4.4,30.3,2020-03-11,143.64
11,2020-03-12,KAZSNOWF15,52.7,40.6,83,2.2,30.13,2020-03-12,170.63
12,2020-03-13,KAZSNOWF15,46.1,27.7,71,7.6,30.12,2020-03-13,213.04
13,2020-03-14,KAZSNOWF15,46.6,28.4,65,4.7,30.21,2020-03-14,228.14
14,2020-03-15,KAZSNOWF15,49.5,17.6,49,3.9,30.22,2020-03-15,234.5
15,2020-03-16,KAZSNOWF15,52.0,18.3,42,5.4,30.2,2020-03-16,159.38
16,2020-03-17,KAZSNOWF15,51.9,15.6,40,6.9,30.08,2020-03-17,162.52
17,2020-03-18,KAZSNOWF15,44.0,23.9,70,6.5,30.01,2020-03-18,160.93
18,2020-03-19,KAZSNOWF15,38.5,23.9,75,6.8,30.22,2020-03-19,156.64
19,2020-03-20,KAZSNOWF15,44.2,16.5,56,4.3,30.27,2020-03-20,162.76
20,2020-03-21,KAZSNOWF15,49.9,19.4,46,6.1,30.21,2020-03-21,165.42
21,2020-03-22,KAZSNOWF15,48.9,17.2,46,3.2,30.26,2020-03-22,142.25
22,2020-03-23,KAZSNOWF15,50.5,21.4,50,8.3,30.21,2020-03-23,96.34
23,2020-03-24,KAZSNOWF15,49.8,18.9,52,5.5,30.22,2020-03-24,94.91
24,2020-03-25,KAZSNOWF15,54.0,18.3,37,8.4,30.12,2020-03-25,93.16
25,2020-03-26,KAZSNOWF15,52.9,20.5,38,8.2,29.98,2020-03-26,87.64
26,2020-03-27,KAZSNOWF15,37.9,7.9,53,10.2,30.13,2020-03-27,98.85
27,2020-03-28,KAZSNOWF15,39.6,9.1,39,3.1,30.22,2020-03-28,103.18
28,2020-03-29,KAZSNOWF15,49.0,12.9,33,6.4,30.15,2020-03-29,86.92
