,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,index,Mobility%
0,2020-03-01,KFLPANAM165,54.8,35.5,66,2.9,30.33,2020-03-01,108.87
1,2020-03-02,KFLPANAM165,64.0,46.7,80,5.5,30.2,2020-03-02,126.3
2,2020-03-03,KFLPANAM165,69.1,59.4,92,3.3,29.99,2020-03-03,129.36
3,2020-03-04,KFLPANAM165,71.5,58.4,93,4.7,29.98,2020-03-04,129.15
4,2020-03-05,KFLPANAM165,65.3,53.3,93,5.3,30.1,2020-03-05,134.86
5,2020-03-06,KFLPANAM165,58.0,26.0,55,5.1,30.33,2020-03-06,157.29
6,2020-03-07,KFLPANAM165,51.3,27.9,50,3.1,30.47,2020-03-07,183.37
7,2020-03-08,KFLPANAM165,57.0,35.2,60,2.8,30.54,2020-03-08,155.71
8,2020-03-09,KFLPANAM165,62.0,46.2,68,3.9,30.52,2020-03-09,189.48
9,2020-03-10,KFLPANAM165,65.1,50.4,83,2.4,30.41,2020-03-10,198.9
10,2020-03-11,KFLPANAM165,69.3,59.9,84,3.1,30.27,2020-03-11,199.6
11,2020-03-12,KFLPANAM165,68.0,58.2,86,2.7,30.1,2020-03-12,194.9
12,2020-03-13,KFLPANAM165,70.6,59.5,82,3.1,30.25,2020-03-13,216.3
13,2020-03-14,KFLPANAM165,67.7,56.5,79,2.0,30.29,2020-03-14,237.2
14,2020-03-15,KFLPANAM165,68.6,53.5,76,1.9,30.31,2020-03-15,195.8
15,2020-03-16,KFLPANAM165,69.2,55.2,82,2.0,30.27,2020-03-16,204.2
16,2020-03-17,KFLPANAM165,71.0,59.9,82,2.2,30.25,2020-03-17,188.57
17,2020-03-18,KFLPANAM165,70.7,61.5,83,2.6,30.28,2020-03-18,172.78
18,2020-03-19,KFLPANAM165,70.9,58.3,84,3.3,30.27,2020-03-19,163.44
19,2020-03-20,KFLPANAM165,71.6,61.6,87,2.5,30.33,2020-03-20,150.82
20,2020-03-21,KFLPANAM165,71.4,61.6,86,2.3,30.29,2020-03-21,102.69
21,2020-03-22,KFLPANAM165,70.9,60.8,83,2.7,30.26,2020-03-22,64.99
22,2020-03-23,KFLPANAM165,71.5,61.0,86,3.5,30.24,2020-03-23,78.57
23,2020-03-24,KFLPANAM165,74.7,64.0,81,4.6,30.12,2020-03-24,77.86
24,2020-03-25,KFLPANAM165,76.6,68.9,83,6.9,29.96,2020-03-25,74.43
25,2020-03-26,KFLPANAM165,74.2,61.3,81,2.4,30.05,2020-03-26,76.03
26,2020-03-27,KFLPANAM165,75.3,65.1,83,3.5,30.03,2020-03-27,79.37
27,2020-03-28,KFLPANAM165,74.4,61.9,86,3.8,30.07,2020-03-28,59.91
28,2020-03-29,KFLPANAM165,76.6,68.0,86,3.9,30.15,2020-03-29,48.47
29,2020-03-30,KFLPANAM165,73.3,54.6,76,1.7,30.18,2020-03-30,66.05
30,2020-03-31,KFLPANAM165,72.1,47.1,82,5.8,29.96,2020-03-31,64.08
31,2020-04-01,KFLPANAM165,59.1,40.4,62,4.0,30.02,2020-04-01,68.83
32,2020-04-02,KFLPANAM165,60.3,39.6,64,2.5,30.1,2020-04-02,67.73
33,2020-04-03,KFLPANAM165,61.4,46.2,72,1.0,30.08,2020-04-03,61.27
34,2020-04-04,KFLPANAM165,66.7,47.1,68,1.8,30.02,2020-04-04,46.74
35,2020-04-05,KFLPANAM165,68.8,57.9,79,1.8,30.08,2020-04-05,40.47
